detection_id,B,G,R,nB,nG,nR,Compactness
429112786,13.8322,12.9058,21.7788,0.1555,0.1487,0.2352,0.06579069379816853
429112799,9.149,8.4431,13.6362,0.0957,0.0738,0.1236,0.09172037375316221
429112800,20.002,18.7326,31.6525,0.1354,0.1187,0.2344,0.06346488289866778
429112802,27.2942,26.0987,43.7114,0.1907,0.1722,0.3953,0.05302170881884524
429112803,31.9014,30.5332,50.0119,0.1992,0.1843,0.448,0.056098740702361524
429112810,38.4833,37.5708,58.6002,0.0191,0.0196,0.2594,0.04671448198421
429112811,39.449,38.2491,60.5386,0.058,0.0551,0.2741,0.03914718970684156
429112825,77.7364,75.0235,100.4442,1.2532,1.2004,1.5255,0.03621402203509902
429112830,14.4029,13.4565,21.8133,0.7812,0.7237,0.9673,0.07139750161301212
429112831,12.489,12.4977,21.3468,0.1325,0.1288,0.1927,0.07099415216660818
429112833,13.6424,13.005,20.1225,0.5254,0.4984,0.6579,0.08975514439115811
429112834,15.9769,15.1212,23.3427,0.6257,0.5898,0.7766,0.07804894248762141
429112835,20.5036,19.8854,31.2069,1.2362,1.2038,1.5618,0.05347294092237722
429112841,67.1561,61.4646,70.481,2.4502,2.1956,2.3073,0.04001988008125082
429112842,61.5374,60.2933,76.9591,0.5196,0.5236,0.648,0.05511459098459456
429112843,59.4446,54.3237,61.5576,3.2256,2.871,3.0053,0.05302170881884524
429112844,42.8159,41.8363,54.6172,0.2101,0.2103,0.2728,0.05439884443645084
429112845,28.3873,29.146,42.174,1.1259,1.164,1.5349,0.05737948033237819
429112846,25.2988,22.7673,28.8219,0.5748,0.513,0.5487,0.057118675464029094
429112848,17.37,17.1789,25.3312,1.5789,1.5687,1.989,0.08003728818317192
429112849,31.9901,30.1936,34.7251,0.1594,0.1497,0.1706,0.06684048540909966
429112850,32.7541,30.9443,39.4196,0.1806,0.1684,0.201,0.06129789587454133
429112851,24.5311,23.8864,34.7645,1.9035,1.8766,2.3544,0.06012478543760053
429112852,37.6279,35.4801,40.8231,0.184,0.1744,0.1968,0.05983849013957345
429112853,34.6785,32.4861,40.7217,0.2276,0.215,0.2503,0.06100034753906654
429112855,38.5668,36.0006,41.2495,0.1895,0.1785,0.2007,0.06129789587454133
429112857,36.9119,34.3149,39.0582,0.3274,0.3015,0.325,0.0675591583065621
429112858,14.5422,14.9926,23.7387,0.5926,0.5886,0.7887,0.06190178642991358
429112859,38.1956,35.1879,41.42,0.4346,0.3955,0.4312,0.0541643755046309
429112860,15.2121,15.8599,25.7124,0.4515,0.4654,0.6399,0.056098740702361524
429112872,24.9845,22.4791,27.1534,0.3776,0.3345,0.3622,0.07953076456813789
429112904,9.0009,9.3,13.6747,0.1107,0.1133,0.1356,0.09592081711552267
429112905,9.7853,10.0757,14.605,0.1214,0.1238,0.1453,0.09447856694680049
429112906,9.3289,9.7039,14.3817,0.1003,0.1029,0.1225,0.09105580497377844
429112928,20.2536,18.3064,23.7038,0.1685,0.1372,0.1664,0.06648685222060789
429112930,15.8932,14.4505,18.2177,0.0808,0.0605,0.082,0.09592081711552267
429112933,48.6978,45.1429,52.5486,0.9964,0.9167,0.9764,0.057118675464029094
429112974,27.1987,26.636,30.678,0.1089,0.1089,0.1288,0.06251769380643689
429112976,27.1121,25.61,29.7695,0.218,0.2029,0.196,0.05347294092237722
429112980,15.2159,13.6866,18.5525,0.3491,0.3086,0.3399,0.06866661880204716
429113058,19.9727,18.6896,31.6713,0.4643,0.4317,0.6053,0.04471960971181389
429113063,8.1442,8.6598,19.5067,0.1121,0.1185,0.2358,0.06314598028335774
429113069,10.8564,10.6995,21.0217,0.111,0.1072,0.1758,0.05487392523583279
429113165,16.0733,26.7792,39.7188,0.3216,0.5797,0.8326,0.06510896233025722
429113166,20.5758,33.0924,47.7738,0.3632,0.6151,0.8649,0.06100034753906654
429113176,8.6686,13.1206,21.8745,0.1047,0.1761,0.2696,0.07221810771057427
429113203,18.3909,22.0567,32.0642,0.3828,0.4648,0.6229,0.06100034753906654
429113204,16.1664,16.4267,23.5531,0.1252,0.1243,0.1906,0.06684048540909966
429113217,8.2148,10.4039,18.313,0.1716,0.2372,0.3184,0.058176383157876974
429113222,16.5195,17.4541,23.9585,0.1265,0.1369,0.1967,0.06904388481989716
429113225,54.048,65.1464,87.4618,0.9007,1.0842,1.4359,0.04001988008125082
429113229,14.7345,17.2495,25.8559,0.1655,0.1883,0.2614,0.06378702284985524
429113231,20.0115,27.6044,41.9228,0.4425,0.6432,0.8958,0.06012478543760053
429113235,17.8876,17.0793,29.4725,0.1475,0.1255,0.2543,0.07263552511680024
429113262,42.5469,39.8949,55.9318,0.479,0.4391,0.619,0.04603003942056844
429113263,22.8367,22.104,41.1838,0.5839,0.5526,0.9357,0.04889563761385481
429113264,41.2963,38.6812,54.1709,0.4823,0.4443,0.6146,0.048331474165630606
429113265,21.4109,20.8533,38.8285,0.6852,0.6636,1.0716,0.05192625725187585
429113266,35.0199,32.7232,46.421,0.4189,0.3831,0.5358,0.05192625725187585
429113267,18.018,17.9722,33.7556,0.4338,0.4256,0.6814,0.0541643755046309
429113268,33.2671,31.104,44.1064,0.4011,0.371,0.5131,0.05487392523583279
429113270,33.2895,31.1129,44.094,0.4304,0.3969,0.5412,0.05439884443645084
429113280,18.7659,17.6409,26.2098,0.2776,0.2593,0.3493,0.07099415216660818
429113285,41.4235,38.4359,57.9828,0.824,0.7586,1.0379,0.03480962230366468
429113287,36.9623,34.2381,51.624,0.7529,0.69,0.958,0.04245346694193159
429113289,24.8321,22.475,35.8088,0.8576,0.7799,1.0375,0.04688878485347726
429113294,27.1243,27.3659,54.648,0.4447,0.4866,0.8908,0.035497937197589494
429113304,22.509,21.3653,32.6485,0.6435,0.6219,0.8591,0.06829345312829196
429113306,31.0245,29.2692,45.1933,1.009,0.959,1.3488,0.05302170881884524
429113309,33.3348,31.2858,39.678,0.236,0.2178,0.261,0.06444121395927624
429113310,13.07,11.7833,20.8588,0.2383,0.2089,0.3095,0.05764267775279962
429113321,13.8628,12.7844,21.6353,0.0887,0.0732,0.1406,0.08321729873508964
429113323,27.7754,26.7364,44.4887,0.2159,0.1969,0.3621,0.05108195634991484
429113327,18.787,17.6355,28.6118,0.1106,0.0981,0.2055,0.056098740702361524
429113331,46.3306,46.2816,74.8779,0.8071,0.7953,1.2553,0.03866538740700744
429113386,40.2514,39.0224,63.1893,0.5464,0.5251,0.8928,0.04889563761385481
429113387,34.8597,33.5291,54.5504,0.4145,0.3866,0.6936,0.05192625725187585
429113388,30.212,28.8056,46.5803,0.372,0.3469,0.5911,0.05660411406725943
429113389,18.9864,18.1663,30.213,0.51,0.4937,0.7396,0.0539319190680174
429113390,17.2827,16.1126,26.7894,0.2609,0.2292,0.3595,0.05764267775279962
429113391,16.4268,15.2783,25.5922,0.1897,0.1624,0.2612,0.05560231145909046
429113392,14.3487,13.1143,21.0149,0.1018,0.0891,0.1526,0.07479714303071543
429113393,13.7999,12.7082,20.1734,0.1078,0.0959,0.158,0.07804894248762141
429113394,14.0009,12.478,19.2326,0.1818,0.1563,0.2314,0.09172037375316221
429113396,13.7597,13.1677,20.192,0.1472,0.1369,0.2076,0.09105580497377844
429113423,49.574,52.7306,75.6417,0.535,0.5706,0.8412,0.041610039451085
429113424,30.1995,32.2846,47.4554,0.365,0.4166,0.5803,0.06829345312829196
429113487,38.5702,36.4854,45.3538,0.8618,0.8169,0.9345,0.0589957324588329
429113499,22.5152,21.4767,30.3247,0.2078,0.1977,0.2661,0.0595549083537657
429113514,9.6941,9.1433,16.5608,0.9101,0.8702,1.0876,0.057118675464029094
429113534,23.7749,22.7255,31.7988,0.4917,0.4568,0.5753,0.06283026644890574
429113585,34.2243,33.6132,45.4685,0.747,0.7156,0.913,0.06378702284985524
429113586,14.6492,22.628,41.9229,0.0677,0.193,0.3863,0.06346488289866778
429113587,24.2662,24.1189,33.0162,0.1756,0.1667,0.2532,0.07391723900466864
429113588,15.6264,15.9751,22.8888,0.2128,0.2169,0.3104,0.08666044549832956
429113607,10.0509,13.3061,24.4105,0.0248,0.045,0.1604,0.0815963233535219
429113608,10.5433,13.9185,25.7589,0.0437,0.0761,0.2021,0.08321729873508964
429113609,72.2484,71.2219,87.9206,1.0238,0.9712,1.1422,0.04927912092245134
429113612,22.8652,28.4795,47.7906,0.2042,0.3003,0.5371,0.05764267775279962
429113613,35.6024,33.6761,44.3306,0.436,0.3988,0.4918,0.06314598028335774
429113614,26.4315,28.9472,41.6185,1.5447,1.7395,2.2763,0.07263552511680024
429113615,13.3485,14.4724,21.9413,0.5933,0.6527,0.8728,0.09972671719555438
429113616,50.1634,52.4656,70.4274,1.6962,1.8462,2.3796,0.05487392523583279
429113617,73.2426,73.1191,93.6847,2.8559,2.8803,3.5441,0.04536536335524013
429113693,52.8401,52.4529,52.0901,0.3562,0.3519,0.3121,0.05324636892277132
429113700,56.7051,54.9595,54.5776,0.4656,0.4431,0.4067,0.05108195634991484
429113701,78.821,76.0257,75.4851,0.732,0.6982,0.6341,0.04288813389916635
429113702,77.2166,74.4222,75.0652,0.8518,0.8149,0.7421,0.041610039451085
429113707,57.94,55.9721,58.1783,0.4653,0.444,0.4207,0.04079947169724779
429113709,54.4761,52.6127,54.8975,0.6096,0.5866,0.5497,0.0430350075951413
429113710,49.8885,48.1432,51.7185,0.64,0.6161,0.5817,0.0404059159192194
429113711,47.0461,44.5918,50.4654,0.3168,0.2993,0.3097,0.04027641246938456
429113712,25.9342,24.4818,26.9979,0.1638,0.156,0.1558,0.077091360650504
429113713,19.2112,18.1664,20.5867,0.1783,0.1695,0.1623,0.08433420746488306
429113714,15.6519,17.2209,21.6706,0.1307,0.1434,0.1707,0.08726219508235135
429113715,16.9145,15.7933,18.3111,0.1598,0.1482,0.1477,0.09172037375316221
429113717,14.0228,15.722,22.0677,0.6768,0.7432,0.8447,0.07391723900466864
429113718,23.4635,22.3433,27.2962,0.1828,0.1723,0.1945,0.07804894248762141
429113794,22.4374,21.9262,32.7641,0.2333,0.2274,0.3691,0.06866661880204716
429113830,27.2796,27.57,46.3867,0.4756,0.4822,0.7188,0.057118675464029094
