detection_id,B,G,R,nB,nG,nR,Compactness
421933480,30.7118,31.0027,32.5171,0.0083,0.012,0.0406,0.05324636892277132
421933483,49.3053,49.9745,50.2601,0.0085,0.0078,0.0382,0.048331474165630606
421933494,38.0897,40.2355,50.2085,0.3325,0.3743,0.5444,0.048331474165630606
421933496,51.4729,52.5658,53.6086,0.0011,0.0158,0.0361,0.047962542530693694
421933501,52.3683,53.7891,55.0809,0.0,0.0016,0.0293,0.04851807655625124
421933502,43.6761,46.0399,53.594,0.3362,0.3729,0.3881,0.04870612541107282
421933505,51.313,52.4362,53.1814,0.0004,0.0034,0.0308,0.049086630312145024
421933856,43.3353,45.5383,52.0219,0.3096,0.3439,0.3031,0.049086630312145024
421933857,53.4746,53.0182,56.7982,0.0,0.0,0.0255,0.04889563761385481
421933858,50.9342,51.9266,52.7801,0.0004,0.0026,0.0307,0.04927912092245134
421933859,40.6037,42.5831,48.5291,0.3095,0.3358,0.3462,0.05006442052760694
421933860,52.9358,52.33,56.4969,0.4788,0.4995,0.6041,0.04986575853700407
421933861,60.8925,62.7738,79.6407,0.9947,1.0527,1.3169,0.049668666921834095
421933862,49.529,50.1439,49.2717,0.0146,0.0399,0.0268,0.04947312713553582
421933863,44.0755,45.1327,42.7089,0.3294,0.3337,0.1415,0.04947312713553582
421933864,51.458,50.8253,54.1638,0.0,0.0,0.0253,0.04927912092245134
421933865,58.7534,58.9033,72.1633,1.7329,1.743,1.9767,0.04947312713553582
421933866,47.3295,48.1856,47.1055,0.0376,0.069,0.0288,0.05006442052760694
421933867,42.9096,43.0108,40.1696,0.323,0.3264,0.1909,0.05046653131091824
421933868,50.9065,49.7924,52.6158,0.0,0.0,0.0247,0.05046653131091824
421933869,41.4618,42.3835,48.0613,0.2884,0.3128,0.2415,0.05046653131091824
421933871,60.8233,60.9119,73.8389,0.914,0.9216,1.0892,0.05046653131091824
421933872,49.6689,49.5159,49.3657,0.0011,0.0023,0.029,0.0502646717369248
421933873,40.4212,41.3609,46.2825,0.3002,0.3194,0.2415,0.050875153686925724
421933875,44.4213,44.4403,44.5544,0.0004,0.0022,0.0298,0.05257802831020273
421933876,36.4165,37.1987,41.8115,0.2709,0.285,0.2011,0.05214171140333059
421933877,62.1283,62.7349,78.0507,0.4263,0.4253,0.4626,0.051500646728563054
421933878,45.3844,45.4807,44.3288,0.0054,0.033,0.0268,0.05302170881884524
421933879,37.6467,38.2478,41.9542,0.2898,0.312,0.3149,0.05257802831020273
421933880,45.9544,46.5383,45.8273,0.0008,0.0209,0.0271,0.050875153686925724
421933882,63.1151,63.685,77.7366,0.6166,0.5992,0.6644,0.05108195634991484
