detection_id,B,G,R,nB,nG,nR,Compactness
57723014,3.5815,3.74,6.8888,0.0213,0.0223,0.0368,0.1256508846247525
57723021,3.4095,3.5411,6.6888,0.0323,0.0332,0.0501,0.1256508846247525
57723049,2.1894,2.3618,4.7821,0.0025,0.0027,0.011,0.15904183716398032
57723070,2.2866,2.3622,5.6674,0.0215,0.0229,0.0428,0.12318763468639518
57723147,6.9951,7.394,11.6835,0.095,0.0973,0.1226,0.09307904275505513
57723154,14.3381,15.8748,25.2164,0.4481,0.4928,0.6462,0.05046653131091824
57723203,4.7342,4.507,5.5601,0.0272,0.0243,0.027,0.22039234176969208
57723210,2.6118,2.9119,5.3439,0.0542,0.062,0.0878,0.17449830252036147
57723217,12.0047,11.3431,12.8865,0.0836,0.0784,0.0812,0.1427807996875266
57723224,3.9146,4.1405,7.4189,0.0365,0.0383,0.0566,0.12691981982432735
57723231,11.9891,11.2774,13.1937,0.0721,0.0684,0.0746,0.1351063003197879
57723254,4.692,5.003,8.6057,0.0407,0.0449,0.0671,0.10926437976474195
57723350,3.333,3.3778,6.6856,0.0238,0.0245,0.0408,0.12199187159268324
57723356,2.6572,2.6761,5.8387,0.0164,0.0169,0.0314,0.1256508846247525
57723363,1.6353,1.6894,4.0337,0.0,0.0,0.0076,0.16108014280507627
57723371,3.7156,3.6908,4.5446,0.0002,0.0006,0.0061,0.19941430995731257
57723378,3.3113,3.2954,4.1883,0.0011,0.0018,0.0061,0.19941430995731257
57723385,4.0667,4.0106,4.8829,0.0071,0.0052,0.006,0.20262892686416292
57723540,1.1017,1.3463,5.1466,0.0,0.0,0.0126,0.09816868357674101
57723548,17.8902,17.1874,20.6819,0.4436,0.4255,0.4285,0.08606693785815557
57723555,8.029,7.731,10.045,0.2408,0.2289,0.2321,0.13226261511265314
57723582,5.444,5.6475,13.2384,0.0243,0.027,0.0508,0.04471960971181389
57723719,1.979,2.0123,4.3334,0.0,0.0,0.0073,0.16752101074657041
57723821,7.0944,6.9392,8.1634,0.0759,0.0742,0.075,0.17449830252036147
57723938,1.713,1.9613,4.2599,0.0032,0.0041,0.0119,0.16752101074657041
57723945,1.858,2.1109,4.5013,0.0115,0.0132,0.0248,0.16317136358672749
57723952,2.4478,2.8045,5.7355,0.0025,0.0035,0.0134,0.13657449043501094
57723966,2.2221,2.5469,5.3831,0.0029,0.0033,0.013,0.13657449043501094
57723973,1.5761,1.9067,3.9772,0.0141,0.018,0.0284,0.18475840065665078
57723980,2.1635,2.6314,5.342,0.0044,0.0051,0.0148,0.14442151192814084
57723994,2.4606,2.7745,5.7764,0.0187,0.0207,0.036,0.1336693370934263
