detection_id,B,G,R,nB,nG,nR,Compactness
432471284,0.5584,1.3822,4.5645,0.0009,0.0015,0.0104,0.15705446369492315
432471285,0.5773,1.4246,4.6111,0.003,0.0059,0.0172,0.15705446369492315
432471286,2.3658,3.6664,7.5437,0.002,0.0231,0.0495,0.15904183716398032
432471287,1.9663,3.0437,6.3945,0.0025,0.0203,0.0429,0.1794818739290955
432471288,2.4075,3.7328,7.6268,0.0013,0.0182,0.0458,0.1495779344429456
432471289,3.036,4.7368,9.3989,0.0068,0.0326,0.0688,0.13226261511265314
432471290,5.5535,8.15,14.7701,0.0139,0.0376,0.1145,0.09307904275505513
432471291,5.2616,8.4832,16.7923,0.0367,0.0921,0.2008,0.1038470904936626
432471292,4.2635,6.6372,12.3921,0.0023,0.0257,0.0748,0.13226261511265314
432471298,0.4306,1.1972,4.4163,0.0011,0.0018,0.011,0.16317136358672749
432471301,0.6335,1.9689,5.8714,0.0128,0.021,0.0476,0.15511613727099602
432471302,8.2805,10.5869,16.643,0.2261,0.2927,0.3875,0.09592081711552267
432471303,13.0161,16.5891,23.6862,0.4443,0.5759,0.7254,0.0937735836449438
432471304,7.6786,9.967,15.9482,0.0109,0.019,0.0607,0.10133499999681532
432471305,14.2205,18.0283,27.7205,0.5656,0.7196,0.9609,0.07756719641593564
432471306,3.7396,4.6503,7.8899,0.0,0.0025,0.0256,0.15904183716398032
432471308,1.8516,2.3412,5.1541,0.005,0.0141,0.0312,0.16752101074657041
432471309,3.4962,4.3973,8.2517,0.0041,0.0115,0.0416,0.13226261511265314
432471310,2.979,3.682,7.1538,0.0038,0.009,0.0348,0.1427807996875266
432471312,1.7436,2.2096,4.4944,0.0048,0.0085,0.0288,0.1963000700655754
432471315,1.3478,1.8091,4.2692,0.0189,0.0305,0.0596,0.2059488517353309
432471316,1.3734,1.8334,4.3641,0.0376,0.056,0.1019,0.2059488517353309
432471317,2.39,3.3421,7.1825,0.0227,0.0481,0.0984,0.15322506464696445
432471318,4.4036,5.5104,10.0257,0.0694,0.0894,0.1355,0.11527791973048969
432471319,3.5123,4.401,8.3085,0.0863,0.1089,0.162,0.12440706908215582
432471320,7.6391,9.3905,15.7045,0.1366,0.1706,0.2597,0.09972671719555438
432471322,1.5445,2.6993,6.0459,0.0206,0.0511,0.0952,0.17449830252036147
432471323,2.045,3.4772,7.4509,0.0238,0.0605,0.1109,0.15511613727099602
