detection_id,B,G,R,nB,nG,nR,Compactness
32696195,5.9635,5.8194,9.1574,0.0387,0.0389,0.0446,0.06648685222060789
32696196,17.0126,16.6953,18.8321,0.2703,0.2628,0.2385,0.06684048540909966
32696197,18.368,18.0679,20.1005,0.6794,0.6636,0.592,0.06684048540909966
32696198,24.1868,23.7057,25.554,0.9999,0.9783,0.8608,0.0595549083537657
32696203,17.5368,17.0319,19.3721,0.4878,0.4746,0.4279,0.06866661880204716
32696205,11.3656,10.764,13.9951,0.1671,0.16,0.1519,0.07139750161301212
32696206,11.8256,11.2582,14.4827,0.1615,0.1549,0.1473,0.06904388481989716
32696207,11.6694,11.0244,14.3047,0.2041,0.1927,0.1825,0.06981099120988524
32696208,11.2268,10.6922,13.8594,0.12,0.1162,0.1108,0.06792432131461863
32696210,11.2611,10.7267,14.5127,0.1284,0.1249,0.1212,0.06314598028335774
32696212,10.704,10.1196,14.1111,0.0999,0.0962,0.0974,0.06283026644890574
32696216,10.819,10.1915,14.731,0.118,0.1134,0.1139,0.05535737701133239
32696230,9.5141,9.2252,12.6662,0.1035,0.1024,0.1044,0.06866661880204716
32696232,9.9059,9.6435,13.1978,0.0468,0.0464,0.0572,0.0675591583065621
32696233,10.6395,10.4228,15.9776,0.0357,0.0353,0.0555,0.04586205110904071
32696234,12.9419,12.5837,17.466,0.1568,0.1531,0.1493,0.05006442052760694
32696261,10.5401,10.6888,15.4512,0.0601,0.0608,0.085,0.06719790044098876
32696328,10.2213,10.1338,16.0598,0.0389,0.0383,0.0527,0.0607056738604871
32696329,1.4522,2.4704,8.7933,0.0,0.0,0.0291,0.059274001684944774
32696353,25.2826,25.4057,36.5346,0.7298,0.7445,0.9764,0.047419586082077345
32696354,25.7852,27.4714,36.6963,0.5552,0.59,0.7471,0.049086630312145024
32696355,25.4194,26.9993,36.2203,0.5257,0.5549,0.6995,0.04927912092245134
32696356,23.3596,25.0453,33.9103,0.4594,0.4835,0.6149,0.048331474165630606
32696359,8.0816,8.0226,15.292,0.0158,0.0165,0.0393,0.0502646717369248
32696360,7.9803,7.9534,14.8741,0.0223,0.0234,0.0445,0.05302170881884524
32696361,9.2365,8.9066,16.0655,0.0491,0.0495,0.0679,0.04947312713553582
32696362,11.4644,10.8773,17.4291,0.1058,0.1056,0.1175,0.047419586082077345
32696363,14.5131,14.2742,19.5776,0.2154,0.2136,0.2112,0.04851807655625124
32696364,29.4268,30.0655,37.2793,0.41,0.4289,0.4956,0.04552483014500364
32696365,33.9074,34.3166,39.4331,0.2665,0.28,0.3083,0.05046653131091824
32696366,34.26,34.6728,39.4894,0.1929,0.2032,0.2414,0.05108195634991484
32696367,30.4529,30.6587,36.8165,0.2908,0.2983,0.3487,0.04456103357379679
32696368,29.8015,30.0775,35.6401,0.204,0.2107,0.2564,0.04586205110904071
32696369,16.405,17.2199,25.4023,0.243,0.262,0.334,0.05347294092237722
32696370,14.2905,14.9933,22.5407,0.3743,0.3973,0.5031,0.05660411406725943
32696371,12.5128,13.0869,19.7725,0.318,0.3377,0.4275,0.06477336728387235
32696372,11.5363,11.9721,18.2954,0.2752,0.2872,0.3617,0.06719790044098876
32696373,17.6964,16.9841,19.3824,0.9333,0.9119,0.8043,0.06942531913488556
32696374,9.0334,9.2396,15.6409,0.1256,0.1307,0.1791,0.06378702284985524
32696375,11.7382,11.0574,14.5028,0.1316,0.126,0.1268,0.06648685222060789
32696376,10.3974,10.2134,15.1662,0.1085,0.1058,0.1328,0.06684048540909966
32696378,9.3636,9.1499,15.3373,0.1438,0.1386,0.1843,0.06012478543760053
32696380,10.4917,10.2872,16.3203,0.1977,0.1941,0.2393,0.05790830079919458
32696381,4.4208,5.3849,12.0519,0.0,0.0,0.0214,0.058176383157876974
32696382,8.461,8.2763,14.2234,0.1381,0.136,0.1738,0.05737948033237819
32696387,11.8036,11.978,19.2486,0.1387,0.1396,0.1803,0.05844695914181379
32696389,16.7202,18.2905,25.5288,0.1634,0.1672,0.2042,0.05737948033237819
32696449,23.0321,23.7168,29.0917,0.3523,0.3538,0.3575,0.05006442052760694
32696451,20.1969,20.7504,25.3027,0.5014,0.5005,0.4653,0.05323850579864447
32696452,9.1583,9.3,16.5484,0.1436,0.1446,0.1945,0.0595549083537657
32696453,21.9819,22.1984,24.3358,0.3731,0.3733,0.352,0.07099415216660818
32696460,15.4854,15.4578,21.7033,0.1166,0.1139,0.1375,0.06444121395927624
32696534,24.2197,23.7249,29.3715,0.2333,0.2239,0.2704,0.06510896233025722
32696583,23.9852,23.8162,27.4122,0.3903,0.3873,0.3764,0.05279893651282317
32696584,22.4426,22.0095,24.8293,0.4041,0.4,0.3777,0.057118675464029094
32696590,4.3425,4.8231,10.6947,0.0971,0.1066,0.1576,0.06477336728387235
32696591,10.1747,9.991,14.9852,0.1176,0.1136,0.1198,0.05347294092237722
32696595,12.1141,11.8708,16.613,0.1474,0.1451,0.1636,0.047419586082077345
32696596,17.2758,16.5284,21.1581,0.1335,0.1273,0.1332,0.048146301614186766
32696597,11.5955,11.3157,15.8295,0.116,0.1183,0.1324,0.050875153686925724
32696598,24.0939,23.5669,26.3664,0.0909,0.0872,0.0964,0.04706237766573816
32696600,16.9747,16.4373,24.5438,0.3588,0.3517,0.4281,0.0396411506922282
32696729,27.8392,27.2948,32.8013,0.4743,0.4579,0.464,0.04520218287170602
32696730,16.2697,16.5253,21.1662,0.056,0.0548,0.0676,0.05686023067241032
32696731,58.3075,56.9445,61.6904,0.4186,0.3937,0.4105,0.05535737701133239
32696732,38.8921,38.2313,42.7802,0.4679,0.4557,0.463,0.04741404913931335
32696733,17.4685,17.9438,23.5354,0.0435,0.0423,0.0618,0.047956811575199355
32696734,73.8342,72.4827,78.3329,0.495,0.4682,0.4893,0.04671448198421
32696764,21.8814,21.2366,24.7212,0.2927,0.2826,0.2884,0.07305779571290515
32696766,26.6082,25.792,28.7828,0.2444,0.2331,0.24,0.07391723900466864
32696767,28.9152,27.0244,30.7509,0.3821,0.3411,0.3512,0.07305779571290515
32696768,39.0257,37.9447,39.9087,0.3515,0.3438,0.336,0.06942531913488556
32696787,21.6463,20.458,24.7501,0.9572,0.9066,0.8245,0.05214171140333059
32696788,18.5903,17.5306,21.5821,0.7375,0.6932,0.6468,0.058176383157876974
32696789,15.7523,14.9658,17.4882,1.1281,1.0712,0.9652,0.07953076456813789
32696790,17.6655,17.1532,18.9428,0.093,0.0902,0.0864,0.07221810771057427
32696791,22.6713,21.4274,24.2212,1.6663,1.5765,1.4667,0.07059533429497317
32696793,24.4264,23.1308,26.3042,2.5176,2.3965,2.2305,0.06378702284985524
32696794,30.2509,28.6314,32.0852,2.0289,1.9212,1.8149,0.05844695914181379
32696795,29.027,27.3466,30.2905,2.3671,2.2364,2.0888,0.06251769380643689
32696816,17.0942,16.2601,20.5944,0.3942,0.3646,0.3872,0.077091360650504
32696817,17.9804,16.8532,21.3969,0.3814,0.3487,0.3723,0.0752449975094086
32696818,17.9522,17.0613,21.3564,0.4596,0.442,0.466,0.07615699026400004
32696819,18.4576,17.4565,21.6866,0.4876,0.4628,0.4844,0.07756719641593564
32696820,18.8645,17.9029,22.0768,0.5503,0.5339,0.5523,0.07756719641593564
32696821,16.7472,16.0534,17.3076,0.0803,0.0759,0.0736,0.0752449975094086
32696822,23.0093,21.8715,26.2535,0.5879,0.5544,0.5747,0.07479714303071543
32696823,24.0083,22.7769,27.2039,0.6889,0.6557,0.679,0.0752449975094086
32696830,22.3505,20.9887,26.3786,0.7356,0.6868,0.7236,0.06477336728387235
32696831,22.2274,21.0372,26.0436,1.0931,1.0409,1.0598,0.06544805286939072
32696832,20.5775,19.4029,24.1965,1.1966,1.1448,1.161,0.06792432131461863
32696834,19.5791,18.651,22.6315,1.1685,1.1229,1.1385,0.08266986501266944
32696835,19.4041,18.192,22.2706,1.217,1.1588,1.1755,0.08106994029334431
32696836,20.1365,18.8417,23.0846,1.2327,1.1656,1.1801,0.07522254866566874
32696837,21.5671,20.1299,24.4694,1.3492,1.2754,1.2776,0.07261535960546649
32696838,22.7635,21.3476,25.8758,1.4861,1.3988,1.4139,0.06979311458707574
32696839,21.8287,20.3459,24.9436,1.4431,1.349,1.3706,0.06979311458707574
32696840,27.0442,25.393,30.0258,2.0182,1.9085,1.9278,0.07059533429497317
32696841,27.8729,26.1162,31.0675,1.5244,1.4327,1.4572,0.06792432131461863
32696842,26.7625,24.9945,30.1095,1.1404,1.0568,1.1022,0.0661369411690469
32696843,27.5584,26.722,31.7303,1.9144,1.852,1.8811,0.06477336728387235
32696844,27.4713,26.6378,31.7186,2.1772,2.1077,2.1343,0.06411244968272661
32696845,26.9058,25.9059,30.984,1.6861,1.6147,1.6526,0.06444121395927624
32696847,33.0049,32.2137,37.2381,1.9814,1.9314,1.9286,0.06159836113714365
32696849,37.8771,36.7277,42.1197,2.4209,2.3495,2.3402,0.05844695914181379
32696888,42.1707,40.5698,46.5762,2.1903,2.1156,2.1187,0.0539319190680174
32696889,31.1732,29.8799,35.2237,2.3099,2.2269,2.2187,0.05764267775279962
32696890,28.6628,27.4785,32.2452,1.3916,1.345,1.3416,0.06283026644890574
32696891,26.2729,25.1369,29.5308,1.2385,1.1932,1.1953,0.06792432131461863
32696892,17.819,16.5544,20.6315,0.3321,0.2999,0.317,0.07348500463068167
32696893,28.4366,26.7093,30.6586,0.5632,0.5173,0.5295,0.06684048540909966
32696894,31.6013,30.0108,33.4864,0.728,0.6754,0.6691,0.06220821570931003
32696895,36.3782,34.6073,37.9988,0.6823,0.6306,0.6265,0.0595549083537657
32696896,39.5596,37.9725,40.7714,0.6342,0.6039,0.5847,0.06012478543760053
32696897,33.4504,31.6938,34.9626,0.8859,0.8307,0.788,0.0595549083537657
32696898,34.4223,32.6625,35.8491,0.8957,0.8409,0.7963,0.05872006370526449
32696900,36.3799,34.4815,37.7965,0.9237,0.8698,0.8287,0.058176383157876974
32696907,29.6187,27.7487,32.2864,0.7543,0.6929,0.6905,0.05511459098459456
32696908,30.2175,28.3833,33.3481,0.9285,0.8592,0.8547,0.051500646728563054
32696909,31.3759,29.4292,33.8103,0.927,0.8567,0.8485,0.05635029433027713
32696910,30.8923,29.0511,33.321,0.9025,0.8323,0.8287,0.05764267775279962
32696912,31.5276,29.6028,33.9763,1.0471,0.9729,0.9641,0.058176383157876974
