detection_id,B,G,R,nB,nG,nR,Compactness
406622370,4.2417,5.8147,7.9971,0.027,0.0353,0.0378,0.09172037375316221
406622371,4.5849,6.2117,8.4463,0.0503,0.0628,0.0571,0.09307904275505513
406622374,7.6807,9.9887,11.5251,0.0616,0.0766,0.0619,0.08787235948346774
406622375,13.8662,16.6347,14.5555,0.0543,0.0778,0.0708,0.08548150399146558
406622380,10.736,14.004,15.3429,0.088,0.1184,0.0989,0.08106994029334431
406622381,10.4376,13.924,15.4165,0.0482,0.0659,0.0564,0.08003728818317192
406622383,10.1566,13.8581,15.3529,0.0754,0.1009,0.0889,0.07903061153879146
406622393,7.8847,10.6298,12.5761,0.2299,0.3242,0.308,0.08666044549832956
406622397,8.2646,11.228,13.1007,0.2871,0.4085,0.356,0.08377203058083679
406622400,10.0056,13.3689,14.3487,0.2577,0.3696,0.31,0.07853670966610296
406622402,9.1545,12.0542,14.3831,0.0879,0.112,0.1053,0.07059533429497317
406622403,9.2173,12.2232,14.1404,0.0905,0.1189,0.1052,0.06904388481989716
406622406,16.8952,21.7573,23.0563,0.1213,0.1624,0.1291,0.05347294092237722
406622411,22.9969,32.517,41.0151,0.4282,0.5981,0.6655,0.048146301614186766
406622576,26.2476,35.8333,44.7636,0.4479,0.6264,0.6958,0.046199262889625364
406622577,22.5706,29.4586,29.6669,0.1864,0.2658,0.2078,0.05006442052760694
406622580,22.7468,28.6452,29.8289,0.2211,0.3564,0.3059,0.051500646728563054
406622584,12.2631,14.5183,14.4619,0.003,0.0723,0.0255,0.06510896233025722
406622587,12.2954,14.7958,15.6545,0.0912,0.1668,0.1461,0.06220821570931003
406622588,10.3121,12.3714,12.847,0.0202,0.076,0.0477,0.06904388481989716
406622591,17.6846,20.7819,16.4439,0.8301,1.0088,0.6086,0.09447856694680049
406622592,19.7519,23.3907,20.1068,0.0324,0.1392,0.057,0.06792432131461863
406622593,25.3811,30.2818,22.8197,1.6754,2.0086,1.1763,0.06792432131461863
406622594,23.3137,27.6191,23.4161,0.0906,0.2245,0.136,0.0675591583065621
406622596,24.3636,29.0228,24.626,0.1195,0.2764,0.1749,0.06544805286939072
406622597,24.2814,29.0057,25.0284,0.1477,0.3101,0.216,0.06444121395927624
406622598,14.3487,17.8651,17.3513,0.1979,0.2282,0.1632,0.06477336728387235
406622599,24.2539,29.0173,24.9529,0.1523,0.3154,0.2186,0.06477336728387235
406622600,14.421,18.0221,17.4584,0.1737,0.2047,0.1448,0.06477336728387235
406622602,14.7863,17.8088,17.688,0.0697,0.0826,0.0691,0.06477336728387235
406622605,17.3245,22.4186,26.6656,0.3303,0.4966,0.5294,0.06477336728387235
406622606,13.8709,17.0506,17.6863,0.0378,0.046,0.0475,0.06477336728387235
406622608,10.8437,13.2784,13.9956,0.0467,0.0599,0.0489,0.07139750161301212
406622771,14.7217,17.5104,13.4891,0.1345,0.1664,0.0666,0.07662132709270902
406622773,10.1868,12.151,10.3354,0.0917,0.1028,0.0524,0.09519422993221213
406622778,5.3717,7.4822,9.1303,0.0217,0.0282,0.0309,0.09172037375316221
