detection_id,B,G,R,nB,nG,nR,Compactness
427623487,51.7995,53.7132,60.1416,0.6417,0.6778,0.7093,0.05347294092237722
427623488,43.796,45.5924,53.0585,2.0402,2.1273,2.1639,0.04569528448132631
427623489,42.7545,44.393,51.9005,2.505,2.6073,2.654,0.04706439330664793
427623490,40.356,41.776,49.3452,1.8578,1.9184,2.0101,0.05046653131091824
427623491,42.7782,44.263,52.1611,1.4548,1.4983,1.595,0.050670018704328156
427623492,40.9007,42.3795,50.757,1.3673,1.4074,1.4966,0.04586205110904071
427623493,21.4735,21.8743,30.4691,0.7076,0.7248,0.7929,0.04636973518878762
427623494,17.2711,17.6788,25.7372,0.4322,0.4437,0.4899,0.047419586082077345
427623495,33.502,34.6958,42.5702,1.1544,1.1862,1.2664,0.05192625725187585
427623497,34.1569,35.5235,42.3499,1.5021,1.5677,1.6485,0.0589957324588329
427623498,16.1498,16.3286,18.7766,0.3374,0.3416,0.3286,0.08911864874469005
427623500,31.213,32.3898,38.0106,0.948,0.9844,1.0206,0.05983849013957345
427623501,30.7526,32.0016,37.651,1.0313,1.0734,1.1097,0.0595549083537657
427623503,21.0615,21.6463,27.3443,0.9443,0.9709,1.0271,0.06544805286939072
427623504,25.552,26.1334,33.2858,0.7218,0.7345,0.8187,0.05560231145909046
427623505,16.7016,17.097,22.2695,0.5893,0.598,0.665,0.07615699026400004
427623506,42.8388,43.6527,52.5833,0.4679,0.4777,0.5645,0.056098740702361524
427623507,43.1189,44.0999,53.5844,0.4743,0.4904,0.5788,0.05279893651282317
427623508,42.3541,43.58,52.7082,0.502,0.5176,0.575,0.05006442052760694
427623509,14.1202,14.3807,17.813,0.6786,0.6865,0.6695,0.07804894248762141
427623510,25.0324,25.9623,31.5723,0.7854,0.8085,0.833,0.05844695914181379
427623511,20.0162,20.8081,24.8924,0.7046,0.7288,0.7482,0.07853670966610296
427623512,13.4197,13.9881,17.1644,0.5332,0.5505,0.5658,0.09972671719555438
427623516,29.4675,30.4843,35.2138,1.0624,1.1081,1.1049,0.06220821570931003
427623517,35.9611,37.9047,44.4987,1.3584,1.4251,1.4984,0.05584942297118333
427623518,25.3937,26.7321,31.5789,1.4832,1.5576,1.5754,0.06719790044098876
427623521,28.7997,29.9319,35.0833,1.1894,1.2431,1.2406,0.056098740702361524
427623523,18.198,18.7518,22.1106,0.858,0.8989,0.8891,0.0815963233535219
427623526,19.0233,19.8991,24.0648,1.2462,1.2859,1.3279,0.07903061153879146
427623529,23.7959,24.8753,29.868,0.8495,0.8833,0.9234,0.0752449975094086
427623530,23.9803,24.5952,29.3742,0.7335,0.7606,0.7925,0.07348500463068167
427623534,52.9861,53.1867,52.7469,0.2336,0.2336,0.2538,0.06159836113714365
427623540,66.4965,66.5367,64.9112,0.3552,0.3564,0.3358,0.05257802831020273
427623541,61.5017,61.527,60.3105,0.3394,0.3393,0.3147,0.05463535211139932
427623543,42.3935,41.7798,44.0961,0.1986,0.196,0.2115,0.06792432131461863
427623544,22.8697,22.6789,24.9048,0.1047,0.1044,0.1181,0.08911864874469005
427623552,23.448,24.3258,34.0606,0.0236,0.0323,0.0842,0.04759920052280796
427623559,11.6419,12.0943,15.6949,0.0,0.0,0.0146,0.10052442674077641
427623560,17.8098,18.8246,23.1013,0.0097,0.018,0.0455,0.07953076456813789
427623561,21.135,22.4425,26.6147,0.0,0.0009,0.0204,0.07391723900466864
427623562,18.3406,19.2296,23.7639,0.0,0.0,0.0178,0.06981099120988524
427623563,18.9775,19.9518,24.8177,0.0,0.0,0.0192,0.06477336728387235
427623573,17.3164,18.6298,22.6656,1.251,1.3465,1.4191,0.08911864874469005
427623582,36.0225,35.9719,36.6946,0.5649,0.5591,0.4902,0.05686023067241032
427623583,31.1315,30.9816,31.3984,0.4945,0.4896,0.4319,0.0675591583065621
427623584,20.423,20.2622,21.298,0.3427,0.3408,0.3028,0.08266986501266944
427623585,14.159,14.8577,18.4932,0.1248,0.1338,0.1529,0.09665858053229819
427623586,13.7911,14.4945,17.9918,0.147,0.1564,0.1792,0.09972671719555438
427623588,14.9541,15.8123,19.3258,0.247,0.264,0.2937,0.09447856694680049
427623589,13.5122,14.3635,17.4923,0.2045,0.218,0.2412,0.1038470904936626
427623599,59.7041,74.5608,89.4444,2.9238,3.7713,4.1943,0.04079947169724779
427623602,32.8763,38.1491,51.2148,0.1497,0.2314,0.3263,0.05006442052760694
427623611,17.544,20.2562,27.8793,0.081,0.1168,0.1748,0.06829345312829196
427623612,17.8378,20.175,27.291,0.078,0.1174,0.1607,0.06648685222060789
427623624,17.3393,17.8922,22.3234,0.085,0.0856,0.1051,0.10471236017896915
427623625,32.9614,32.9425,34.6939,0.1362,0.1362,0.1549,0.06648685222060789
427623626,86.632,86.4499,86.9982,0.3597,0.3597,0.393,0.03751121781510277
427623629,18.5811,18.2932,21.5901,0.2869,0.2849,0.2772,0.08106994029334431
427623633,34.987,34.3138,38.3001,0.9048,0.893,0.8326,0.0502646717369248
427623635,16.2661,15.9747,18.4187,0.3524,0.3472,0.3289,0.08911864874469005
427623637,19.4873,18.9168,21.0815,0.2558,0.2415,0.24,0.08975514439115811
427623644,18.3348,19.1521,25.1383,0.4155,0.4233,0.4684,0.0661369411690469
427623650,54.336,52.6836,54.2082,0.599,0.5795,0.5239,0.05235896091135454
427623651,69.4647,67.2184,69.4463,0.7504,0.7133,0.6633,0.04147271561468917
427623652,80.5385,77.9175,80.1098,0.7548,0.725,0.679,0.03890479695236772
427623654,77.895,75.5515,76.6987,0.6491,0.6253,0.5954,0.04636973518878762
427623658,44.8507,43.7146,45.4725,0.3341,0.3258,0.3198,0.05983849013957345
427623667,13.116,13.831,16.8387,0.1135,0.1247,0.1417,0.09740778003073822
427623669,13.4477,14.2027,17.3356,0.2777,0.3022,0.3205,0.1021587506273488
427623670,19.5466,21.491,30.5305,0.0411,0.0744,0.1597,0.06129789587454133
427623673,18.1178,19.1278,23.4649,0.0414,0.0561,0.0746,0.0815963233535219
427623674,18.439,19.5166,23.5126,0.0038,0.01,0.0296,0.08321729873508964
427623675,16.218,17.0719,20.5534,0.0074,0.0077,0.0217,0.08849111644335216
427623676,21.6393,22.6025,26.2718,0.2235,0.2378,0.2589,0.07953076456813789
427623677,22.339,23.3699,27.4253,0.3296,0.3515,0.3787,0.07391723900466864
427623678,21.7057,22.4986,27.7888,0.5788,0.6134,0.6554,0.07020097205976435
427623679,23.0718,23.9772,29.1182,0.5323,0.5574,0.5975,0.07020097205976435
427623680,15.5515,16.3442,19.0933,0.2187,0.2339,0.2421,0.09239471398211957
427623702,18.2629,19.284,26.1754,0.355,0.3795,0.4328,0.06444121395927624
427623703,20.2604,21.4686,28.5819,0.3689,0.3985,0.4488,0.06346488289866778
427623704,33.0248,35.0603,43.8468,1.154,1.2455,1.3413,0.05660411406725943
427623705,44.686,47.4082,56.6532,1.5947,1.6955,1.8221,0.051500646728563054
427623706,47.1442,50.0019,60.0672,1.9015,2.0162,2.1641,0.04586205110904071
