detection_id,B,G,R,nB,nG,nR,Compactness
415597823,12.6815,12.7879,15.1624,0.2099,0.213,0.2064,0.09105580497377844
415597833,13.8034,15.415,22.6894,0.1744,0.2014,0.2604,0.06684048540909966
415597848,10.8612,11.9352,23.7108,0.0226,0.0243,0.066,0.04288404716196293
415597849,11.9583,13.0793,22.7091,0.1097,0.1207,0.1773,0.06981099120988524
415597851,13.4352,14.4272,24.9072,0.251,0.2642,0.3628,0.06190178642991358
415597856,7.9878,8.2319,13.4339,0.143,0.1413,0.1687,0.08666044549832956
415598158,6.2519,6.2464,10.7648,0.24,0.235,0.282,0.09105580497377844
415598160,16.5277,17.5199,28.5667,0.4728,0.4935,0.6326,0.056098740702361524
415598162,18.6286,19.7272,30.5693,0.6358,0.6693,0.8419,0.0589957324588329
415598165,16.4624,17.4936,26.8484,0.8037,0.8518,1.0977,0.06444121395927624
415598166,14.8023,16.082,22.4164,0.2409,0.2691,0.3346,0.07435458803139107
415598167,14.3398,15.427,21.6826,0.2357,0.262,0.335,0.07479714303071543
415598168,12.6706,13.2253,18.9116,0.1567,0.1741,0.2166,0.077091360650504
415598169,11.3342,11.5891,16.7228,0.1211,0.1275,0.1765,0.08266986501266944
415598170,9.3472,9.5646,14.3324,0.0957,0.1012,0.144,0.08849111644335216
415598171,8.9326,9.2212,13.9838,0.0896,0.0932,0.1344,0.09105580497377844
415598172,12.4036,12.8421,19.7161,0.1225,0.1274,0.1844,0.06346488289866778
415598173,14.3697,15.0258,21.6162,0.1526,0.1663,0.2289,0.07479714303071543
415598178,15.0434,15.7218,23.379,0.1571,0.1639,0.2416,0.07479714303071543
415598184,12.6588,13.0866,18.0296,0.1183,0.1232,0.1321,0.06159836113714365
415598186,9.2119,9.9564,12.7508,0.0913,0.099,0.1108,0.10832258979485408
415598187,11.7617,12.5019,16.055,0.1245,0.1391,0.1578,0.0937735836449438
415598191,10.743,11.4926,14.7561,0.1468,0.1613,0.1794,0.09816868357674101
415598192,11.0472,11.8207,15.0922,0.1485,0.1673,0.1835,0.09592081711552267
415598195,7.7405,8.766,12.4567,0.0898,0.1119,0.1318,0.0937735836449438
415598197,9.56,10.4665,14.5845,0.1143,0.1291,0.1517,0.08321729873508964
415598198,9.0814,9.988,15.9366,0.0995,0.1137,0.1583,0.08321729873508964
415598200,8.0026,9.0567,15.4106,0.0983,0.1153,0.1787,0.07662132709270902
415598203,11.3068,11.8158,15.8927,0.0435,0.0473,0.0595,0.06648685222060789
415598512,11.9517,13.4351,20.9374,0.4128,0.4584,0.5911,0.0815963233535219
415598513,14.0394,15.0281,20.3211,0.337,0.3688,0.403,0.08106994029334431
415598514,11.3812,12.7336,20.1718,0.4108,0.4619,0.601,0.0815963233535219
415598515,12.0281,12.8036,17.2272,0.2252,0.2469,0.2734,0.09105580497377844
415598516,8.9984,10.0547,16.2371,0.3583,0.3962,0.5174,0.09519422993221213
415598517,9.7848,10.4339,14.2304,0.242,0.2679,0.2867,0.10052442674077641
415598520,9.5372,10.5318,16.7897,0.576,0.6357,0.8078,0.09239471398211957
415598535,9.385,9.9641,12.8742,0.152,0.1589,0.1653,0.09894156757337469
415598536,9.6861,10.2105,12.0894,0.0767,0.081,0.0849,0.10133499999681532
415598540,11.6273,11.9149,13.6457,0.099,0.0996,0.1059,0.10052442674077641
415598541,10.7823,11.3817,14.0759,0.115,0.1232,0.1294,0.09894156757337469
415598546,11.1003,11.093,12.9471,0.135,0.134,0.123,0.09239471398211957
415598548,10.8038,10.8619,12.8919,0.1373,0.1378,0.1251,0.0937735836449438
415598549,10.3283,10.8836,13.522,0.1053,0.1094,0.1134,0.08212958633865283
415598551,19.7464,21.447,24.9095,0.3269,0.3472,0.3396,0.06981099120988524
415598552,20.8247,22.604,26.8106,0.2925,0.3088,0.3156,0.06829345312829196
415598553,20.238,22.3239,27.969,0.248,0.2808,0.3008,0.059274001684944774
415598554,24.9173,27.9807,36.1042,0.198,0.2774,0.311,0.04778018079289879
415598867,10.8741,11.805,16.1021,0.077,0.0924,0.1133,0.07263552511680024
415598885,21.953,22.3538,26.2935,0.0,0.0,0.0152,0.0815963233535219
415598886,25.0549,25.6933,30.1055,0.0084,0.0083,0.0251,0.077091360650504
415598887,24.0551,24.6108,30.1991,0.0597,0.0606,0.0829,0.07139750161301212
415598889,15.135,15.6719,21.4985,1.4705,1.5204,1.7416,0.077091360650504
415598900,20.5629,20.1939,22.603,0.2014,0.1963,0.1998,0.08606693785815557
415599208,20.3182,21.2416,28.3287,0.6094,0.6334,0.7473,0.08003728818317192
