detection_id,B,G,R,nB,nG,nR,Compactness
430250863,13.2025,12.5085,19.2808,0.3575,0.3461,0.4255,0.06510896233025722
430250864,10.566,10.0191,16.7238,0.3371,0.3258,0.3955,0.06041383338136221
430250865,4.0447,3.5258,7.4793,0.0,0.0,0.0153,0.08106994029334431
430250866,3.7606,3.3567,7.4675,0.0,0.0,0.0161,0.077091360650504
430250867,4.0577,3.6908,7.5294,0.0,0.0,0.0156,0.07953076456813789
430250905,6.8277,7.5688,12.0996,0.0431,0.0471,0.0642,0.06942531913488556
430250989,1.3823,2.281,7.614,0.0,0.0,0.0211,0.06444121395927624
430250992,10.2607,9.9379,14.2009,0.1152,0.1112,0.1505,0.1021587506273488
430250993,10.6223,10.3665,14.6217,0.1349,0.1324,0.1704,0.10133499999681532
430250996,10.6277,10.3441,14.8656,0.1891,0.1861,0.231,0.09592081711552267
430251008,10.0159,9.2811,13.3048,0.1285,0.1209,0.1498,0.10471236017896915
430251010,10.6678,9.6048,13.7934,0.129,0.1129,0.1439,0.1021587506273488
430251011,10.6257,9.5863,13.9505,0.1323,0.1188,0.1549,0.09972671719555438
430251012,11.0875,9.9493,14.4391,0.1288,0.1165,0.1502,0.09972671719555438
430251013,11.5003,10.4824,14.6598,0.1235,0.1123,0.1422,0.09972671719555438
430251014,11.398,10.3464,14.4754,0.1217,0.1103,0.1376,0.09972671719555438
430251015,11.5647,10.5806,14.7077,0.1315,0.1196,0.1474,0.09816868357674101
430251018,2.0972,2.1515,4.7723,0.0,0.0,0.0138,0.08975514439115811
430251019,1.9043,1.9682,4.7598,0.0,0.0,0.0141,0.08787235948346774
430251020,1.8837,1.8891,4.9326,0.0,0.0,0.0139,0.08911864874469005
430251024,9.8584,8.7846,13.0968,0.2689,0.2315,0.284,0.10471236017896915
430251026,10.4488,9.6103,14.111,0.2938,0.2569,0.3074,0.09894156757337469
430251027,10.5733,9.9905,14.6912,0.2517,0.2301,0.2735,0.09307904275505513
430251028,10.0136,9.5425,14.346,0.285,0.2548,0.3064,0.09172037375316221
430251029,10.1757,9.7544,14.4843,0.2933,0.2767,0.3244,0.09307904275505513
430251030,10.2077,9.6738,14.4862,0.2989,0.2711,0.3246,0.09307904275505513
430251031,10.5365,10.0356,14.7446,0.3577,0.3372,0.3936,0.09447856694680049
430251033,10.3356,9.7314,14.4826,0.3422,0.3148,0.3754,0.09447856694680049
430251035,10.9576,10.1026,14.7099,0.3158,0.2919,0.348,0.10052442674077641
430251036,10.9609,10.1474,14.7209,0.2813,0.2542,0.3069,0.10133499999681532
430251037,11.1934,10.3001,14.8541,0.3088,0.2797,0.3322,0.1021587506273488
430251038,3.1559,2.9742,6.4508,0.0,0.0,0.0127,0.09740778003073822
430251039,11.5598,10.7347,15.4605,0.349,0.3148,0.3731,0.09665858053229819
430251040,3.4067,3.2283,6.5638,0.0,0.0,0.0121,0.1021587506273488
430251041,11.9985,11.2821,16.0773,0.3664,0.3409,0.3981,0.09447856694680049
430251042,2.8275,2.7502,6.4262,0.0,0.0,0.0141,0.09105580497377844
430251043,10.7118,10.0659,14.5261,0.2633,0.2513,0.2971,0.09592081711552267
430251044,2.2665,2.2308,6.4613,0.0,0.0,0.0157,0.07903061153879146
430251045,13.0867,12.2534,18.0296,0.2592,0.2352,0.2841,0.07662132709270902
430251046,2.9132,2.7424,7.2903,0.0,0.0,0.0162,0.07662132709270902
430251048,3.1157,3.0036,7.8246,0.0,0.0,0.0169,0.07348500463068167
430251052,5.2807,4.9371,9.8416,0.0,0.0,0.0165,0.0752449975094086
430251068,10.9876,10.9267,16.0041,0.1417,0.1427,0.1812,0.07615699026400004
430251074,11.957,11.7572,17.0893,0.1842,0.18,0.2291,0.07756719641593564
430251075,12.0354,11.8156,17.3859,0.1551,0.15,0.1971,0.0752449975094086
430251076,10.6459,10.4727,15.756,0.1594,0.1554,0.1987,0.07662132709270902
430251077,10.539,10.2747,15.8696,0.1522,0.1499,0.1927,0.07059533429497317
430251078,10.2848,10.0256,15.1638,0.1802,0.1758,0.2177,0.07756719641593564
430251079,9.4646,9.2799,14.5432,0.1587,0.1534,0.1935,0.07391723900466864
430251080,8.6844,8.6796,13.3427,0.0834,0.0807,0.1069,0.08003728818317192
430251081,9.1479,8.9907,13.7476,0.0832,0.0813,0.1088,0.08106994029334431
430251082,9.2732,9.2256,14.066,0.0608,0.0588,0.0832,0.077091360650504
430251083,9.5677,9.5888,14.4288,0.0688,0.0675,0.0939,0.07903061153879146
430251084,8.6776,8.6593,13.7184,0.0647,0.0634,0.0902,0.07391723900466864
430251085,9.3563,9.2693,14.6318,0.0848,0.0837,0.114,0.07099415216660818
430251086,9.4532,9.5563,14.5949,0.082,0.0831,0.1118,0.07479714303071543
430251087,9.7339,9.8138,14.4636,0.1075,0.1116,0.1436,0.08212958633865283
430251088,9.5976,9.7437,14.736,0.1011,0.1037,0.1342,0.07662132709270902
430251089,9.3966,9.4849,14.3787,0.1115,0.1139,0.1468,0.07903061153879146
430251090,9.0173,9.1329,14.1039,0.094,0.0981,0.1271,0.077091360650504
430251091,8.9948,9.0318,13.8625,0.1037,0.1075,0.1403,0.08055030487456037
430251092,8.5162,8.6407,13.2161,0.0943,0.0987,0.1324,0.08433420746488306
430251093,8.7573,8.8608,13.5575,0.1326,0.1384,0.1796,0.08321729873508964
430251094,8.4367,8.5997,13.1596,0.1167,0.1214,0.1605,0.08548150399146558
430251095,7.9101,7.9932,12.3247,0.1009,0.1048,0.1415,0.08975514439115811
430251096,7.5391,7.6617,11.8716,0.1186,0.1228,0.1617,0.08975514439115811
430251097,6.2835,6.0413,10.1152,0.0685,0.0732,0.1058,0.09740778003073822
430251098,5.4926,5.3006,9.147,0.0768,0.0805,0.1134,0.09972671719555438
430251099,5.6729,5.4205,9.2637,0.0866,0.0888,0.1229,0.09972671719555438
430251101,5.7647,5.3519,9.3244,0.0896,0.0895,0.1224,0.0937735836449438
430251105,4.9754,4.5026,8.1929,0.0,0.0,0.0129,0.09592081711552267
430251106,4.8474,4.3381,8.1516,0.0,0.0,0.0132,0.0937735836449438
430251107,9.4229,9.1829,13.7798,0.1203,0.1181,0.1647,0.1038470904936626
430251108,9.8452,9.3762,14.091,0.1704,0.1586,0.2109,0.10471236017896915
430251109,10.2012,9.7023,14.3689,0.1796,0.1679,0.2223,0.10648688664370398
430251110,10.5798,10.1415,14.9725,0.179,0.1726,0.2305,0.10299600257653854
430251111,9.6188,8.9618,13.8311,0.1603,0.1469,0.1994,0.10052442674077641
430251112,9.3593,9.1124,13.6432,0.2808,0.2739,0.3485,0.1132011898318306
430251113,9.6096,9.2938,14.0202,0.288,0.2773,0.3585,0.11022268844923072
430251114,8.9663,8.7734,13.2063,0.2363,0.2348,0.3043,0.11634512054520679
430251115,8.849,8.6437,13.3617,0.2626,0.2527,0.333,0.10832258979485408
430251116,8.8476,8.6923,13.2245,0.2947,0.288,0.3684,0.11219063124580061
430251117,8.4848,8.2598,13.0714,0.2593,0.2525,0.3316,0.10299600257653854
430251118,8.7019,8.4906,13.2663,0.2622,0.2578,0.3408,0.10648688664370398
430251119,8.8465,8.5815,13.3118,0.2585,0.2505,0.3303,0.10832258979485408
430251129,2.2019,2.9447,7.8228,0.0,0.0,0.0176,0.07903061153879146
430251132,11.868,11.1411,15.5989,0.1419,0.1318,0.1678,0.10739689511380088
430251133,12.5533,11.4808,16.5379,0.1765,0.1516,0.2049,0.09307904275505513
430251134,11.9864,11.0201,15.8435,0.1519,0.1312,0.1787,0.09592081711552267
430251135,11.7398,10.8689,15.7822,0.1385,0.1211,0.164,0.0937735836449438
430251136,11.6017,10.7627,15.6382,0.1741,0.1544,0.2066,0.09740778003073822
430251137,11.1274,10.4545,15.274,0.1601,0.1441,0.1956,0.09665858053229819
430251138,11.0492,10.4935,15.2991,0.2002,0.188,0.2428,0.09447856694680049
430251139,11.506,10.9353,15.6528,0.2829,0.273,0.3366,0.09972671719555438
430251140,9.5029,9.1803,13.5479,0.2234,0.2177,0.2705,0.10471236017896915
430251141,9.3584,8.7657,13.3987,0.2325,0.2179,0.2775,0.10299600257653854
430251144,9.9551,9.3088,14.0985,0.3088,0.2867,0.3594,0.09894156757337469
430251145,9.8707,9.2717,14.3395,0.3305,0.3091,0.3853,0.09040079679516942
430251146,9.2094,8.8566,13.5248,0.2589,0.2533,0.3182,0.09972671719555438
430251147,9.5775,9.3301,13.9915,0.2954,0.2948,0.3586,0.10052442674077641
430251148,9.3339,9.0149,13.6756,0.2705,0.266,0.3299,0.10052442674077641
430251150,9.4655,9.0165,13.6047,0.2573,0.2513,0.3139,0.10559216905199818
430251151,10.1994,9.785,14.4545,0.279,0.2717,0.3384,0.10471236017896915
430251152,9.4912,9.3058,13.7998,0.1972,0.1922,0.2463,0.10471236017896915
430251153,9.567,9.3721,13.6661,0.2404,0.2341,0.2893,0.10926437976474195
430251154,9.2085,8.9697,13.3076,0.1251,0.1219,0.1569,0.10559216905199818
430251155,9.3906,9.2126,13.3724,0.1802,0.1784,0.219,0.10926437976474195
430251156,9.3261,9.0632,13.2565,0.1515,0.1476,0.1892,0.11022268844923072
430251157,9.7234,9.451,13.7439,0.1532,0.1494,0.1897,0.10739689511380088
