detection_id,B,G,R,nB,nG,nR,Compactness
432492636,7.6747,7.7792,6.7671,0.084,0.0853,0.0457,0.0607056738604871
432492645,4.3034,4.3916,3.608,0.0954,0.1011,0.0179,0.09972671719555438
432492646,3.6742,3.9175,3.5217,0.0695,0.0854,0.0178,0.09972671719555438
432492647,3.5452,3.5389,3.0985,0.0437,0.048,0.0124,0.10926437976474195
432492648,3.5978,4.0439,3.0661,0.0071,0.0056,0.0126,0.1132011898318306
432492649,4.0938,4.6453,3.7135,0.0326,0.0355,0.0145,0.09447856694680049
432492650,3.9413,5.3286,5.5156,0.0288,0.06,0.023,0.06041383338136221
432492651,4.6237,4.4854,4.4775,0.0357,0.0334,0.0208,0.07804894248762141
432492652,4.9128,4.6199,4.6528,0.0542,0.0536,0.025,0.07756719641593564
432492653,5.7932,5.5769,5.289,0.0367,0.0365,0.022,0.07221810771057427
432492654,5.3328,5.1872,4.922,0.0676,0.0658,0.0303,0.077091360650504
432492655,5.3693,6.122,5.0861,0.0457,0.0525,0.027,0.07569824722699373
432492656,5.5349,6.1867,5.3089,0.0697,0.0683,0.0312,0.07479714303071543
432492657,5.6342,6.1637,5.438,0.0344,0.0414,0.0246,0.07305779571290515
432492658,7.1106,6.215,5.5075,0.0616,0.053,0.0313,0.0752449975094086
432492659,7.0597,6.2297,5.486,0.0491,0.043,0.0279,0.07305779571290515
432492660,23.8266,22.8375,9.5035,0.186,0.2033,0.0516,0.07435458803139107
432492661,7.5574,6.9245,5.6083,0.0705,0.0708,0.0337,0.07348500463068167
432492663,6.4462,5.524,4.8807,0.056,0.0457,0.026,0.08266986501266944
432492666,29.5056,27.7995,11.7398,1.0192,0.91,0.2394,0.06346488289866778
432492674,21.8016,18.9913,9.9125,0.7691,0.6661,0.1832,0.06159836113714365
432492677,2.2213,4.3188,3.513,0.0241,0.0533,0.0147,0.09519422993221213
432492683,21.3933,30.7187,13.5228,0.3433,0.4986,0.1718,0.05324636892277132
432492686,9.2649,11.9895,7.922,0.2162,0.2552,0.0931,0.06510896233025722
432492703,4.4385,4.322,3.5101,0.0317,0.0277,0.015,0.09740778003073822
432492704,4.1549,3.969,3.4052,0.0471,0.0445,0.0149,0.09894156757337469
432492705,4.3431,3.9794,3.4446,0.054,0.0427,0.0193,0.09972671719555438
432492706,4.2341,3.9227,4.0419,0.0394,0.0357,0.0182,0.08787235948346774
432492707,4.4886,5.2675,3.6961,0.0632,0.0714,0.0169,0.09816868357674101
432492708,4.8202,5.0336,3.3848,0.0578,0.0603,0.0166,0.10559216905199818
432492725,6.7168,5.6086,5.3553,0.0922,0.0781,0.0263,0.06792432131461863
432492727,9.5982,16.3729,7.6079,0.2198,0.336,0.0962,0.08849111644335216
432492729,10.6328,16.9807,9.2231,0.2698,0.41,0.1468,0.08726219508235135
432492730,11.2351,19.1169,10.8202,0.193,0.3598,0.1283,0.08606693785815557
432492731,11.3783,19.0827,11.3877,0.2178,0.4169,0.1633,0.08548150399146558
432492732,10.9655,19.3357,11.5297,0.2048,0.4129,0.1674,0.07953076456813789
432492736,1.7942,5.625,5.4274,0.0264,0.0496,0.0365,0.10133499999681532
432492737,4.4291,4.2241,3.2807,0.0429,0.0471,0.0129,0.10471236017896915
432492738,3.372,4.243,3.4182,0.0602,0.0768,0.0173,0.10052442674077641
432492739,3.4262,3.9727,3.3618,0.0302,0.0446,0.0141,0.1021587506273488
432492747,7.4123,17.3737,12.2024,0.0928,0.1667,0.0857,0.05844695914181379
432492748,8.0536,17.1372,12.3266,0.0908,0.1682,0.0825,0.059274001684944774
432492749,6.7302,12.9244,10.3699,0.0667,0.1245,0.0635,0.06346488289866778
432492750,6.2986,12.0504,9.9079,0.0656,0.1195,0.066,0.06444121395927624
432492751,5.639,10.3803,9.0968,0.078,0.1377,0.067,0.06684048540909966
432492752,4.6614,9.3682,8.4692,0.0583,0.1098,0.0576,0.06314598028335774
432492753,3.2648,6.9531,7.8182,0.0281,0.0875,0.0471,0.06444121395927624
432492754,5.1608,11.6293,9.1226,0.0411,0.0865,0.0438,0.06477336728387235
432492758,15.0725,28.9382,20.6485,0.2376,0.5278,0.2593,0.05584942297118333
432492771,13.2645,17.7105,9.0613,0.265,0.2919,0.0524,0.05511459098459456
432492781,3.8635,9.4107,13.4671,0.0625,0.1303,0.1,0.05046653131091824
432492782,3.6926,9.6102,13.7033,0.0462,0.1131,0.0894,0.047962542530693694
432492783,9.252,22.5144,24.3718,0.1489,0.3708,0.2692,0.035101318478072525
432492784,3.9366,10.5404,15.0267,0.0651,0.1122,0.106,0.04870612541107282
432492785,3.6271,8.2574,11.9757,0.0746,0.1152,0.1024,0.05764267775279962
432492786,5.6518,10.6601,14.1109,0.094,0.1456,0.1177,0.048331474165630606
432492787,7.1921,11.7262,12.6242,0.1383,0.2214,0.154,0.06283026644890574
432492789,17.4545,39.9135,38.885,0.3323,0.8424,0.6957,0.05370144932732833
432492790,14.5459,34.4802,33.9291,0.3782,0.762,0.6184,0.05511459098459456
432492793,40.4245,53.0579,52.3725,0.3149,0.5679,0.4902,0.056098740702361524
432492796,65.365,82.1927,81.8096,0.4088,0.6503,0.591,0.05463535211139932
432492797,48.3888,85.9764,80.3775,0.4996,1.2204,1.0562,0.050875153686925724
432492798,47.1101,86.0215,80.2735,0.5038,1.2126,1.063,0.05006442052760694
432492799,53.2673,90.1055,83.3322,0.5644,1.1285,0.9848,0.048146301614186766
432492802,23.6155,56.478,51.5097,0.3857,1.1055,0.9163,0.05302170881884524
432492803,22.9549,54.612,48.9359,0.3674,0.9731,0.7967,0.05511459098459456
432492804,27.5631,60.8234,53.6787,0.4227,1.0592,0.8487,0.05347294092237722
432492805,28.2658,63.8796,56.2275,0.4212,1.0579,0.8407,0.05370144932732833
432492806,29.4757,62.4022,56.0542,0.5392,1.2743,1.0631,0.05584942297118333
432492808,8.5687,27.5859,25.6825,0.2176,0.515,0.3179,0.04688878485347726
432492809,7.3859,25.3923,24.8879,0.2088,0.5045,0.3395,0.04536536335524013
432492815,1.9617,12.3569,16.6503,0.0487,0.1946,0.1776,0.04927912092245134
432492816,7.8639,25.2423,27.6367,0.1608,0.513,0.41,0.0401477364918814
432492817,12.4536,35.2783,37.9078,0.1923,0.6502,0.5599,0.03333231227637428
432492819,2.8884,2.0193,3.1454,0.0258,0.0218,0.016,0.10559216905199818
432492820,2.4627,2.3965,3.2407,0.0186,0.0185,0.0133,0.1021587506273488
432492821,2.5812,2.2952,3.2673,0.042,0.0427,0.0147,0.10133499999681532
432492842,4.174,4.4134,4.8682,0.0604,0.0718,0.0339,0.07099415216660818
432492843,5.2357,4.7358,4.8379,0.0879,0.0805,0.0322,0.07221810771057427
432492845,0.2271,0.563,4.4862,0.0036,0.0361,0.0279,0.07180546030797123
432492846,0.2556,0.8745,4.8815,0.0017,0.0413,0.0281,0.06648685222060789
432492847,0.2673,0.8383,5.1645,0.007,0.0375,0.0385,0.06314598028335774
432492848,0.2428,0.3203,4.2122,0.0156,0.0129,0.0209,0.07569824722699373
