detection_id,B,G,R,nB,nG,nR,Compactness
427650346,9.8581,13.8689,19.873,0.1838,0.2505,0.2878,0.07020097205976435
427650352,23.9463,27.0163,22.835,1.1872,1.346,0.9509,0.07804894248762141
427650356,8.14,10.8405,15.3176,0.1196,0.1541,0.1724,0.08321729873508964
427650357,21.4426,24.1705,20.3739,1.2558,1.4285,0.9804,0.08726219508235135
427650358,8.0192,10.7189,14.4613,0.1243,0.1703,0.1841,0.09447856694680049
427650359,19.8805,22.6774,19.5225,1.3031,1.4943,1.0577,0.08849111644335216
427650360,7.7898,11.1111,15.7483,0.0858,0.1291,0.1439,0.07263552511680024
427650361,17.9117,19.8043,17.9814,0.5641,0.6352,0.4712,0.09816868357674101
427650362,7.0084,9.4702,13.0808,0.0976,0.1342,0.1463,0.10133499999681532
427650363,18.3319,20.2341,17.3251,0.6605,0.7376,0.5385,0.09894156757337469
427650364,17.226,18.6144,15.1899,0.3432,0.3819,0.2893,0.1132011898318306
427650365,16.5056,18.2432,15.2139,0.6797,0.7731,0.5632,0.10559216905199818
427650377,22.2624,26.3061,17.9529,1.7322,2.0199,1.0324,0.06510896233025722
427650382,9.3145,11.2319,8.4287,0.2715,0.3334,0.1344,0.08266986501266944
427650383,9.452,11.1119,9.3749,0.1254,0.1483,0.0835,0.07139750161301212
427650394,4.6383,7.2861,12.4485,0.1163,0.1755,0.2057,0.07348500463068167
427650403,13.5022,14.9367,13.2298,0.0761,0.0832,0.0701,0.11743226366213184
427650408,20.5408,24.5092,17.0755,0.2663,0.3239,0.146,0.06283026644890574
427650409,20.2451,24.3515,16.6695,0.2554,0.3129,0.1415,0.06220821570931003
427650410,19.6934,23.4914,16.6528,0.2786,0.3385,0.1551,0.06220821570931003
427650411,18.1641,21.7103,15.621,0.2136,0.2609,0.1208,0.06378702284985524
427650413,10.9271,12.7348,10.5917,0.176,0.2069,0.1137,0.07903061153879146
427650414,9.3018,10.9089,9.0754,0.1623,0.192,0.1021,0.08321729873508964
427650415,7.1796,8.3835,7.5554,0.2488,0.2941,0.1514,0.0937735836449438
427650416,9.6388,11.2244,7.8527,0.2346,0.2797,0.1102,0.11022268844923072
427650435,15.9813,17.6303,17.6379,0.2641,0.2917,0.2302,0.07479714303071543
427650436,24.8154,27.1469,26.3503,0.4661,0.5157,0.4036,0.06129789587454133
427650437,33.1841,37.5053,33.8571,0.9709,1.1251,0.7372,0.06129789587454133
427650438,39.2098,44.5998,41.0979,1.1969,1.3799,1.0017,0.05192625725187585
427650453,6.5515,7.5177,9.0507,0.1094,0.1286,0.1092,0.10471236017896915
427650454,8.6108,9.8242,12.6977,0.1456,0.1664,0.1578,0.06981099120988524
427650456,8.3646,9.7655,11.9339,0.015,0.0173,0.0299,0.07435458803139107
427650471,14.1601,19.7249,28.1391,0.0719,0.0939,0.1345,0.04947312713553582
427650472,5.695,6.6381,10.012,0.0,0.0,0.0158,0.07853670966610296
427650473,7.3128,8.7966,12.3448,0.0128,0.0154,0.0329,0.06829345312829196
427650474,13.1955,18.69,19.3249,0.1275,0.1717,0.1246,0.0607056738604871
