detection_id,B,G,R,nB,nG,nR,Compactness
428906680,24.192,24.7556,29.8456,1.0067,1.0273,1.08,0.07391723900466864
428906681,64.6701,59.4149,47.6112,2.4941,2.2927,1.4792,0.042023678209542066
428906682,38.3396,35.2429,36.2787,0.5327,0.5034,0.3534,0.042449504107958856
428906685,22.9826,21.2841,21.4795,0.1571,0.1322,0.0347,0.057118675464029094
428906716,18.1079,17.6311,19.0708,0.0601,0.043,0.0337,0.05347294092237722
428906717,19.7473,20.6708,25.1885,0.3399,0.3557,0.3802,0.0815963233535219
428906720,29.3763,30.8753,39.348,0.5501,0.5802,0.6334,0.045040172094838404
428906722,24.1558,24.8812,29.5947,0.6714,0.6947,0.7051,0.06411244968272661
428906781,23.3954,22.4066,20.8935,0.0503,0.0267,0.0221,0.05635029433027713
428906782,23.6989,22.691,20.618,0.066,0.0378,0.0224,0.05560231145909046
428906791,12.7649,12.3901,19.8107,0.6335,0.6111,0.6746,0.049086630312145024
428906792,28.4965,26.9512,27.4638,0.1712,0.1228,0.0667,0.04424723137071616
428906794,22.8858,21.1063,22.4586,0.146,0.0799,0.0486,0.04851807655625124
428906801,17.77,16.4512,16.9088,0.1664,0.1603,0.0852,0.06283026644890574
428906802,24.9313,23.777,27.7112,0.3153,0.3016,0.2443,0.04456103357379679
428906816,72.6003,72.6781,84.3609,0.7444,0.7539,0.8524,0.03819530033179143
428906819,50.7676,49.9348,55.9612,0.5982,0.5825,0.5368,0.035903621265810565
428906820,75.2775,75.5992,87.9582,1.7524,1.7924,1.9254,0.03559849630068496
428906825,26.9458,26.7173,32.0536,0.2175,0.1889,0.1808,0.05257802831020273
428906878,29.6199,30.191,36.2747,0.2539,0.2575,0.2545,0.04348172702451151
428906879,35.4043,34.2071,35.5558,2.022,1.9366,1.559,0.04552972625896745
428906883,23.3609,23.851,31.48,0.1793,0.1862,0.2272,0.05790830079919458
428906894,24.6288,22.4075,18.9012,1.3102,1.186,0.6908,0.05872006370526449
428906899,5.3325,4.5805,11.8629,0.0069,0.0074,0.0359,0.047241322067509035
428906900,5.2921,4.8786,10.7737,0.0,0.0,0.0226,0.05511459098459456
428906902,20.6117,18.5489,15.798,0.855,0.7648,0.4594,0.06866661880204716
428906905,30.3443,28.6581,29.7589,0.1802,0.1679,0.1729,0.057118675464029094
428906906,9.4439,8.0658,14.185,0.0,0.0,0.0228,0.05463535211139932
428906907,21.3295,19.0559,27.3988,1.0189,0.9679,1.0635,0.04671448198421
428906908,8.6234,7.2734,12.8051,0.0202,0.0189,0.0421,0.05844695914181379
428906909,18.116,16.5315,23.1702,0.1506,0.1443,0.1685,0.05214171140333059
428906914,17.6436,17.1752,26.0539,1.7976,1.7572,1.981,0.04409198179755562
428906915,60.6391,54.8664,40.9281,4.8075,4.3568,2.5915,0.04393781784522013
428906917,3.1678,2.8523,6.3789,0.0,0.0,0.0139,0.08911864874469005
428906921,11.1244,10.5753,14.6039,0.0149,0.0115,0.0267,0.057898161403393
428906923,19.1877,17.1724,13.962,0.7611,0.6735,0.3622,0.07099415216660818
428906978,20.8877,18.7279,14.1965,1.2075,1.0772,0.5457,0.07020097205976435
428906982,60.289,55.1034,44.2079,2.8531,2.6654,1.5206,0.03247102396392038
428906989,17.3134,18.7436,25.9881,0.25,0.2814,0.3689,0.07569824722699373
428906999,19.4628,17.8103,16.7191,1.6993,1.5643,0.9126,0.07615699026400004
428907000,26.1445,24.0213,22.3424,1.5824,1.4314,0.9856,0.07263552511680024
428907001,41.2477,37.5993,31.1444,2.1113,1.8909,1.1888,0.06041383338136221
428907004,21.4772,19.1624,13.289,0.7378,0.6606,0.3232,0.08975514439115811
428907006,8.7631,8.0876,12.3299,0.8258,0.7617,0.8389,0.08726219508235135
428907007,52.5711,46.8606,31.4644,3.5218,3.126,1.6573,0.05872006370526449
428907009,18.4295,17.07,26.5189,0.4706,0.4367,0.5023,0.040536254848845585
428907010,51.1498,45.9168,32.0777,0.9203,0.8131,0.4294,0.0589957324588329
428907011,19.7025,18.6322,18.59,1.7139,1.6003,1.1568,0.08433420746488306
428907012,34.6986,30.9956,23.2936,0.5065,0.4377,0.2173,0.051712576293637055
428907013,31.4078,28.0637,21.7763,0.5241,0.4723,0.2425,0.047241322067509035
428907017,34.2891,30.389,25.322,0.7963,0.7071,0.4108,0.04147271561468917
428907018,44.8707,45.0799,53.7023,1.1229,1.1446,1.177,0.0404059159192194
428907022,15.8218,15.2335,25.7056,0.7814,0.7487,0.8803,0.03631868507741698
428907023,46.4939,42.1975,32.7553,1.3761,1.2457,0.7337,0.04870612541107282
428907024,20.8848,19.0338,15.5481,0.2373,0.1996,0.1114,0.0589957324588329
428907025,12.3706,11.8566,14.4128,0.6343,0.6085,0.4631,0.0595549083537657
428907077,59.7261,54.2388,43.0107,0.9029,0.7937,0.5038,0.03378032074245969
428907088,23.1027,20.7336,18.237,0.805,0.7178,0.4296,0.05324636892277132
428907089,20.7525,18.4521,15.7818,0.6699,0.5922,0.3328,0.05660411406725943
428907092,31.7526,28.1463,21.0895,1.2463,1.0938,0.583,0.05439884443645084
428907093,20.1189,17.7203,13.5729,0.7449,0.6489,0.3276,0.06904388481989716
428907094,24.883,22.4215,19.232,0.3853,0.3234,0.2212,0.07435458803139107
428907107,12.0646,11.8014,19.5333,0.0925,0.0926,0.1233,0.04259737366383495
428907108,32.6491,31.4383,34.0872,0.9559,0.9181,0.7219,0.03500354474990032
428907110,17.1455,17.1455,19.2204,0.8407,0.8281,0.6995,0.07756719641593564
428907115,10.1573,10.1704,17.94,0.6931,0.7011,0.9648,0.06981099120988524
