detection_id,B,G,R,nB,nG,nR,Compactness
428261083,8.8592,10.3541,17.0652,0.0229,0.0244,0.0458,0.0607056738604871
428261091,26.626,29.4225,33.7947,0.9565,1.081,1.041,0.05660411406725943
428261092,26.3776,29.1111,32.9361,1.0649,1.2027,1.1284,0.05324636892277132
428261094,24.4636,26.6245,27.2806,0.3855,0.4326,0.3695,0.06579069379816853
428261095,11.1833,12.493,13.0925,0.1745,0.1907,0.1574,0.07804894248762141
428261096,17.4287,18.377,18.4346,0.2778,0.2979,0.2276,0.08106994029334431
428261097,6.591,7.3133,7.9674,0.0975,0.1055,0.0805,0.10559216905199818
428261098,23.8157,25.3936,25.9108,0.749,0.8134,0.6096,0.05347294092237722
428261099,14.3746,16.0333,16.0388,0.1206,0.1294,0.08,0.0539319190680174
428261101,21.8749,23.3577,21.6543,0.276,0.3151,0.2271,0.08106994029334431
428261104,9.747,10.5282,10.6315,0.4342,0.4656,0.3314,0.08433420746488306
428261105,18.2337,19.6984,24.7983,0.4034,0.433,0.4332,0.05487392523583279
428261110,18.1425,19.9845,23.0764,0.5574,0.6158,0.6129,0.09447856694680049
428261111,9.7788,10.5167,10.958,0.3916,0.4245,0.3192,0.1021587506273488
428261119,10.7215,11.287,13.4454,0.0898,0.0974,0.1036,0.10648688664370398
428261120,19.558,20.699,24.6604,0.8905,0.9674,1.0313,0.09665858053229819
428261121,15.1414,16.4839,18.2424,0.3551,0.3864,0.3463,0.09519422993221213
428261122,23.7277,25.3826,29.3516,1.2325,1.3481,1.4164,0.08911864874469005
428261123,26.945,28.1824,32.3398,0.4034,0.4405,0.4635,0.08911864874469005
428261124,33.0723,35.0097,39.0465,0.8669,0.9387,0.9772,0.07756719641593564
428261125,34.6759,37.4348,42.6512,0.8804,0.9776,1.0217,0.07479714303071543
428261126,38.7155,40.6301,42.0116,0.7931,0.8395,0.7895,0.07059533429497317
428261129,18.2248,19.2468,22.8341,0.0619,0.0837,0.0893,0.08003728818317192
428261132,22.9135,24.178,26.243,0.1542,0.1666,0.1592,0.0595549083537657
428261133,24.3989,26.6851,21.7142,0.2368,0.2652,0.1218,0.06314598028335774
428261134,32.4575,35.2548,29.2634,1.1098,1.2178,0.779,0.0607056738604871
428261135,24.7896,25.5966,26.6317,0.2632,0.2698,0.2381,0.06314598028335774
428261136,24.4011,26.0769,23.2122,0.5706,0.6214,0.4171,0.06942531913488556
428261137,36.2547,38.6668,34.7655,0.4844,0.5231,0.4047,0.06129789587454133
428261138,21.237,22.3378,22.3786,0.3779,0.4043,0.3226,0.07305779571290515
428261139,18.7691,19.5937,20.2355,0.2187,0.2278,0.1917,0.07615699026400004
428261142,14.1891,14.8883,14.9211,0.2559,0.2729,0.222,0.10739689511380088
428261150,41.0387,43.6674,40.496,0.6539,0.7028,0.5233,0.04520218287170602
428261151,15.6421,16.4833,16.4078,0.5842,0.6191,0.4812,0.09172037375316221
428261155,19.6168,20.5454,20.5785,0.1454,0.1615,0.1243,0.08055030487456037
428261156,12.2303,13.0396,14.3617,0.5684,0.6107,0.4629,0.07662132709270902
428261157,12.8186,13.6622,13.0765,0.3057,0.3278,0.2469,0.10648688664370398
428261159,32.3723,34.4477,34.9003,1.092,1.1669,0.9134,0.049668666921834095
428261160,30.0057,31.4974,29.486,0.3754,0.4081,0.2985,0.06190178642991358
428261161,36.8117,38.9068,38.1422,0.8924,0.9672,0.7304,0.04363270157106099
428261165,10.7134,11.6204,12.6294,0.0701,0.0831,0.0616,0.11527791973048969
428261170,12.7817,14.8958,18.6171,0.1461,0.1737,0.1891,0.08726219508235135
428261171,14.9613,15.6286,16.7742,0.1022,0.103,0.1066,0.09307904275505513
428261173,25.8617,27.469,27.6555,0.1813,0.1926,0.1799,0.07221810771057427
428261174,26.937,28.7226,29.4096,0.2498,0.2671,0.2376,0.05983849013957345
428261177,22.0498,23.6109,23.3909,0.2057,0.248,0.1611,0.08003728818317192
428261178,13.942,15.0028,15.9566,0.0429,0.0695,0.0183,0.08433420746488306
428261179,0.4021,2.1958,13.0869,0.0,0.0009,0.0367,0.03717828391924453
428261183,5.5656,6.2526,9.3709,0.0537,0.0576,0.0635,0.10471236017896915
428261184,6.2053,7.0298,10.1307,0.072,0.0767,0.0813,0.10052442674077641
428261185,8.3855,9.206,13.0516,0.1381,0.1429,0.15,0.08849111644335216
428261186,8.9661,9.9758,14.1732,0.1325,0.1431,0.1519,0.08849111644335216
428261187,9.7968,10.693,15.4204,0.252,0.2631,0.2959,0.08548150399146558
428261188,10.1408,11.8263,16.4972,0.395,0.4649,0.5093,0.08212958633865283
428261189,11.7303,13.4149,18.148,0.4707,0.5391,0.5845,0.08321729873508964
428261190,12.2491,14.0724,18.8276,0.5121,0.5989,0.6521,0.0815963233535219
428261191,12.677,14.3015,19.324,0.5997,0.6925,0.779,0.07953076456813789
428261193,13.393,15.244,20.4784,0.5541,0.6484,0.7165,0.07615699026400004
428261194,13.4022,15.3,19.9678,0.6973,0.8173,0.8872,0.08212958633865283
428261198,13.2103,14.9976,19.0571,0.3956,0.466,0.4869,0.08548150399146558
428261199,13.4083,15.0874,19.0895,0.3292,0.3785,0.4032,0.08490398027194407
428261201,14.5591,16.3897,19.7396,0.3598,0.4049,0.4145,0.08433420746488306
428261204,13.5944,14.9075,15.9905,1.0679,1.1975,0.9808,0.08377203058083679
428261205,13.3286,14.2948,15.3075,0.8198,0.8993,0.7433,0.08849111644335216
428261211,9.9874,10.6777,12.0167,0.3595,0.3946,0.3065,0.08606693785815557
428261212,9.9477,10.6991,11.7093,0.3918,0.4356,0.3308,0.09105580497377844
428261216,10.4506,11.4832,11.8607,0.5132,0.5861,0.4117,0.08433420746488306
428261217,8.6371,9.3551,10.5288,0.3986,0.4438,0.3197,0.08433420746488306
428261218,7.4419,7.9308,10.7782,0.3041,0.318,0.319,0.08849111644335216
428261227,21.7969,23.312,24.7206,0.726,0.7871,0.7054,0.06792432131461863
428261228,20.3056,21.8028,24.0069,0.6636,0.7125,0.6696,0.0661369411690469
428261230,19.3919,20.8419,24.0213,0.5157,0.5591,0.524,0.06411244968272661
428261231,19.5531,21.3096,24.6021,0.6016,0.6629,0.6031,0.06314598028335774
428261233,17.3302,18.9275,22.2326,0.5761,0.6288,0.56,0.06283026644890574
428261234,16.4218,17.8307,21.0778,0.4569,0.4919,0.4415,0.06283026644890574
428261235,15.1805,16.5944,19.5993,0.328,0.3521,0.3207,0.06283026644890574
428261236,14.3099,15.3745,18.8429,0.2805,0.2983,0.2791,0.06378702284985524
428261237,12.2287,13.027,16.8047,0.1482,0.1595,0.1566,0.06444121395927624
428261239,9.6723,10.3184,13.092,0.2164,0.2311,0.2263,0.09172037375316221
428261240,8.1879,8.828,11.4663,0.1993,0.2172,0.2106,0.09665858053229819
428261241,5.5345,6.0403,8.7419,0.0115,0.0126,0.0226,0.09972671719555438
428261242,6.7071,7.3977,10.1197,0.0119,0.0131,0.0225,0.10739689511380088
428261243,6.5904,7.3892,10.1141,0.006,0.0072,0.0165,0.10052442674077641
428261244,5.8321,6.4138,8.9801,0.0194,0.0206,0.0266,0.10832258979485408
428261245,6.0192,6.7658,9.2559,0.105,0.1131,0.1034,0.09592081711552267
428261246,8.956,10.0055,13.7952,0.109,0.114,0.114,0.07615699026400004
428261247,10.1734,11.412,15.4909,0.1328,0.1376,0.1383,0.07059533429497317
428261250,20.5933,22.9464,28.0568,0.3994,0.4055,0.403,0.058176383157876974
428261251,21.9117,24.6968,29.9376,0.2525,0.2554,0.2627,0.056098740702361524
428261265,18.9666,21.2889,28.719,1.1216,1.2436,1.3128,0.05737948033237819
428261266,16.3356,18.3818,25.2266,1.1181,1.2459,1.324,0.05872006370526449
428261268,10.9349,12.7406,18.3626,0.783,0.9234,0.9817,0.06684048540909966
428261271,6.3132,7.1403,10.6447,0.2525,0.2766,0.2915,0.09740778003073822
428261274,7.6988,8.8103,12.2575,0.2826,0.3081,0.3085,0.0937735836449438
428261275,10.0896,11.4535,14.947,0.294,0.3234,0.3301,0.08548150399146558
428261330,13.4268,16.0895,23.0637,0.1557,0.1705,0.1913,0.058176383157876974
428261341,23.6735,25.1951,28.0798,0.3004,0.3432,0.3051,0.05737948033237819
428261355,12.5134,13.2958,15.7791,0.2434,0.2586,0.2546,0.09172037375316221
428261358,9.8236,10.4416,11.5387,0.3349,0.3603,0.3157,0.1021587506273488
