detection_id,B,G,R,nB,nG,nR,Compactness
37953566,0.4867,0.5541,1.8016,0.0013,0.0014,0.0065,0.2463008640414398
37953570,1.4959,1.4716,3.5507,0.0247,0.0247,0.0345,0.18208192715442573
37953576,6.9332,7.0903,10.3345,0.0992,0.0982,0.1232,0.12199187159268324
37953578,1.6146,1.6755,4.0711,0.0385,0.0397,0.0507,0.15137953892966877
37953586,1.0435,1.0645,3.7751,0.0135,0.014,0.0261,0.13807493637999585
37953591,0.6755,0.7649,3.2451,0.001,0.0011,0.0093,0.15322506464696445
37953592,0.3496,0.4008,1.9237,0.0,0.0,0.0051,0.23701364694242527
37953593,0.6728,0.7113,2.8072,0.0088,0.0094,0.0187,0.17449830252036147
37953596,3.3382,2.9983,4.4687,0.0939,0.0799,0.0881,0.19941430995731257
37953598,8.9227,7.7817,10.4426,0.1285,0.104,0.1074,0.09447856694680049
37953599,10.1813,8.9973,11.7779,0.1422,0.117,0.1189,0.08726219508235135
37953601,5.7316,5.185,7.5909,0.2299,0.2042,0.1947,0.11743226366213184
37953603,1.9363,1.8793,3.186,0.0425,0.0404,0.0462,0.2463008640414398
37953606,1.7456,1.7538,2.9655,0.0084,0.0086,0.0125,0.23701364694242527
37953607,1.0675,1.3482,3.0907,0.021,0.0274,0.0442,0.2415680625597688
37953608,1.1508,1.199,2.7406,0.0274,0.0281,0.0309,0.18751471302418415
37953609,1.6777,1.6989,3.2565,0.0193,0.0187,0.0241,0.18751471302418415
37953612,0.9989,1.1583,3.0262,0.0313,0.0377,0.0648,0.2463008640414398
37953617,3.4463,3.4974,6.8422,0.0455,0.0469,0.059,0.09519422993221213
37953631,3.2468,3.3291,6.415,0.0436,0.0445,0.0612,0.11527791973048969
37953640,30.3641,31.165,36.3083,0.3249,0.3395,0.352,0.05324636892277132
37953642,7.9967,8.5073,14.7386,0.1254,0.1304,0.162,0.06719790044098876
37953647,2.1196,2.9096,5.9819,0.0421,0.0577,0.0808,0.12821464331793822
37953656,2.0248,1.7021,5.3542,0.0141,0.0127,0.0268,0.10926437976474195
37953663,1.2826,1.2225,2.8035,0.018,0.0172,0.0219,0.1903544897796419
37953671,19.4411,19.1968,30.2351,0.2831,0.2841,0.3405,0.030951463058686814
37953685,1.0069,1.0879,4.6561,0.0094,0.0095,0.0227,0.10299600257653854
37953687,2.6689,2.5778,5.4426,0.0315,0.0324,0.0436,0.12691981982432735
37953689,1.6857,1.7091,4.0658,0.0281,0.0281,0.0399,0.13657449043501094
37953692,5.0567,4.6947,7.4614,0.0389,0.0371,0.0488,0.10648688664370398
37953693,3.2465,2.8643,5.4168,0.0237,0.023,0.0323,0.11966865507387159
37953706,0.9051,0.9191,2.6735,0.0169,0.0175,0.027,0.2129260181386661
37953711,1.8802,1.7986,3.4106,0.038,0.0362,0.0424,0.19941430995731257
37953712,0.9565,1.1235,2.9695,0.0147,0.0193,0.0313,0.2093793437612272
37953713,16.3337,16.5289,23.2781,0.1713,0.1732,0.2021,0.04759920052280796
37953717,14.731,14.7257,18.533,0.1236,0.1222,0.1405,0.08975514439115811
37953722,0.4815,0.4314,2.1289,0.0,0.0,0.0066,0.1903544897796419
37953744,0.6452,0.7461,2.4158,0.0041,0.0044,0.0115,0.22840111198938143
37953756,0.5425,0.587,3.0393,0.0052,0.0052,0.0149,0.1495779344429456
37953758,0.9405,1.0573,3.6028,0.0036,0.0036,0.0127,0.1495779344429456
37953768,1.3162,1.1585,2.5574,0.0266,0.0218,0.0274,0.22039234176969208
37953770,2.3148,2.1902,3.7116,0.0697,0.0662,0.0776,0.22039234176969208
37953778,0.903,0.8663,3.0572,0.0055,0.0052,0.0131,0.1903544897796419
37953781,2.0788,2.069,5.4694,0.0257,0.0247,0.0419,0.11219063124580061
37953782,1.122,1.2274,3.7692,0.0093,0.0095,0.0206,0.1396087127968195
37953791,0.6314,0.6336,2.1986,0.0091,0.0091,0.0171,0.2415680625597688
37953797,0.7229,0.7562,2.4992,0.0024,0.0024,0.009,0.224325293611701
37953799,0.5735,0.639,2.7367,0.0,0.0,0.0072,0.1721088567938853
37953801,0.5768,0.6104,2.2713,0.0008,0.0008,0.0066,0.224325293611701
37953802,1.5882,1.3892,2.7186,0.0287,0.0246,0.0302,0.2415680625597688
37953803,1.3435,1.2965,2.6132,0.014,0.0141,0.0195,0.23262772230212783
37953805,1.0688,1.2862,3.1619,0.0255,0.0289,0.0402,0.2093793437612272
37953807,0.5366,0.7781,2.2325,0.006,0.0077,0.0138,0.25634523388666713
37953818,3.1829,2.4961,6.455,0.0344,0.0283,0.0462,0.1132011898318306
