detection_id,B,G,R,nB,nG,nR,Compactness
432422653,10.5941,11.6213,6.109,0.3965,0.4535,0.0936,0.09307904275505513
432422654,10.9516,11.9083,6.1821,0.4989,0.5508,0.1217,0.09307904275505513
432422664,1.8315,4.4108,8.9508,0.0039,0.0081,0.0228,0.08377203058083679
432422666,1.2425,3.8644,7.1715,0.0017,0.0053,0.017,0.09592081711552267
432422691,3.0123,6.9688,12.3796,0.0319,0.0881,0.1235,0.08212958633865283
432422692,0.7094,2.7866,5.9851,0.0025,0.0093,0.0196,0.07348500463068167
432422693,0.8515,3.2735,6.3668,0.0011,0.0118,0.0196,0.0675591583065621
432422694,0.7398,2.9035,6.4943,0.0021,0.0118,0.0211,0.06510896233025722
432422696,0.6041,2.8292,7.7705,0.0065,0.0295,0.0326,0.05302170881884524
432422697,0.6809,2.8644,7.3833,0.0086,0.0238,0.035,0.05844695914181379
432422698,0.6255,2.8476,5.9915,0.0051,0.0161,0.0231,0.07615699026400004
432422699,3.8012,12.6687,17.0195,0.0541,0.2657,0.3035,0.08911864874469005
432422700,5.2642,13.2688,18.9496,0.0447,0.162,0.2165,0.09040079679516942
432422701,4.6405,13.6669,19.0596,0.0514,0.2457,0.3006,0.08849111644335216
432422703,5.9719,16.068,21.8672,0.0482,0.1867,0.2452,0.08849111644335216
432422704,5.3679,14.5192,20.4206,0.0531,0.2102,0.2643,0.08377203058083679
432422705,5.9448,14.4299,22.3985,0.0661,0.2177,0.2991,0.06579069379816853
432422706,7.9074,17.6769,24.9698,0.0562,0.2369,0.3097,0.07479714303071543
432422707,7.8681,17.5705,24.9392,0.0705,0.2608,0.3347,0.07479714303071543
432422708,10.1562,18.1067,23.7676,0.0829,0.2092,0.2449,0.06648685222060789
432422709,10.5522,19.7635,25.6113,0.1429,0.2718,0.2821,0.06444121395927624
432422710,10.2065,19.5171,24.2528,0.1523,0.2965,0.321,0.06719790044098876
432422711,16.612,26.1702,32.0901,0.222,0.3863,0.429,0.06283026644890574
432422712,16.1489,23.8344,29.6408,0.3457,0.4756,0.571,0.06346488289866778
432422713,14.4921,21.5453,28.4534,0.3819,0.5537,0.684,0.06129789587454133
432422714,11.3643,16.6824,25.5294,0.2877,0.3438,0.5151,0.06190178642991358
432422715,13.6325,21.9513,29.8255,0.3251,0.5767,0.7009,0.06190178642991358
432422716,8.2397,15.495,25.0257,0.2049,0.2836,0.3855,0.06829345312829196
432422717,5.2399,10.0682,20.1422,0.1824,0.2194,0.4305,0.06477336728387235
432422718,7.2252,14.4361,24.9081,0.1186,0.2439,0.4037,0.07348500463068167
432422719,9.5643,16.2895,26.1226,0.1051,0.2507,0.3793,0.08106994029334431
432422720,9.6178,18.2121,28.0509,0.2618,0.5632,0.754,0.06942531913488556
432422721,8.9348,16.1119,26.5712,0.2522,0.5131,0.7638,0.06792432131461863
432422722,1.8951,6.0513,11.612,0.0045,0.0103,0.0233,0.08321729873508964
432422723,4.5964,10.2955,15.3648,0.0426,0.149,0.1919,0.10299600257653854
432422724,8.3448,15.3832,24.3721,0.076,0.218,0.3172,0.08911864874469005
432422729,7.9568,12.3756,19.1753,0.1891,0.2997,0.4217,0.09519422993221213
432422731,4.5571,6.4423,12.1655,0.1439,0.181,0.2564,0.09972671719555438
432422732,5.0681,7.7119,14.1514,0.1585,0.1898,0.3161,0.08321729873508964
432422744,7.3817,15.0729,23.3554,0.1587,0.3016,0.4187,0.06719790044098876
432422746,1.4093,6.5244,8.4689,0.004,0.0192,0.0224,0.06942531913488556
432422748,0.6551,3.7184,9.3109,0.0061,0.0133,0.0312,0.06346488289866778
432422749,1.9789,7.6377,16.764,0.0154,0.0364,0.0497,0.051500646728563054
432422750,2.2631,8.6628,18.3073,0.0382,0.0741,0.0969,0.06378702284985524
432422757,7.7034,5.6911,4.1544,0.0649,0.0508,0.0222,0.09519422993221213
432422758,7.2915,5.5886,4.0963,0.0713,0.0547,0.0238,0.09665858053229819
432422760,5.9769,5.0599,3.8245,0.0684,0.0607,0.021,0.09894156757337469
432422761,5.8185,4.8486,3.9113,0.0874,0.0699,0.0285,0.09519422993221213
432422762,9.7242,10.6542,6.6892,0.1238,0.1242,0.0445,0.07479714303071543
432422763,9.9279,10.5455,6.4215,0.1012,0.0956,0.0297,0.0752449975094086
432422764,10.7244,9.7355,6.945,0.1207,0.1018,0.047,0.06904388481989716
