detection_id,B,G,R,nB,nG,nR,Compactness
428142201,11.8864,13.4551,13.1111,0.1507,0.1755,0.1239,0.10471236017896915
428142202,11.7889,13.3019,13.0467,0.1064,0.1268,0.0868,0.10739689511380088
428142203,11.6737,13.3011,13.0641,0.1171,0.1444,0.0982,0.10648688664370398
428142204,15.305,17.1069,16.9088,0.161,0.1886,0.1373,0.09172037375316221
428142209,22.7321,25.373,25.9852,0.1844,0.2276,0.1821,0.07435458803139107
428142211,25.6742,28.6638,29.0137,0.2358,0.2945,0.2336,0.06829345312829196
428142213,27.4414,30.2064,30.9846,0.1518,0.1861,0.1494,0.07099415216660818
428142215,31.527,35.0043,36.3941,0.2226,0.279,0.2371,0.06510896233025722
428142218,4.4919,7.6289,13.9467,0.2824,0.4596,0.6227,0.08106994029334431
428142219,5.4362,8.9734,15.7972,0.3483,0.5683,0.7655,0.07853670966610296
428142220,6.0432,9.8288,16.7008,0.3508,0.5765,0.7707,0.08003728818317192
428142221,5.8447,9.4193,16.3296,0.2878,0.4804,0.6463,0.0815963233535219
428142222,5.3454,8.7191,15.1912,0.2446,0.4109,0.5415,0.0815963233535219
428142223,3.2035,4.941,8.4638,0.0,0.0002,0.0166,0.07615699026400004
428142239,7.7207,10.5084,14.5391,0.1881,0.3117,0.3354,0.10926437976474195
428142240,9.041,11.9709,16.7124,0.1143,0.1869,0.2266,0.1021587506273488
428142241,8.9367,11.9349,16.5315,0.1151,0.1845,0.219,0.10471236017896915
428142242,8.0696,10.7198,15.1607,0.057,0.0947,0.1269,0.10832258979485408
428142244,13.8377,23.8994,39.2971,0.1824,0.4146,0.6369,0.046199262889625364
428142246,12.7463,22.9964,35.9997,0.2317,0.5215,0.7833,0.06411244968272661
428142250,6.4527,11.1387,18.3487,0.1311,0.2133,0.2934,0.08911864874469005
428142251,5.1665,9.3034,15.69,0.1058,0.1657,0.2261,0.09172037375316221
428142252,3.4619,6.2423,10.4292,0.039,0.0607,0.077,0.10052442674077641
428142256,4.2024,7.2317,13.5488,0.0,0.0,0.0201,0.06190178642991358
428142257,4.476,7.6408,14.1239,0.0,0.0,0.0208,0.05983849013957345
428142260,6.3366,9.8577,16.8582,0.0,0.0,0.0164,0.07569824722699373
428142261,6.8043,10.7035,18.0079,0.0,0.0,0.0167,0.07435458803139107
428142262,6.6526,10.7989,18.1977,0.0,0.0,0.0167,0.07435458803139107
428142263,6.6385,10.9173,18.0498,0.0,0.0,0.0158,0.07853670966610296
428142264,6.3934,10.7796,17.9506,0.0,0.0,0.0162,0.07662132709270902
428142265,5.6952,10.7513,18.0283,0.0,0.0,0.0162,0.07662132709270902
428142266,5.5574,10.4196,17.5821,0.0,0.0,0.016,0.07756719641593564
428142268,5.0916,9.6505,16.443,0.0,0.0,0.0158,0.07853670966610296
428142269,4.8372,9.2922,15.8954,0.0,0.0,0.0154,0.08055030487456037
428142270,4.703,9.0308,15.7115,0.0,0.0,0.0156,0.07953076456813789
428142271,4.5967,9.3792,16.4554,0.0,0.0,0.0167,0.07435458803139107
428142272,4.7268,9.3523,16.6313,0.0,0.0,0.0174,0.07139750161301212
428142273,4.8079,9.6721,16.8374,0.0147,0.0208,0.0426,0.07221810771057427
428142274,5.713,11.206,19.1579,0.0407,0.0626,0.091,0.07139750161301212
428142280,7.1762,14.2861,23.8603,0.1958,0.3649,0.503,0.07139750161301212
428142297,4.4837,9.8009,17.977,0.097,0.1668,0.2457,0.07305779571290515
428142298,4.7726,10.0186,17.933,0.0915,0.1455,0.205,0.07391723900466864
428142299,4.0551,8.6972,16.0553,0.0693,0.1072,0.1477,0.07180546030797123
428142300,3.1222,6.7101,13.3452,0.0146,0.023,0.0419,0.08321729873508964
428142301,2.6758,5.2914,10.9812,0.0059,0.0097,0.0265,0.08911864874469005
428142311,17.4244,20.7497,17.7296,0.2945,0.3701,0.2743,0.06220821570931003
428142312,6.7517,8.3898,9.6394,0.0354,0.0555,0.0385,0.07953076456813789
428142313,8.8543,10.6293,11.2244,0.2724,0.3413,0.2815,0.10926437976474195
428142314,9.0574,10.6789,10.3262,0.067,0.1008,0.0662,0.09894156757337469
428142315,11.9746,13.9242,14.2391,0.3969,0.4589,0.3788,0.09519422993221213
428142317,13.4052,15.8688,16.1711,0.4078,0.4907,0.3917,0.08787235948346774
428142318,5.3375,7.0941,11.448,0.0264,0.0319,0.0522,0.08377203058083679
428142320,17.0876,20.6293,20.0377,0.4382,0.5428,0.4193,0.07391723900466864
428142321,17.9607,21.7721,21.6928,0.3214,0.413,0.3244,0.07020097205976435
428142323,19.8746,24.5468,24.5907,0.3937,0.5165,0.3882,0.06684048540909966
428142324,20.1699,25.052,25.1698,0.3509,0.4719,0.3566,0.06510896233025722
428142325,21.6346,26.7519,27.2202,0.3744,0.4932,0.382,0.06159836113714365
428142326,23.1564,28.7631,29.5031,0.3904,0.5121,0.4168,0.059274001684944774
428142327,23.4832,29.1782,30.3359,0.487,0.6245,0.5269,0.0589957324588329
428142328,23.3726,28.917,30.5261,0.4226,0.5442,0.4669,0.05844695914181379
428142332,21.8222,28.1433,31.1749,0.2431,0.3514,0.3142,0.05686023067241032
428142333,16.7202,21.7381,27.1911,0.2618,0.3802,0.3791,0.04888956265428967
428142343,7.2057,8.955,10.1818,0.0,0.0,0.0167,0.07435458803139107
428142344,9.8485,11.6322,11.1095,0.0,0.0,0.0159,0.07804894248762141
428142346,8.6182,10.0612,10.0822,0.1245,0.1454,0.078,0.06411244968272661
