detection_id,B,G,R,nB,nG,nR,Compactness
429475740,18.9909,18.1688,21.447,0.931,0.8993,0.8596,0.07662132709270902
429475744,25.2323,24.1449,28.5641,0.6385,0.6181,0.6125,0.06648685222060789
429475753,38.612,37.2667,42.4504,0.6928,0.6702,0.6693,0.048331474165630606
429475756,27.9809,26.8511,31.0525,0.6065,0.5816,0.5867,0.06579069379816853
429475761,24.8295,23.9897,28.7984,0.4168,0.4099,0.4139,0.06100034753906654
429475764,7.6274,7.3269,15.9848,0.1964,0.1778,0.2063,0.038546784180377484
429475773,50.9824,50.269,55.7818,0.6032,0.5951,0.6027,0.04636973518878762
429475777,17.9218,17.7902,21.3643,0.3001,0.2978,0.3021,0.07221810771057427
429475778,19.7522,19.0668,23.8072,0.5261,0.5096,0.5177,0.06378702284985524
429475780,22.5079,21.7549,26.6672,0.8578,0.8285,0.8366,0.059274001684944774
429475781,23.9513,23.8474,28.879,0.5934,0.5893,0.5788,0.050670018704328156
429475788,20.6617,20.0236,23.2671,0.432,0.4157,0.4227,0.09105580497377844
429475807,21.9075,22.149,25.956,0.1021,0.1026,0.1153,0.09740778003073822
429475808,19.6447,19.8492,23.3367,0.0917,0.092,0.1036,0.10648688664370398
429475809,21.1188,21.2138,24.9121,0.0971,0.0971,0.1094,0.10052442674077641
429475810,21.7484,21.7474,25.5073,0.0995,0.0995,0.1121,0.09816868357674101
429475811,23.0403,22.884,26.7893,0.1066,0.1067,0.1196,0.09592081711552267
429475812,24.6051,24.4524,28.641,0.1153,0.1156,0.1297,0.08787235948346774
429475813,21.2458,21.0809,24.53,0.1055,0.106,0.1193,0.10299600257653854
429475814,19.6993,19.5757,22.7859,0.102,0.101,0.1124,0.10133499999681532
429475815,8.7251,9.2936,13.3475,0.3037,0.3079,0.302,0.06719790044098876
429475860,26.0203,26.905,36.5654,0.2985,0.3145,0.3649,0.04259737366383495
429475861,28.5319,29.3967,40.0872,0.3173,0.3345,0.3958,0.03926952226654826
