detection_id,B,G,R,nB,nG,nR,Compactness
432410174,9.8535,14.7849,20.7686,0.1679,0.2493,0.3047,0.08003728818317192
432410175,28.8162,36.0002,46.331,0.4456,0.5612,0.6375,0.04409198179755562
432410176,30.8861,38.4296,46.9644,0.3718,0.4967,0.5499,0.044403578072467774
432410182,10.8362,13.179,16.3556,0.1333,0.1667,0.1761,0.08321729873508964
432410185,27.7561,44.0135,43.5943,0.4356,0.7786,0.6502,0.0427422593087034
432410186,28.3689,44.8481,44.6212,0.7259,1.2585,1.0136,0.03926952226654826
432410188,40.1834,48.1906,49.4185,0.3294,0.4734,0.4125,0.05487392523583279
432410189,24.6881,31.3956,32.1045,0.2239,0.3415,0.2942,0.07221810771057427
432410195,15.1617,22.7958,24.9642,0.2825,0.4567,0.3847,0.04870612541107282
432410197,7.785,7.7265,18.5443,0.1145,0.1218,0.1949,0.08212958633865283
432410199,7.5036,8.0787,17.6233,0.1113,0.1312,0.1762,0.07804894248762141
432410200,7.0719,7.2095,16.021,0.1206,0.1243,0.1568,0.08787235948346774
432410201,6.5214,6.5627,15.0305,0.1371,0.14,0.1596,0.08787235948346774
432410202,5.4445,5.3624,11.0195,0.071,0.0669,0.0938,0.09816868357674101
432410203,13.599,16.3318,22.2022,0.24,0.2928,0.3661,0.09972671719555438
432410204,16.0389,18.3229,25.7379,0.3763,0.4163,0.5437,0.09239471398211957
432410205,13.985,16.4547,25.0324,0.221,0.2781,0.4067,0.08606693785815557
432410206,9.69,11.2571,18.0393,0.2321,0.2786,0.4038,0.10559216905199818
432410208,11.0638,10.2809,21.9787,0.3056,0.2865,0.5487,0.07479714303071543
432410210,10.6519,11.6417,22.8545,0.1239,0.1428,0.2684,0.07953076456813789
432410212,9.726,10.8601,22.3531,0.0548,0.0688,0.1917,0.08106994029334431
432410213,1.2235,1.6896,5.8522,0.0237,0.0233,0.0522,0.09519422993221213
432410214,7.7695,9.5619,18.87,0.2319,0.2708,0.5167,0.09519422993221213
432410215,1.1771,1.7375,5.9725,0.012,0.0142,0.0438,0.09447856694680049
