detection_id,B,G,R,nB,nG,nR,Compactness
33274403,8.6722,11.895,19.6643,0.1812,0.2677,0.3483,0.0595549083537657
33274419,11.24,15.5561,25.1729,0.2086,0.2679,0.3595,0.0607056738604871
33274453,12.036,14.8208,22.334,0.6178,0.7419,0.8632,0.05686023067241032
33274455,20.2577,25.1515,36.1244,0.4591,0.6446,0.8318,0.047419586082077345
33274473,17.1361,23.3515,34.0264,0.2821,0.3653,0.4321,0.04174827570770436
33274490,19.4447,23.4391,32.5451,0.4548,0.5576,0.6519,0.048146301614186766
33274491,24.2648,29.6981,41.1299,1.5599,1.8937,2.147,0.04569528448132631
33274492,22.646,31.6988,46.2136,0.6063,0.907,1.1046,0.034332000858846176
33274493,23.9284,32.5898,46.7771,0.4547,0.6993,0.8648,0.03480962230366468
33274503,14.4088,18.0427,25.2252,1.0287,1.2917,1.4895,0.06283026644890574
33274507,10.5012,13.2944,20.5657,0.8622,1.0849,1.2615,0.058176383157876974
33274515,11.3117,15.6053,25.0905,0.1585,0.2493,0.3361,0.04870612541107282
33274517,14.6366,16.7031,24.5,0.2996,0.3491,0.406,0.04778018079289879
33274532,33.5342,32.7004,36.278,0.0628,0.0501,0.0641,0.048331474165630606
33274544,17.0318,20.4906,30.9615,0.1505,0.2198,0.3093,0.05511134422461536
33274630,21.4882,23.1006,32.1475,0.1326,0.1695,0.2206,0.038546784180377484
33274644,13.7688,16.9207,26.8419,0.0219,0.0637,0.1302,0.050875153686925724
33274721,59.7169,63.196,66.5912,0.3468,0.3819,0.384,0.04586205110904071
33274744,35.6637,41.0692,43.0917,0.1774,0.1774,0.1969,0.06378702284985524
33274762,20.0265,23.0311,32.9874,0.6109,0.6652,0.8138,0.04536536335524013
33274765,15.5809,18.3747,30.1208,0.0696,0.1306,0.2002,0.03807955914588565
33274766,26.6135,30.8436,43.2632,0.4227,0.5235,0.6435,0.044879318492720414
33274779,39.1583,46.5191,49.2511,0.2057,0.2518,0.2591,0.06069397571814191
33274793,25.5362,24.9597,26.28,0.0819,0.0757,0.0482,0.05686023067241032
33274856,14.7565,20.3668,32.4173,0.2964,0.4483,0.6503,0.05370144932732833
33274858,11.4073,15.1143,25.0966,0.2971,0.4298,0.5785,0.05006442052760694
33274859,14.2939,19.2319,30.869,0.2204,0.3128,0.4334,0.051918969643191905
33274862,10.2449,14.4624,24.2314,0.2961,0.4372,0.6009,0.06283026644890574
33274879,22.1335,26.9853,40.2578,0.1388,0.2173,0.3417,0.04586205110904071
33274881,27.9715,26.7428,29.902,0.5372,0.5143,0.4477,0.04870612541107282
33274912,38.078,37.1791,40.3737,0.0505,0.048,0.0625,0.05302170881884524
33274920,20.8782,24.8842,35.3303,0.0913,0.1211,0.1754,0.047597114966106066
33274927,28.4166,27.7393,31.4967,0.2207,0.1985,0.2052,0.049668666921834095
33274929,25.6783,30.4113,42.2529,0.2699,0.3208,0.43,0.04706439330664793
33274966,18.8617,21.182,30.2298,0.0377,0.0925,0.1496,0.04851807655625124
33274979,71.5355,86.1833,94.218,1.4807,1.9261,2.0253,0.03762352482182404
33274983,33.9334,37.9845,52.0546,0.086,0.096,0.1656,0.037736506326688256
33274992,25.2296,27.3545,37.2086,0.1397,0.1706,0.2221,0.035001332114543524
33274993,13.7151,18.0394,30.9265,1.0001,1.3473,1.7168,0.03621402203509902
33274994,11.113,13.8151,20.3595,0.6143,0.792,0.9715,0.06719790044098876
33275000,25.6854,27.2107,33.8287,0.1038,0.1315,0.1557,0.05129044711249124
33275003,26.2425,29.5027,34.7751,0.4164,0.4734,0.5108,0.06829345312829196
33275020,29.0078,30.9661,33.3166,0.1421,0.1489,0.1617,0.0539319190680174
33275052,39.3322,44.4522,48.4461,0.193,0.2161,0.2338,0.04259737366383495
33275062,17.4947,20.3401,28.519,0.2785,0.3377,0.408,0.05214171140333059
33275070,35.958,40.9256,44.2027,0.1927,0.2354,0.2375,0.05737948033237819
33275071,19.2483,22.6121,32.4532,0.1138,0.1391,0.2387,0.05635029433027713
33275095,39.9835,45.6032,48.1044,0.2384,0.2769,0.2842,0.05347294092237722
33275097,29.0323,32.6303,35.0336,0.1472,0.1722,0.1734,0.06251769380643689
33275105,71.8141,76.9605,77.9964,0.4089,0.4731,0.4463,0.04927912092245134
33275106,27.8368,30.772,36.3085,0.4183,0.4758,0.5017,0.05463535211139932
33275110,63.7763,71.486,78.7379,0.3731,0.4473,0.4831,0.04552972625896745
33275115,40.3206,39.2746,45.5212,0.4138,0.386,0.3722,0.03519963994522082
33275121,29.8245,34.6531,47.0568,0.5224,0.6195,0.7406,0.04027641246938456
33275161,39.318,45.0048,49.0837,0.2071,0.2365,0.2559,0.04636973518878762
33275166,27.4577,30.0313,34.9558,0.2642,0.3026,0.3021,0.04778018079289879
33275167,51.0646,55.5252,60.4431,0.4585,0.5213,0.5173,0.03902561695436705
33275173,24.8306,26.4991,32.1042,1.1929,1.2978,1.3009,0.05463535211139932
33275174,39.0851,41.8235,47.7358,1.7855,1.9531,1.9494,0.051500646728563054
33275182,34.3916,34.255,40.9427,0.3911,0.3956,0.4005,0.03762352482182404
33275183,29.5574,29.1641,35.0076,0.4071,0.4068,0.4308,0.044403578072467774
33275242,7.9855,12.4271,25.5336,0.1887,0.235,0.3178,0.03519963994522082
