detection_id,B,G,R,nB,nG,nR,Compactness
429113336,16.6604,16.5276,18.1062,0.4672,0.4574,0.383,0.0675591583065621
429113359,24.4005,24.8081,24.6099,0.0,0.0,0.0142,0.08726219508235135
429113360,24.9507,25.6291,24.1828,0.0154,0.0156,0.0261,0.08212958633865283
429113361,22.1221,22.2313,22.3453,0.1966,0.1978,0.1659,0.0752449975094086
429113365,18.7593,19.2436,19.6478,0.0935,0.096,0.0905,0.07479714303071543
429113366,16.0689,16.0467,17.54,0.1373,0.1368,0.1321,0.08726219508235135
429113367,10.7476,10.874,13.1332,0.5179,0.5291,0.4478,0.09239471398211957
429113368,31.2283,31.7033,33.3977,0.7486,0.7383,0.6349,0.035101318478072525
429113369,32.0203,32.6712,33.0128,0.0,0.0,0.0223,0.05584942297118333
429113373,17.7361,18.0344,20.4569,0.394,0.4028,0.3485,0.07263552511680024
429113376,12.9738,13.3314,14.8363,0.3935,0.4072,0.3389,0.07305779571290515
429113378,9.1936,9.4848,11.7546,0.3827,0.3952,0.3696,0.10052442674077641
429113436,13.6973,13.4912,16.1666,0.2211,0.2239,0.212,0.09447856694680049
429113437,17.3464,17.7006,18.5892,0.0,0.0,0.0132,0.0937735836449438
429113439,13.931,13.6192,16.4262,0.1958,0.1942,0.1891,0.0937735836449438
429113440,17.3247,17.6669,18.5958,0.0,0.0,0.0132,0.0937735836449438
429113441,10.8063,11.1804,13.6533,0.346,0.36,0.3371,0.0937735836449438
429113442,14.3376,14.1495,16.9188,0.2528,0.2543,0.2457,0.0937735836449438
429113445,7.9159,7.7164,8.026,0.0238,0.0228,0.026,0.0937735836449438
429113446,14.3378,14.0204,16.7785,0.2384,0.2326,0.2239,0.0937735836449438
429113457,8.1886,8.364,9.0462,0.0573,0.0609,0.0563,0.09740778003073822
429113458,10.1456,9.9688,10.2054,0.7719,0.7606,0.5394,0.09972671719555438
429113459,13.8942,13.7871,16.186,0.133,0.1313,0.1287,0.10299600257653854
429113460,14.0904,14.2739,15.0121,0.0,0.0,0.0115,0.10739689511380088
429113461,10.1384,10.2315,12.0262,0.2282,0.2373,0.2235,0.10559216905199818
429113462,7.0075,7.3336,8.8405,0.0527,0.0556,0.0648,0.10133499999681532
429113468,6.1929,6.0363,6.6842,0.0344,0.0337,0.038,0.1021587506273488
429113475,9.0113,8.8605,9.1899,0.5757,0.5713,0.3937,0.10559216905199818
429113476,15.4894,15.6756,15.6591,0.0652,0.0643,0.0668,0.1038470904936626
429113484,9.5653,9.5255,10.0819,0.5577,0.5526,0.4058,0.09040079679516942
429113535,15.8054,16.1413,15.9992,0.002,0.0015,0.014,0.09040079679516942
429113540,11.1552,11.3656,11.7674,0.4408,0.4463,0.3247,0.08433420746488306
429113541,17.0219,17.4169,17.5886,0.0,0.0,0.0158,0.07853670966610296
429113543,12.9272,12.9093,17.7509,0.2153,0.2166,0.2446,0.0752449975094086
429113544,14.2862,14.2332,18.4843,0.4113,0.4097,0.4466,0.09447856694680049
429113545,14.9825,14.8954,19.2637,0.4307,0.4254,0.4707,0.0937735836449438
429113546,16.5544,16.4198,20.9201,0.6904,0.6794,0.7552,0.0937735836449438
429113547,17.2679,17.0811,21.8925,0.4861,0.4796,0.5367,0.09172037375316221
429113548,12.2115,12.0929,12.6989,0.1701,0.1689,0.1229,0.09307904275505513
429113551,7.2935,7.4522,7.9069,0.0969,0.1006,0.0718,0.11634512054520679
429113553,9.7313,9.5111,9.9466,0.2336,0.2319,0.1636,0.11634512054520679
429113557,7.9012,7.9098,8.632,0.1972,0.1914,0.1529,0.09972671719555438
429113562,13.4885,13.71,14.845,0.0539,0.0547,0.0552,0.1021587506273488
429113563,11.3236,11.0713,11.8822,0.1264,0.1194,0.0941,0.10052442674077641
429113567,12.4611,12.519,13.5803,0.0946,0.0984,0.0864,0.08606693785815557
429113571,7.5735,7.6964,9.4836,0.111,0.1165,0.1099,0.1021587506273488
429113574,14.46,14.7457,15.9072,0.0,0.0,0.0137,0.09040079679516942
429113583,14.9985,15.3706,16.4195,0.0,0.0,0.0131,0.09447856694680049
429113647,13.9881,14.3128,14.8275,0.0,0.0,0.0114,0.10832258979485408
429113649,11.8556,11.6911,12.5464,0.1682,0.1645,0.1322,0.09816868357674101
429113650,9.3314,9.1753,9.7803,0.4493,0.44,0.3267,0.09894156757337469
429113651,14.2717,14.5974,15.2923,0.0,0.0,0.0122,0.10133499999681532
429113652,10.6626,10.4009,11.2283,0.2522,0.2423,0.1967,0.11119795425652645
429113658,10.7563,10.7531,10.9571,0.2747,0.2734,0.1955,0.10832258979485408
429113659,8.8519,8.6899,9.134,0.463,0.4513,0.328,0.10832258979485408
429113660,13.2344,13.4379,13.9371,0.0,0.0,0.0109,0.1132011898318306
429113661,10.4142,10.4644,10.4067,0.401,0.4011,0.2653,0.10832258979485408
429113663,13.3017,13.6137,14.2476,0.0,0.0,0.0115,0.10739689511380088
429113664,9.5063,9.3821,9.9326,0.536,0.5224,0.3964,0.10739689511380088
429113665,9.0986,8.8471,9.3619,0.4316,0.4192,0.3011,0.10926437976474195
429113673,9.6736,9.6703,9.8935,0.5033,0.5021,0.3581,0.10559216905199818
429113674,9.4778,9.2979,9.7014,0.4228,0.4224,0.2998,0.10648688664370398
429113683,16.715,17.0197,17.7868,0.0,0.0002,0.0135,0.09172037375316221
429113684,12.1248,12.0967,11.5539,0.4263,0.4236,0.2693,0.08548150399146558
429113735,17.4195,17.5168,18.1884,0.0,0.0,0.0139,0.08911864874469005
429113736,13.0396,12.9801,12.7361,0.8176,0.8152,0.5454,0.08548150399146558
429113737,18.1296,18.3461,19.4867,0.0,0.0,0.0151,0.08212958633865283
429113739,22.9936,23.1772,24.173,0.0,0.0,0.0167,0.07435458803139107
429113740,13.7139,13.6343,13.1859,0.6681,0.658,0.4552,0.08321729873508964
429113741,14.3013,14.7887,15.3051,0.0,0.0,0.0114,0.10832258979485408
429113742,9.8733,9.609,9.2672,0.4026,0.3933,0.2359,0.1038470904936626
429113751,13.3469,13.5695,14.3175,0.0,0.0,0.0111,0.11119795425652645
429113752,13.3586,13.1852,16.6407,0.1022,0.1005,0.1157,0.09105580497377844
429113754,11.8807,11.7788,14.6784,0.1147,0.1135,0.1153,0.09972671719555438
429113755,16.19,16.4795,17.3063,0.0,0.0,0.013,0.09519422993221213
429113757,13.9967,14.0427,17.184,0.1272,0.1267,0.1264,0.08321729873508964
429113758,13.4097,13.5938,14.7332,0.0,0.0,0.0129,0.09592081711552267
429113759,12.0942,11.9332,15.0737,0.085,0.0837,0.0912,0.08726219508235135
429113773,10.8432,10.8714,10.1024,0.8899,0.8941,0.5535,0.09816868357674101
429113783,9.8985,9.8877,8.8994,0.9214,0.9191,0.5465,0.10052442674077641
429113784,10.9474,10.7905,12.9072,0.1466,0.1427,0.1327,0.10052442674077641
429113835,9.9567,9.9467,8.8461,0.7655,0.7625,0.4547,0.10471236017896915
429113836,10.9324,10.6919,12.7106,0.13,0.1232,0.1192,0.10471236017896915
429113837,9.7511,9.6957,8.8137,0.8222,0.8211,0.4746,0.10471236017896915
429113838,10.7356,10.9828,12.8325,0.1522,0.1565,0.1444,0.10299600257653854
429113841,10.2678,10.1597,9.3777,0.8018,0.7969,0.4954,0.10052442674077641
429113842,11.2801,11.468,13.2212,0.1417,0.1449,0.1277,0.09894156757337469
429113843,10.2256,10.1128,9.1957,0.7921,0.7765,0.4893,0.10133499999681532
429113844,10.9305,10.9189,12.4486,0.1899,0.1866,0.1623,0.10471236017896915
429113845,9.7564,9.8185,9.0204,0.4008,0.4038,0.2474,0.1021587506273488
429113846,10.7447,10.7242,12.3361,0.1748,0.1709,0.1545,0.10559216905199818
429113847,9.6389,9.6211,8.6306,0.4898,0.4905,0.2848,0.10559216905199818
429113848,10.0263,9.9274,10.9718,0.2006,0.2007,0.1571,0.10926437976474195
429113849,8.0276,8.0391,7.5149,0.2455,0.2455,0.1501,0.1021587506273488
429113850,11.6322,11.7444,11.9937,0.2075,0.2102,0.1493,0.08787235948346774
429113853,15.9249,16.1556,15.1173,0.2496,0.255,0.1811,0.08849111644335216
429113854,15.9393,16.003,16.2946,0.2105,0.2125,0.1737,0.08787235948346774
429113857,17.5718,17.6235,17.929,0.261,0.2583,0.2099,0.0815963233535219
429113858,14.6687,14.6483,12.5647,0.4336,0.436,0.2544,0.07853670966610296
429113859,17.7512,18.1541,17.1063,0.2097,0.2147,0.1524,0.07221810771057427
429113862,16.8859,17.1238,16.0002,0.3155,0.3198,0.2164,0.07263552511680024
429113863,17.3371,17.5035,18.1773,0.2538,0.2578,0.2005,0.07221810771057427
429113864,13.8592,13.9965,13.2366,0.2203,0.2231,0.1315,0.06346488289866778
429113866,12.882,13.0647,13.6299,0.2602,0.2627,0.2017,0.09172037375316221
429113867,10.9273,10.9965,9.581,0.2304,0.2294,0.1361,0.09816868357674101
429113868,13.0761,13.1567,12.405,0.4492,0.4529,0.3139,0.09519422993221213
429113869,13.4627,13.374,13.8376,0.3155,0.3132,0.2357,0.09519422993221213
429113870,11.1749,11.0446,10.3417,0.2081,0.2065,0.128,0.08548150399146558
429113872,11.9779,11.836,12.5971,0.248,0.2451,0.1862,0.09519422993221213
429113879,7.0011,6.9111,7.274,0.0806,0.0787,0.0574,0.09239471398211957
429113883,8.5325,8.6211,8.4636,0.9252,0.9359,0.5862,0.10299600257653854
429113884,9.7815,9.7296,10.1618,0.2751,0.2722,0.1927,0.10299600257653854
429113935,8.9565,8.8143,8.3236,0.1187,0.1178,0.069,0.09972671719555438
429113936,9.3317,9.3941,8.9872,0.8657,0.8756,0.5486,0.1021587506273488
429113937,11.0528,10.9544,11.3036,0.2867,0.2818,0.2054,0.10133499999681532
429113938,9.3152,9.2484,8.5753,0.1326,0.133,0.076,0.1021587506273488
429113939,9.7892,9.9199,9.5058,1.1092,1.1248,0.7502,0.10052442674077641
429113940,11.0652,11.0984,11.2791,0.3528,0.3531,0.2537,0.10299600257653854
429113941,9.7555,9.6107,10.0399,0.7592,0.7346,0.5537,0.09740778003073822
429113942,10.6461,10.6463,10.9479,0.416,0.4164,0.2956,0.10133499999681532
429113944,11.0416,10.9632,11.2238,0.3714,0.368,0.2661,0.10052442674077641
429113945,9.753,9.4825,9.7119,0.5908,0.5713,0.4052,0.10052442674077641
429113946,11.1775,11.1912,11.1589,0.3672,0.3705,0.2557,0.09894156757337469
429113947,9.3003,8.961,9.311,0.5876,0.5666,0.4093,0.10133499999681532
429113949,9.4729,9.1709,9.3349,0.6267,0.6084,0.4341,0.10299600257653854
429113950,8.9137,8.6988,8.7066,0.0977,0.0965,0.0618,0.0937735836449438
429113955,6.7731,6.7063,6.9697,0.0772,0.0776,0.0524,0.09239471398211957
429113957,7.1938,6.965,7.0449,0.0894,0.0886,0.058,0.09665858053229819
429113966,6.5956,6.579,7.6477,0.0097,0.0088,0.0197,0.09894156757337469
429113971,7.7675,8.2377,10.5305,0.1597,0.1732,0.1703,0.09307904275505513
429113972,7.8653,8.35,10.4697,0.2087,0.2283,0.213,0.09972671719555438
429113973,8.8782,9.2579,11.2074,0.293,0.3112,0.2601,0.08212958633865283
429113974,8.124,8.3904,9.7555,0.2826,0.2933,0.241,0.09172037375316221
429113975,10.2978,10.3747,11.9374,0.2643,0.2649,0.224,0.09239471398211957
429113979,8.9638,9.1592,10.0534,0.3464,0.3672,0.2782,0.09307904275505513
429113980,8.86,9.1146,9.5686,0.2322,0.2418,0.1839,0.0937735836449438
429113981,8.2028,8.5704,8.9411,0.2887,0.3063,0.2352,0.09665858053229819
429113982,7.4554,7.7322,8.2644,0.4165,0.4334,0.3357,0.1021587506273488
429113983,7.7211,8.1628,8.5333,0.1857,0.1941,0.1654,0.09816868357674101
429113984,6.5114,6.8296,7.1978,0.1236,0.1308,0.1083,0.10299600257653854
429114050,20.6227,22.7267,32.79,0.36,0.3919,0.5436,0.07305779571290515
429114051,19.961,22.383,32.9101,0.4884,0.5613,0.7615,0.0675591583065621
429114052,16.7788,18.6922,27.9306,0.4276,0.485,0.6522,0.07221810771057427
429114053,15.0488,16.7361,24.8713,0.4385,0.4894,0.6552,0.0815963233535219
429114055,7.9804,9.0447,13.4453,0.1345,0.1498,0.2045,0.09816868357674101
429114056,6.769,6.7709,10.378,0.1578,0.1605,0.1967,0.09740778003073822
429114057,6.4448,6.7328,12.269,0.13,0.1359,0.1792,0.06190178642991358
429114058,9.4771,9.9782,15.5971,0.1772,0.1839,0.2367,0.07221810771057427
429114061,7.5838,8.2543,12.2205,0.1835,0.2098,0.2437,0.08787235948346774
429114062,6.7298,7.3,10.4262,0.1157,0.1278,0.1459,0.10052442674077641
429114063,8.5006,9.0059,12.5842,0.1931,0.2064,0.2284,0.0937735836449438
429114066,10.482,11.5609,15.9105,0.1963,0.2332,0.2496,0.07903061153879146
429114067,12.8761,14.7336,19.8276,0.2495,0.2982,0.3212,0.07139750161301212
429114068,13.4581,15.1467,20.4499,0.2634,0.304,0.3339,0.07305779571290515
429114069,13.5759,15.4145,20.6672,0.2714,0.305,0.361,0.07305779571290515
429114070,13.3179,15.1243,20.261,0.2429,0.269,0.3232,0.07180546030797123
429114071,13.3807,15.1949,19.8912,0.2952,0.3319,0.3699,0.07348500463068167
429114072,12.4218,14.1267,18.8545,0.263,0.3024,0.3389,0.07020097205976435
429114166,10.5513,9.8584,11.183,0.0241,0.0233,0.0337,0.07615699026400004
429114167,12.562,12.0397,12.3545,0.025,0.0253,0.0325,0.07435458803139107
429114168,12.6199,12.1109,11.5252,0.0357,0.0357,0.0375,0.07569824722699373
429114169,12.1507,11.6549,11.8792,0.0065,0.0064,0.0233,0.06684048540909966
429114170,11.5286,11.1757,11.548,0.0186,0.0188,0.033,0.06159836113714365
429114171,11.5135,11.2498,11.841,0.0363,0.0348,0.0449,0.05790830079919458
429114172,11.3691,11.163,11.8996,0.0499,0.0504,0.0512,0.0595549083537657
429114173,11.3529,10.8809,11.4997,0.032,0.0301,0.0411,0.0661369411690469
429114174,11.7003,11.2223,11.7193,0.0485,0.0457,0.0495,0.06544805286939072
429114175,11.9231,11.4743,11.5169,0.0311,0.0307,0.0364,0.06829345312829196
429114176,12.0775,11.7534,11.4825,0.0427,0.0421,0.0432,0.06904388481989716
429114181,7.2968,7.4649,9.1737,0.0046,0.0048,0.0221,0.06648685222060789
429114182,6.1842,6.3864,7.952,0.0026,0.0026,0.0178,0.07853670966610296
429114183,6.0268,6.1634,7.6107,0.007,0.0071,0.0186,0.08548150399146558
429114236,7.9533,8.1877,8.7909,0.0262,0.0264,0.0298,0.09239471398211957
429114238,7.246,7.5276,8.5439,0.0125,0.0121,0.0218,0.09172037375316221
429114241,14.0929,14.1671,17.7309,0.0471,0.0488,0.0667,0.09665858053229819
429114242,14.4134,14.5022,17.8008,0.042,0.0438,0.0595,0.1038470904936626
429114243,14.7969,14.6774,18.0405,0.0571,0.0549,0.069,0.10052442674077641
429114244,15.4907,15.3308,18.6265,0.0382,0.0339,0.0384,0.09239471398211957
429114248,15.3073,15.0918,18.6768,0.1575,0.1539,0.1742,0.09105580497377844
429114249,16.4244,15.9909,20.2254,0.2542,0.2459,0.2784,0.08911864874469005
429114250,17.4788,17.1233,21.3947,0.3352,0.3269,0.3608,0.08666044549832956
429114260,16.2253,16.4457,22.0547,0.4739,0.4804,0.559,0.08377203058083679
429114261,16.0496,16.288,21.9056,0.4699,0.4787,0.5581,0.08433420746488306
429114262,15.7619,15.8366,21.7477,0.6147,0.6193,0.7233,0.08548150399146558
429114267,17.6219,17.4929,22.1789,0.3333,0.3311,0.3768,0.09040079679516942
429114273,16.3005,15.6813,17.9728,0.3587,0.3556,0.2805,0.06579069379816853
429114274,13.7926,13.5848,15.2147,0.4411,0.4404,0.3376,0.06544805286939072
429114275,11.8501,12.2061,13.0333,0.5504,0.5825,0.3963,0.07221810771057427
429114276,11.1304,11.6238,12.6902,0.698,0.7444,0.5122,0.07435458803139107
429114277,11.6337,11.3081,13.2021,0.6656,0.6629,0.5099,0.07305779571290515
429114278,14.2625,14.2066,18.0383,0.1621,0.1599,0.1877,0.09894156757337469
429114279,16.7294,16.9291,20.9669,0.0377,0.042,0.0556,0.08726219508235135
429114280,16.4072,16.6046,21.1505,0.0162,0.0216,0.0389,0.07903061153879146
429114281,15.8276,16.2439,19.8912,0.0407,0.0465,0.0542,0.08003728818317192
429114282,14.8724,15.1343,18.5766,0.0443,0.0453,0.0547,0.08606693785815557
429114283,13.5556,13.772,16.9151,0.1051,0.1105,0.1084,0.08212958633865283
429114335,10.7902,11.0764,13.1988,0.0929,0.0959,0.0913,0.09665858053229819
429114336,10.0062,10.3708,12.177,0.1104,0.1173,0.1044,0.09816868357674101
429114337,9.8072,10.1392,12.0157,0.1049,0.1107,0.1003,0.09740778003073822
429114338,9.1774,9.5553,12.5808,0.1255,0.1333,0.1453,0.10926437976474195
429114339,12.4961,13.164,15.7773,0.2339,0.2526,0.2424,0.09447856694680049
429114341,15.2747,16.0419,18.3206,0.6586,0.6965,0.6149,0.08055030487456037
429114342,15.3445,15.9238,18.6879,0.3913,0.4101,0.3654,0.08106994029334431
429114343,13.763,14.1672,17.4507,0.2288,0.2391,0.2253,0.08266986501266944
429114344,13.1745,13.5103,16.9861,0.1434,0.1512,0.1536,0.08548150399146558
429114345,12.9908,13.0546,17.2225,0.1082,0.1101,0.1335,0.08433420746488306
429114346,13.8031,13.7775,18.0574,0.169,0.1636,0.1954,0.08433420746488306
429114347,12.1941,12.3737,16.3518,0.1111,0.1166,0.1307,0.08377203058083679
429114348,12.7914,12.9217,16.4467,0.1132,0.1194,0.133,0.09040079679516942
429114349,13.11,13.3005,16.9368,0.1129,0.1184,0.1275,0.08787235948346774
429114353,13.362,13.5441,16.7841,0.2205,0.2311,0.2193,0.0937735836449438
429114354,14.0203,14.1392,17.8592,0.1927,0.1969,0.2032,0.08433420746488306
429114355,15.3048,15.3535,19.3798,0.2091,0.2144,0.217,0.07853670966610296
429114356,16.9634,16.9929,20.9028,0.223,0.2303,0.224,0.0752449975094086
429114357,16.8446,16.9543,20.7991,0.1856,0.1897,0.1931,0.07479714303071543
429114358,16.6819,16.7646,20.5604,0.2035,0.2079,0.2028,0.0752449975094086
429114359,17.939,17.9984,21.9975,0.202,0.2084,0.2081,0.07139750161301212
429114361,17.1065,17.0007,20.9585,0.1708,0.1694,0.1803,0.07756719641593564
