detection_id,B,G,R,nB,nG,nR,Compactness
428844975,31.0929,30.782,42.3076,0.3784,0.3793,0.4792,0.04536536335524013
428844979,14.4772,14.0833,20.9683,0.3033,0.2955,0.368,0.06477336728387235
428844985,13.7548,14.1738,22.8604,0.2953,0.3044,0.3797,0.046541470193173916
428844986,39.903,40.4227,51.7239,0.7559,0.7688,0.8493,0.03539794461097376
428844993,20.4446,18.2663,21.1652,0.4354,0.3819,0.3864,0.09972671719555438
428844994,18.8633,16.9227,19.8407,0.3949,0.3467,0.3496,0.09816868357674101
428844995,20.1629,18.067,20.9568,0.4463,0.3945,0.3957,0.09519422993221213
428844996,20.7379,21.1116,24.4307,0.0851,0.0851,0.0983,0.0937735836449438
428844998,17.0279,18.6136,24.3942,0.2348,0.2589,0.3209,0.10832258979485408
428845001,18.3973,19.6248,29.6018,0.4127,0.4488,0.5957,0.059274001684944774
428845016,15.0575,15.8872,23.2383,0.4542,0.4856,0.5987,0.07139750161301212
428845021,10.2,9.6579,17.7945,0.1063,0.1003,0.1591,0.06159836113714365
428845040,8.5162,7.2451,12.3176,0.1329,0.1047,0.149,0.09172037375316221
428845041,12.3169,12.7962,19.1366,0.279,0.2887,0.369,0.08106994029334431
428845052,43.3906,44.7055,59.2002,0.6645,0.6825,0.8591,0.04586205110904071
428845068,44.564,46.4268,62.8479,0.6456,0.6684,0.8406,0.03951649547848519
428845071,18.6901,19.2978,28.0436,0.5265,0.5388,0.6775,0.06100034753906654
428845078,22.0569,23.2057,33.8088,0.4454,0.4724,0.6136,0.04851807655625124
428845079,23.3582,24.2706,34.2578,0.6683,0.6907,0.8578,0.05324636892277132
428845080,28.8372,29.3112,36.5237,0.582,0.596,0.6469,0.05302170881884524
428845081,15.206,16.0908,23.3206,0.1879,0.1988,0.2566,0.06648685222060789
428845082,14.6089,14.6806,20.2905,0.3618,0.3681,0.4099,0.0661369411690469
428845083,15.0971,16.0916,23.2058,0.1365,0.1462,0.188,0.0661369411690469
428845087,33.0921,34.5851,48.6724,0.5653,0.5921,0.7832,0.04552972625896745
428845089,17.0745,17.494,23.8779,0.3282,0.336,0.3971,0.07348500463068167
428845099,20.6118,21.49,30.4316,0.5476,0.5769,0.7001,0.05764267775279962
428845100,34.5567,36.2583,49.19,0.3776,0.3946,0.4942,0.042310529255340984
428845101,38.4406,40.403,53.9526,0.5089,0.5352,0.657,0.04216855084912327
428845102,37.7512,39.9476,53.8777,0.5844,0.6152,0.7648,0.04552972625896745
428845103,37.429,39.4381,51.4907,0.4467,0.4689,0.5693,0.049668666921834095
428845104,34.1115,35.4597,47.4492,0.5705,0.5915,0.7333,0.051712576293637055
428845105,38.783,40.2823,53.9667,0.5699,0.5889,0.732,0.043331793643939145
428845106,40.2516,41.7127,55.7095,0.4136,0.4297,0.5417,0.04027641246938456
428845107,37.6868,39.093,51.4998,0.4648,0.4808,0.6073,0.04947312713553582
428845108,33.9165,35.1891,48.5099,0.3823,0.3976,0.5016,0.0406674373693737
428845115,17.0687,15.0875,19.3743,0.315,0.2653,0.2766,0.06100034753906654
428845134,53.1338,55.6811,70.6452,0.5495,0.5711,0.6908,0.040536254848845585
428845135,30.4824,31.9302,40.7149,0.2143,0.2231,0.2652,0.06251769380643689
428845137,21.1323,23.1541,31.986,0.3047,0.3295,0.4144,0.057118675464029094
428845157,30.0,31.7998,40.0007,0.3567,0.379,0.4627,0.07853670966610296
428845159,31.5629,33.3455,40.9297,0.2677,0.279,0.3405,0.08212958633865283
428845163,30.8074,32.1343,39.4911,0.2399,0.2476,0.3024,0.07853670966610296
428845170,20.5975,17.9807,20.8481,0.1678,0.1268,0.1175,0.07615699026400004
428845171,20.6158,17.942,20.7958,0.1762,0.1322,0.1233,0.0752449975094086
428845172,19.4961,16.9338,19.8119,0.1958,0.1555,0.1435,0.07662132709270902
428845179,24.3265,22.2485,26.2276,0.5812,0.5213,0.4871,0.05214171140333059
428845180,18.3897,16.669,20.1144,0.2325,0.2104,0.2032,0.06477336728387235
428845186,36.2205,36.2162,49.3679,0.6495,0.6607,0.7578,0.02984869210553568
428845189,29.3449,29.9011,39.7004,0.6185,0.6343,0.7185,0.04259737366383495
428845190,17.6354,17.6754,24.6187,0.7224,0.7399,0.8246,0.05660411406725943
428845195,30.72,31.8272,42.0331,0.3025,0.3156,0.3784,0.0502646717369248
428845196,29.1527,30.2135,40.3068,0.2304,0.2389,0.291,0.0502646717369248
428845197,24.9682,25.9316,34.9003,0.1905,0.1964,0.2397,0.05535737701133239
428845201,23.7502,24.3346,35.8294,0.3941,0.3985,0.5467,0.05257802831020273
428845215,30.256,31.4504,39.9965,0.1828,0.1843,0.2241,0.05737948033237819
428845216,33.9538,35.9224,45.6245,0.2279,0.2351,0.2897,0.06314598028335774
428845217,25.5004,26.8424,36.0588,0.2005,0.2065,0.2612,0.05279893651282317
428845218,15.7153,16.3571,23.0597,0.1014,0.1028,0.1326,0.06579069379816853
428845219,35.3679,37.4612,47.4748,0.3519,0.3704,0.4721,0.06314598028335774
428845220,23.4904,25.1041,35.3189,0.3072,0.328,0.4291,0.05635029433027713
428845226,13.7313,14.3676,18.5548,0.3389,0.3505,0.3733,0.08787235948346774
428845234,53.8347,56.1493,68.3416,0.4062,0.4248,0.5001,0.03914718970684156
428845241,28.2189,27.0289,34.9298,0.4377,0.4178,0.4694,0.05302170881884524
428845244,29.4371,30.3444,37.5426,0.2106,0.2145,0.2605,0.07662132709270902
428845245,11.801,11.7346,17.3765,0.5327,0.5255,0.6033,0.07059533429497317
428845246,11.7137,11.5455,17.0641,0.5741,0.5549,0.6421,0.07221810771057427
428845247,44.0886,45.7593,58.0714,0.3296,0.337,0.4188,0.04552972625896745
428845248,32.9337,34.034,43.9396,0.2225,0.2239,0.2708,0.04927912092245134
428845250,48.2394,50.0912,61.6142,0.3488,0.3553,0.4368,0.04927912092245134
428845285,57.8245,56.4622,58.1443,0.535,0.5592,0.5598,0.05324636892277132
428845321,20.1775,20.4625,26.8432,0.8167,0.8498,0.937,0.06510896233025722
428845323,31.5119,31.7051,41.4592,1.2333,1.2501,1.3807,0.0427422593087034
428845330,7.6689,7.9661,12.3401,0.1453,0.1545,0.1936,0.10133499999681532
428845331,7.4556,7.7304,12.0135,0.1458,0.1551,0.1937,0.10299600257653854
428845332,7.405,7.6885,11.9998,0.1476,0.1582,0.1976,0.1021587506273488
428845333,36.7175,36.8809,45.1141,0.6864,0.704,0.7478,0.045040172094838404
428845335,30.3469,29.8103,39.5738,0.4616,0.4567,0.5076,0.03831174723677478
428845336,25.9141,25.2985,33.567,0.3839,0.377,0.4196,0.04424723137071616
428845337,30.6351,33.262,43.1661,0.2835,0.3081,0.3754,0.05235896091135454
428845338,52.282,56.4675,68.8105,0.553,0.5963,0.6988,0.04120076930564869
428845339,47.1351,50.6577,64.8343,0.4175,0.4411,0.5338,0.03324413280188455
428845349,18.5138,20.9203,24.1687,0.0839,0.084,0.0968,0.09740778003073822
428845350,13.8331,12.791,14.8649,0.0105,0.0091,0.0196,0.11119795425652645
428845351,13.3865,12.3807,14.7762,0.0171,0.0105,0.0196,0.0937735836449438
428845352,13.8536,12.7392,14.8155,0.0366,0.0238,0.0225,0.09894156757337469
428845353,13.0535,11.983,14.2209,0.0373,0.0242,0.0219,0.09447856694680049
428845354,13.9077,12.7082,15.0844,0.0411,0.0313,0.0225,0.08975514439115811
428845355,12.9431,11.8519,13.9878,0.0367,0.0269,0.017,0.09740778003073822
428845377,17.6183,15.8655,20.8783,0.4029,0.3581,0.3965,0.06792432131461863
428845378,14.5802,12.4667,17.5789,0.277,0.2358,0.2686,0.07662132709270902
428845381,7.7717,6.5342,11.6558,0.1655,0.1412,0.1745,0.07348500463068167
428845382,11.8913,10.4865,14.9317,0.2747,0.2349,0.2795,0.09592081711552267
428845383,11.3128,9.9453,14.2513,0.2918,0.2522,0.2978,0.09894156757337469
428845384,10.8486,9.4499,13.8796,0.3103,0.2609,0.3125,0.09519422993221213
428845385,10.958,9.5495,13.9694,0.2596,0.2175,0.2618,0.09519422993221213
428845386,14.8349,13.1248,17.9875,0.4875,0.4186,0.49,0.08975514439115811
428845387,14.2743,12.6226,17.5128,0.4541,0.3945,0.4611,0.08849111644335216
428845388,14.3564,12.6643,17.4307,0.4433,0.3795,0.4475,0.09239471398211957
428845389,14.0572,12.3687,17.0564,0.4295,0.3715,0.4331,0.09447856694680049
428845391,9.6991,8.2793,12.1739,0.2456,0.2036,0.239,0.10559216905199818
428845393,9.7278,8.2485,12.2588,0.1691,0.14,0.1699,0.10299600257653854
428845394,10.4304,8.8595,12.9947,0.1484,0.122,0.152,0.10133499999681532
428845395,11.0199,9.4587,13.6528,0.3104,0.2634,0.3092,0.10133499999681532
428845398,9.3244,7.9793,11.7713,0.1143,0.0958,0.1197,0.10559216905199818
428845408,15.6117,13.2605,18.7186,0.1378,0.1099,0.1445,0.07953076456813789
428845409,17.5383,14.9605,20.7142,0.2028,0.1639,0.2051,0.077091360650504
428845410,19.0884,16.4381,22.0861,0.2715,0.2289,0.2727,0.07615699026400004
428845411,22.1682,19.33,25.194,0.4474,0.3861,0.4373,0.07391723900466864
428845412,19.6459,17.1501,22.8456,0.2932,0.2527,0.2947,0.07059533429497317
428845413,23.1442,20.2753,26.631,0.4071,0.3507,0.4035,0.0675591583065621
428845414,21.8569,19.0344,25.669,0.4189,0.3579,0.4172,0.06378702284985524
428845415,23.6112,20.6746,27.3919,0.4288,0.3654,0.425,0.06314598028335774
428845416,24.8021,21.6311,28.5614,0.5652,0.4806,0.5532,0.06251769380643689
428845418,25.6548,22.7378,29.594,0.4877,0.4225,0.4847,0.06544805286939072
428845420,18.4549,16.309,22.1543,0.3211,0.2784,0.3299,0.0752449975094086
428845421,15.6212,13.7239,19.0408,0.4046,0.3536,0.4118,0.07953076456813789
428845422,13.954,12.599,17.6811,0.3487,0.3202,0.3664,0.08003728818317192
428845431,63.7584,58.7665,63.6849,0.5071,0.4755,0.4946,0.04106612917780369
428845441,12.8117,12.6828,18.5574,0.256,0.2531,0.3298,0.10052442674077641
428845442,17.8123,15.8584,18.2858,1.0963,0.9739,0.9453,0.10299600257653854
