detection_id,B,G,R,nB,nG,nR,Compactness
427852095,15.4567,14.0525,12.7981,0.1001,0.0708,0.0601,0.11219063124580061
427852097,21.4699,19.6155,16.0562,0.2241,0.2003,0.1372,0.08975514439115811
427852098,20.937,19.0916,15.3615,0.2213,0.1998,0.1328,0.09105580497377844
427852099,19.0633,17.4054,13.3533,0.2778,0.2491,0.1517,0.09972671719555438
427852100,18.2197,16.9383,23.9444,0.2516,0.2384,0.3001,0.10926437976474195
427852101,25.0572,23.9191,18.3461,0.158,0.1317,0.1011,0.07662132709270902
427852102,30.0642,29.2469,42.4929,0.6733,0.6584,0.895,0.06544805286939072
427852104,44.6785,43.6397,65.3797,1.0136,0.9937,1.4114,0.04424723137071616
427852107,24.8162,25.7503,46.4549,0.3756,0.3842,0.6834,0.04259737366383495
427852108,39.7393,40.5051,67.7979,0.283,0.282,0.6199,0.03785016842433463
427852109,14.7108,15.5128,26.6457,0.361,0.3831,0.5899,0.06411244968272661
427852110,12.6837,12.0774,19.8347,0.1364,0.134,0.2171,0.08106994029334431
427852111,14.8825,13.9511,23.1785,0.1468,0.14,0.2354,0.08055030487456037
427852113,12.3449,11.9814,20.3934,0.1187,0.1194,0.2582,0.0937735836449438
427852114,12.2927,12.0709,20.545,0.1686,0.1682,0.3028,0.09592081711552267
427852116,32.3429,32.979,50.1067,0.4825,0.5121,0.6994,0.03751121781510277
427852117,23.0502,23.8137,38.7227,0.5202,0.5463,0.7954,0.04520218287170602
427852119,11.8194,12.5277,22.4649,0.2924,0.324,0.5106,0.06719790044098876
427852123,16.1806,17.2657,32.7173,0.1907,0.2118,0.387,0.046541470193173916
427852124,17.8117,18.5293,32.3047,0.1808,0.1988,0.4006,0.06792432131461863
427852126,16.3985,16.8991,30.4444,0.0843,0.0935,0.2257,0.05439884443645084
427852127,16.4237,16.6381,29.5097,0.1501,0.1577,0.3054,0.0595549083537657
427852128,12.6374,12.8604,23.4678,0.1143,0.1179,0.2269,0.06719790044098876
427852129,10.4421,10.9306,19.136,0.144,0.1534,0.2531,0.08266986501266944
427852130,20.6292,20.2548,26.2122,0.1557,0.1487,0.1901,0.08975514439115811
427852131,26.7457,26.4453,33.4852,0.1937,0.1854,0.2369,0.07391723900466864
427852132,26.3761,26.1843,33.1724,0.2282,0.22,0.2786,0.07853670966610296
427852133,29.0733,28.664,36.864,0.2058,0.2015,0.2648,0.07853670966610296
427852141,14.2816,14.5023,30.2122,0.4676,0.4764,0.8366,0.06314598028335774
427852142,21.2644,22.1599,43.1888,0.5529,0.5857,1.1038,0.06012478543760053
427852148,14.0639,14.2071,27.0837,0.3856,0.3938,0.6692,0.058176383157876974
427852149,9.3539,9.3,17.9978,0.2952,0.2946,0.4738,0.06792432131461863
427852155,7.3315,7.4813,15.3637,0.3037,0.308,0.5019,0.07615699026400004
427852156,8.5927,8.8443,17.9617,0.2958,0.3023,0.4916,0.06719790044098876
427852157,13.5319,13.6813,25.812,0.2395,0.2528,0.452,0.05764267775279962
427852158,14.2312,14.2807,25.965,0.2323,0.2372,0.4315,0.06251769380643689
427852179,10.3355,9.841,16.1975,0.2426,0.2317,0.3153,0.08606693785815557
