detection_id,B,G,R,nB,nG,nR,Compactness
429770597,17.385,16.9317,21.595,0.1544,0.1506,0.1659,0.06684048540909966
429770607,20.973,21.1041,26.5098,0.1392,0.1409,0.1635,0.06866661880204716
429770609,21.7925,20.4177,23.573,0.0,0.0,0.0186,0.06684048540909966
429770614,24.4787,23.8633,30.3767,0.6008,0.5746,0.5933,0.05192625725187585
429770615,21.6635,20.3273,23.9287,0.0327,0.0316,0.0499,0.06129789587454133
429770625,18.9826,18.0924,22.5051,0.2039,0.1942,0.2102,0.06829345312829196
429770641,29.8812,29.6626,36.3469,0.1343,0.1324,0.1565,0.05347294092237722
429770693,24.0228,22.5048,26.6392,0.0646,0.0557,0.0748,0.05279893651282317
429770696,32.5714,30.8444,36.7336,0.2398,0.2259,0.2345,0.04927912092245134
429770702,19.7046,18.8367,23.6242,0.1493,0.1446,0.1628,0.0752449975094086
429770703,22.6795,21.5926,27.4303,0.0532,0.0514,0.0774,0.043331793643939145
429770709,30.017,29.3383,35.6603,0.1289,0.1265,0.1505,0.05764267775279962
429770711,15.2917,14.4192,17.9395,0.0,0.0,0.0175,0.07099415216660818
429770722,46.3606,45.3179,50.0592,0.5131,0.5002,0.5017,0.05872006370526449
429770724,32.1762,30.5871,37.4025,0.3781,0.3618,0.3848,0.04927912092245134
429770729,31.7982,30.8763,37.0629,0.233,0.2256,0.25,0.06220821570931003
429770730,19.5413,18.6471,22.4397,0.3279,0.3166,0.3207,0.06719790044098876
429770731,36.344,35.033,40.203,0.4223,0.399,0.4082,0.05660411406725943
429770733,40.0996,38.6286,45.3706,0.6178,0.5883,0.6336,0.058176383157876974
429770735,31.3305,30.1015,35.3717,0.1426,0.1393,0.1584,0.08212958633865283
429770736,30.0019,28.5873,35.3876,0.2163,0.2035,0.2438,0.06220821570931003
429770737,58.4666,55.7595,63.6644,0.4114,0.3825,0.413,0.0427422593087034
429770738,48.8155,46.2566,52.8434,0.9064,0.843,0.872,0.05737948033237819
429770739,47.3354,45.7758,52.4019,0.6994,0.6726,0.689,0.048331474165630606
429770740,31.4557,30.2975,36.4851,0.2548,0.2455,0.2682,0.06346488289866778
429770742,38.1495,36.8979,43.9558,0.2519,0.2417,0.2655,0.0541643755046309
429770803,46.3347,44.2441,49.7025,1.0587,1.0206,1.0004,0.04688878485347726
