detection_id,B,G,R,nB,nG,nR,Compactness
427595937,29.7387,32.5848,41.6171,0.8569,0.9507,1.0817,0.05983849013957345
427595952,11.6684,12.0244,14.061,0.0812,0.0846,0.0848,0.09972671719555438
427595954,22.5081,21.5176,21.9899,0.4009,0.3781,0.3346,0.09447856694680049
427595955,32.449,32.9763,38.3245,0.1336,0.1336,0.1548,0.05872006370526449
427595976,102.5607,102.79,103.7399,0.4861,0.4809,0.4743,0.044403578072467774
427595978,40.0054,39.9391,43.5176,0.2004,0.1981,0.2112,0.05129044711249124
427595979,19.9466,19.7752,21.0267,0.2357,0.2326,0.2078,0.08787235948346774
427595981,23.0233,24.7025,28.6292,0.1086,0.1088,0.123,0.08606693785815557
427595982,23.7181,25.3861,29.4609,0.1162,0.1213,0.1407,0.08055030487456037
427595983,16.4673,16.8916,20.9763,0.4984,0.5085,0.5006,0.06251769380643689
427595984,20.0042,20.683,24.158,0.1051,0.1076,0.1222,0.07662132709270902
427595985,21.5339,22.3562,25.836,0.1111,0.1154,0.1288,0.077091360650504
427595986,21.945,22.8137,26.2399,0.1388,0.144,0.1567,0.077091360650504
427595987,22.2433,23.0634,26.4276,0.147,0.1513,0.165,0.08003728818317192
427595988,27.0945,28.0554,31.5463,0.1803,0.1906,0.2037,0.06942531913488556
427595990,35.3517,36.3374,42.1882,0.3088,0.3188,0.3363,0.047241322067509035
427595991,40.6786,41.8412,47.2103,0.5078,0.5219,0.5256,0.04927912092245134
427595992,43.0471,44.6482,51.7072,0.4469,0.4595,0.4856,0.04133629519476816
427595993,44.1449,45.6574,52.6076,0.4645,0.476,0.5069,0.04288813389916635
427595994,27.6028,28.3024,34.0119,0.3579,0.3634,0.3855,0.05439884443645084
427595995,32.1263,32.9337,38.6997,0.4594,0.4679,0.4829,0.051500646728563054
427595996,34.8319,35.7004,40.8915,0.3827,0.392,0.4056,0.05790830079919458
427595997,42.6337,43.9622,49.1467,0.4838,0.4927,0.5101,0.05764267775279962
427595998,46.9994,48.3203,54.1446,0.5413,0.5463,0.5662,0.05487392523583279
427595999,47.9683,49.669,55.4711,0.5396,0.5414,0.5636,0.05439884443645084
427596000,47.5111,49.1928,54.9936,0.4762,0.4905,0.5088,0.05584942297118333
427596001,46.9384,48.5643,54.3118,0.4532,0.4689,0.4874,0.05660411406725943
427596003,48.6689,50.0412,55.589,0.5372,0.553,0.5808,0.05560231145909046
427596006,45.8423,46.4558,53.4683,0.6161,0.621,0.6529,0.04471960971181389
427596007,46.1929,46.7292,54.0345,0.6651,0.6695,0.6984,0.043331793643939145
427596008,38.4947,38.9228,43.9387,0.4646,0.4671,0.4907,0.06411244968272661
427596009,38.3635,38.8497,43.8942,0.4095,0.4155,0.4382,0.06411244968272661
427596010,40.3356,41.1951,46.1412,0.3869,0.3998,0.4219,0.06251769380643689
427596011,42.3173,43.2202,47.6796,0.4947,0.5049,0.5234,0.06719790044098876
427596012,47.3977,48.5154,52.9022,0.5847,0.6004,0.6123,0.06510896233025722
427596014,47.5937,48.7923,52.9391,0.5649,0.5803,0.5844,0.06411244968272661
427596016,60.3686,61.5941,67.7786,0.953,0.9726,0.9863,0.04393781784522013
427596018,39.8688,40.9851,45.4331,0.3698,0.3921,0.4041,0.06220821570931003
427596020,37.8394,38.8223,44.6706,0.3614,0.3853,0.396,0.04947312713553582
427596021,44.5114,43.4592,41.5708,1.7993,1.743,1.388,0.05279893651282317
427596022,41.4873,42.6399,47.7089,0.3557,0.3699,0.3856,0.0539319190680174
427596023,46.4991,45.3666,43.5575,2.4704,2.3597,1.9281,0.0541643755046309
427596024,41.0589,42.1845,46.8394,0.3833,0.3982,0.4092,0.05560231145909046
427596025,42.1802,41.0688,39.8005,1.8141,1.7301,1.4173,0.05844695914181379
427596029,25.258,25.9496,30.2626,0.1798,0.1896,0.2049,0.0675591583065621
427596030,26.5859,26.0205,24.5701,0.5424,0.5251,0.43,0.0937735836449438
427596031,28.4764,28.8102,31.7776,0.4559,0.4515,0.4473,0.08490398027194407
427596032,35.9464,35.4202,33.4946,0.9591,0.942,0.7838,0.07953076456813789
427596033,42.3043,43.1898,46.4837,0.7773,0.7699,0.765,0.07263552511680024
427596034,52.5694,53.4198,57.1878,0.9396,0.9314,0.9253,0.05560231145909046
427596035,53.6157,54.4089,57.8209,1.1322,1.126,1.0949,0.05535737701133239
427596036,52.4522,53.0332,56.6446,0.9531,0.9496,0.9264,0.05584942297118333
427596037,49.6429,50.2089,53.8771,1.264,1.2698,1.2321,0.05635029433027713
427596038,35.7151,36.1171,39.8065,0.5975,0.6057,0.599,0.0607056738604871
427596039,19.134,19.2626,23.5209,0.1607,0.16,0.1761,0.06314598028335774
427596040,19.8207,19.9543,24.3506,0.1689,0.1698,0.1847,0.05983849013957345
427596041,18.5298,18.4551,23.292,0.2053,0.2007,0.2158,0.05764267775279962
427596043,39.3244,43.066,53.0864,0.7996,0.8928,1.0031,0.04889563761385481
427596045,27.1788,29.532,37.0746,0.7761,0.8565,0.9485,0.05790830079919458
427596047,9.9032,10.6287,13.7528,0.0922,0.1014,0.1176,0.09740778003073822
427596049,12.7897,13.7652,17.2367,0.0864,0.093,0.1097,0.08377203058083679
427596051,15.8158,17.012,21.4117,0.0989,0.1079,0.1301,0.07020097205976435
427596053,19.2184,20.8613,24.6418,0.1384,0.1537,0.1736,0.07180546030797123
427596059,19.4509,20.8971,25.7777,0.1245,0.1397,0.1605,0.0589957324588329
427596060,19.071,20.4013,25.6464,0.1362,0.1502,0.1728,0.056098740702361524
427596068,17.8927,19.7203,25.7026,0.3007,0.3488,0.3923,0.056098740702361524
427596070,19.8478,21.7589,27.8667,0.4023,0.4564,0.5154,0.05844695914181379
427596072,19.0959,20.8238,26.1672,0.216,0.2482,0.2753,0.06719790044098876
427596074,16.2701,17.6213,22.9406,0.4161,0.4616,0.5144,0.07139750161301212
427596101,30.0789,32.8277,39.6459,0.328,0.3602,0.4024,0.048146301614186766
427596103,29.6561,32.3338,38.3864,0.3437,0.3788,0.4133,0.05511459098459456
427596115,25.766,27.8361,33.2876,0.3265,0.3574,0.3772,0.0539319190680174
427596150,28.3178,31.4984,39.9881,0.3893,0.4564,0.5402,0.07348500463068167
427596159,17.4605,18.5206,23.8306,0.3154,0.3252,0.3742,0.08433420746488306
