detection_id,B,G,R,nB,nG,nR,Compactness
427581978,1.7052,2.8797,3.4941,0.0001,0.0166,0.0134,0.09239471398211957
427581979,1.4094,2.9996,3.5214,0.0059,0.0247,0.0141,0.09172037375316221
427581980,1.3399,3.5513,3.5676,0.006,0.0323,0.015,0.09105580497377844
427581981,1.8906,3.9757,3.6147,0.0152,0.0209,0.0193,0.09172037375316221
427581982,1.8603,3.7874,3.4945,0.0168,0.0297,0.0175,0.0937735836449438
427581990,3.0486,8.0515,5.7335,0.0457,0.0956,0.053,0.09665858053229819
427581991,3.8629,8.8848,6.5605,0.0557,0.1079,0.0627,0.09040079679516942
427581993,4.158,9.0385,6.8981,0.0513,0.1037,0.058,0.09307904275505513
427582003,2.7578,4.0365,4.4378,0.0108,0.014,0.0167,0.07615699026400004
427582010,5.3435,9.203,4.9777,0.0952,0.1461,0.0535,0.10832258979485408
427582011,6.6118,10.2981,5.2731,0.0764,0.1122,0.0446,0.10052442674077641
427582012,7.3097,11.7754,5.8919,0.132,0.1919,0.0682,0.09040079679516942
427582013,7.7833,12.7249,6.2654,0.1127,0.1681,0.0582,0.08106994029334431
427582014,8.1498,14.4436,7.0928,0.1345,0.1928,0.0681,0.07020097205976435
427582021,4.4536,10.1424,5.3785,0.0084,0.018,0.0227,0.0661369411690469
427582022,4.0568,9.5873,5.1932,0.0014,0.0103,0.0185,0.06904388481989716
427582023,3.1669,8.6204,4.8854,0.0054,0.0342,0.0201,0.07180546030797123
427582024,3.1766,8.389,4.8114,0.0,0.0275,0.0178,0.06981099120988524
427582025,3.091,8.8371,4.8553,0.0,0.0382,0.0178,0.06981099120988524
427582026,3.1251,9.1183,4.8877,0.0,0.041,0.0181,0.06866661880204716
427582030,1.2706,3.951,2.9499,0.0,0.0235,0.0114,0.10832258979485408
427582031,1.5844,4.057,2.943,0.0,0.0143,0.0114,0.10832258979485408
427582032,1.6406,4.2464,3.0473,0.0,0.0125,0.0118,0.10471236017896915
427582055,4.2224,9.1473,5.8722,0.009,0.0208,0.0245,0.06510896233025722
427582058,4.5393,7.5271,5.3225,0.0622,0.1094,0.024,0.06904388481989716
427582059,3.1138,6.7712,5.1538,0.0339,0.0511,0.0298,0.07348500463068167
427582060,7.942,10.1071,5.5191,0.0715,0.0845,0.0235,0.11119795425652645
427582067,2.8526,6.7551,4.802,0.0081,0.0309,0.0197,0.06866661880204716
427582068,2.8382,5.8228,4.622,0.0006,0.014,0.0176,0.07180546030797123
427582069,2.4532,5.6763,4.6396,0.0015,0.0181,0.018,0.07180546030797123
427582070,1.466,3.8028,4.1155,0.0063,0.0373,0.018,0.07903061153879146
427582071,1.0677,1.9641,3.4731,0.0,0.0179,0.0134,0.09307904275505513
427582082,12.9282,15.4677,7.5928,0.1615,0.1924,0.0335,0.06579069379816853
427582083,9.928,11.9851,6.6272,0.0855,0.0932,0.0272,0.06719790044098876
427582084,4.539,7.7464,4.6834,0.0446,0.0562,0.023,0.077091360650504
427582085,4.1291,5.9482,5.0409,0.0504,0.0971,0.0245,0.0815963233535219
427582087,3.593,5.3635,4.3709,0.0415,0.0874,0.0193,0.09307904275505513
427582088,3.6082,6.2141,3.9404,0.0385,0.0493,0.0193,0.09592081711552267
427582091,3.8353,5.6589,4.5259,0.0589,0.111,0.0284,0.09105580497377844
427582092,7.7794,10.4142,5.7467,0.0738,0.0857,0.0254,0.08055030487456037
427582093,2.9336,4.5562,4.2902,0.0831,0.1295,0.0289,0.08055030487456037
427582094,5.1731,7.8497,4.6126,0.063,0.0802,0.0269,0.08911864874469005
427582097,3.3981,4.9085,4.2643,0.053,0.0842,0.0199,0.08212958633865283
427582098,5.2341,7.5276,4.6301,0.0888,0.1094,0.0379,0.0815963233535219
427582099,3.7186,5.3019,4.1997,0.0482,0.0901,0.0231,0.0815963233535219
427582101,3.5025,5.1816,4.0298,0.0785,0.1252,0.0273,0.08433420746488306
427582102,3.8535,6.7257,4.2647,0.0335,0.0462,0.0223,0.08548150399146558
427582103,4.1574,6.5072,4.2097,0.0311,0.0411,0.0239,0.08606693785815557
427582107,4.2623,6.2988,3.9576,0.011,0.0136,0.0164,0.08849111644335216
427582108,3.8314,6.4914,3.9503,0.0265,0.0355,0.021,0.08787235948346774
427582109,3.7242,6.3868,4.001,0.0266,0.0359,0.0208,0.08666044549832956
427582116,2.3537,4.0165,5.9819,0.0125,0.0859,0.0271,0.05511459098459456
427582118,2.0996,5.2164,6.076,0.0012,0.1635,0.024,0.05487392523583279
427582119,2.1136,5.3844,5.7877,0.0006,0.1654,0.022,0.05737948033237819
427582120,2.4448,6.0931,5.4548,0.0054,0.1187,0.0229,0.06251769380643689
427582121,2.5589,6.1914,5.234,0.0014,0.0981,0.02,0.06510896233025722
427582122,2.3474,5.9684,4.8374,0.0007,0.0719,0.0179,0.07099415216660818
427582123,1.9422,4.7804,3.994,0.0036,0.0551,0.0162,0.08433420746488306
427582124,2.0191,4.3527,3.9097,0.0,0.0369,0.0145,0.08548150399146558
427582125,1.8548,4.7077,3.9866,0.0,0.039,0.0148,0.08377203058083679
427582126,1.9549,4.4685,4.0782,0.0,0.0299,0.0152,0.0815963233535219
427582127,1.8693,4.2713,3.7039,0.0013,0.0283,0.0143,0.08975514439115811
427582128,1.8252,3.9854,3.7278,0.0,0.0184,0.014,0.08849111644335216
427582129,1.6881,3.7266,3.5544,0.0,0.0306,0.0131,0.09447856694680049
427582130,1.6904,3.4211,3.4204,0.0,0.0178,0.0125,0.09894156757337469
427582131,1.608,3.6327,3.3466,0.0,0.0274,0.0121,0.1021587506273488
427582138,0.639,0.9074,3.4626,0.002,0.0135,0.0183,0.09307904275505513
