detection_id,B,G,R,nB,nG,nR,Compactness
429899098,21.915,25.1724,30.9387,0.2922,0.3703,0.431,0.06411244968272661
429899142,14.2167,15.5091,17.5731,0.0651,0.0809,0.0718,0.06544805286939072
429899143,12.0929,13.4744,15.3706,0.1107,0.1397,0.1037,0.06719790044098876
429899146,42.173,44.2646,51.3997,0.3249,0.3496,0.369,0.04393781784522013
429899147,17.762,19.0317,22.3085,0.2138,0.2495,0.2251,0.059274001684944774
429899162,11.7676,12.3725,21.6342,0.2996,0.3242,0.3647,0.034713464607924294
429899163,6.0261,6.385,14.3474,0.0636,0.0678,0.0955,0.03695959196015872
429899275,2.8649,3.7213,6.0487,0.0,0.0,0.0138,0.08975514439115811
429899276,2.8617,3.7148,5.9942,0.0,0.0,0.0135,0.09172037375316221
429899277,2.5979,3.2379,5.6619,0.0,0.0,0.0134,0.09239471398211957
429899278,10.5013,11.5657,13.7355,0.1071,0.1219,0.122,0.10471236017896915
429899279,10.7454,11.8477,14.0563,0.1711,0.1915,0.1873,0.1021587506273488
429899280,10.4845,11.5496,13.779,0.1116,0.1264,0.1264,0.10133499999681532
429899281,6.4054,7.4778,10.1058,0.3081,0.3571,0.3527,0.09592081711552267
429899282,6.476,7.5282,10.0645,0.3802,0.4389,0.4435,0.09972671719555438
429899283,6.5851,7.7025,10.1653,0.2929,0.3371,0.3395,0.09894156757337469
429899284,6.3222,7.3619,9.795,0.2198,0.2531,0.2512,0.10052442674077641
429899285,6.5417,7.6004,10.6372,0.2215,0.2567,0.2551,0.09040079679516942
429899286,6.6626,7.6592,10.665,0.2904,0.336,0.3421,0.09447856694680049
429899290,11.1378,12.4391,15.1627,0.1591,0.1862,0.1851,0.09307904275505513
429899291,11.6254,13.027,15.6085,0.1476,0.1735,0.17,0.0937735836449438
429899292,13.3561,15.0295,17.7477,0.1573,0.1784,0.1803,0.08975514439115811
429899293,13.0441,15.0584,17.6012,0.1404,0.1592,0.163,0.09040079679516942
429899294,13.11,15.1882,17.6202,0.1604,0.1856,0.1837,0.09040079679516942
429899295,13.5717,15.4701,17.8495,0.1254,0.1424,0.1442,0.09239471398211957
429899296,14.3138,16.2625,18.8043,0.1564,0.1775,0.1765,0.08606693785815557
429899297,13.467,15.5246,18.0894,0.1276,0.1424,0.148,0.0937735836449438
429899298,13.9187,15.6579,18.646,0.1232,0.1372,0.1458,0.0937735836449438
429899299,20.3813,23.0354,26.6733,0.2312,0.2723,0.2714,0.07020097205976435
429899300,19.4447,21.9581,25.6012,0.1374,0.171,0.176,0.07180546030797123
429899302,18.1876,20.2583,23.8628,0.1773,0.2295,0.238,0.08055030487456037
429899303,18.4737,20.5088,24.2353,0.114,0.153,0.1756,0.08106994029334431
429899304,18.8552,20.9555,24.9776,0.1341,0.1714,0.1896,0.08106994029334431
429899306,22.415,24.5403,29.823,0.2858,0.3149,0.3377,0.06981099120988524
429899307,18.5613,20.3697,24.9868,0.1617,0.1779,0.2024,0.08726219508235135
429899308,18.5729,20.4761,25.0837,0.1279,0.1413,0.1613,0.08666044549832956
429899310,19.3022,21.2372,25.7402,0.2059,0.2261,0.2467,0.08377203058083679
429899311,17.8114,19.5148,23.5353,0.1539,0.1681,0.1856,0.08787235948346774
429899313,14.4351,15.7636,19.276,0.1837,0.2012,0.2198,0.09894156757337469
429899348,3.0338,3.7416,7.653,0.0,0.0,0.0131,0.09447856694680049
429899351,12.1294,13.4936,16.3072,0.0941,0.1107,0.1151,0.09172037375316221
429899450,33.5863,34.7801,40.3333,0.1935,0.1966,0.2224,0.06041383338136221
429899453,30.8358,31.7819,37.1978,0.2483,0.2552,0.2822,0.06544805286939072
429899455,21.6901,22.1109,28.5116,0.1235,0.1239,0.1487,0.06251769380643689
429899462,32.2951,33.7263,40.5399,0.2799,0.3069,0.2401,0.025963464355889573
429899464,5.3866,6.0241,10.8871,0.07,0.0807,0.0801,0.05439884443645084
429899465,2.5186,2.977,9.0691,0.0,0.0,0.0226,0.05511459098459456
429899467,6.6604,7.4877,11.5173,0.0349,0.0407,0.0517,0.07348500463068167
429899468,12.6681,14.3913,24.3644,0.0199,0.0226,0.0532,0.03866538740700744
429899475,5.7536,6.4653,10.7666,0.0276,0.0312,0.0423,0.09307904275505513
429899476,12.1415,13.9572,16.8602,0.3332,0.3923,0.3794,0.08055030487456037
429899477,11.2954,13.0544,15.9979,0.3316,0.3894,0.3803,0.08433420746488306
429899486,6.8083,8.355,11.9735,0.3226,0.3986,0.3935,0.08666044549832956
429899491,20.6444,22.0154,26.5983,0.0988,0.0988,0.1185,0.06314598028335774
429899494,4.9288,6.7738,12.4446,0.0013,0.0014,0.0155,0.08849111644335216
429899496,4.492,6.8249,13.5442,0.1135,0.1629,0.2287,0.08666044549832956
429899497,3.7662,6.1698,12.1927,0.0089,0.0096,0.0223,0.09040079679516942
429899498,4.2261,6.0272,11.8349,0.1163,0.1677,0.2486,0.09239471398211957
429899499,3.3167,3.9721,6.8649,0.0,0.0,0.0126,0.09816868357674101
429899500,4.1502,4.9645,8.0532,0.0,0.0,0.0135,0.09172037375316221
429899501,6.7115,7.9445,11.6218,0.0,0.0,0.0169,0.07348500463068167
429899502,8.3689,9.6848,14.1241,0.0,0.0,0.0177,0.07020097205976435
429899504,10.1842,12.4841,18.2133,0.2647,0.3182,0.3726,0.08003728818317192
429899505,6.8911,7.7687,11.4243,0.0006,0.0008,0.0148,0.08787235948346774
429899506,8.3853,10.1429,14.7197,0.2338,0.2785,0.3321,0.0937735836449438
429899507,11.1092,12.7615,16.0085,0.3964,0.4554,0.3907,0.07348500463068167
429899508,17.7649,22.3822,31.0439,0.2371,0.321,0.3925,0.05983849013957345
429899527,19.5891,24.1817,34.6121,0.2169,0.2606,0.3105,0.049668666921834095
429899535,19.4113,23.7556,33.0328,0.2511,0.293,0.3319,0.05129044711249124
429899536,17.3206,21.2692,30.8322,0.2669,0.3083,0.409,0.05487392523583279
429899537,14.9169,18.1475,27.4646,0.1628,0.1891,0.257,0.05439884443645084
429899538,11.5785,14.6096,22.6229,0.116,0.1581,0.2007,0.06012478543760053
429899539,7.9489,9.6197,17.515,0.0542,0.0746,0.117,0.058176383157876974
429899540,6.3539,8.3765,17.3103,0.0437,0.062,0.1085,0.06579069379816853
429899541,6.0669,8.4237,16.6588,0.0809,0.1314,0.2086,0.06904388481989716
429899542,5.5235,8.0648,17.5727,0.098,0.1462,0.2521,0.06100034753906654
429899544,11.7904,13.4572,18.4892,0.1892,0.2161,0.2132,0.05324636892277132
429899545,8.3351,9.9164,17.4806,0.1309,0.1644,0.2203,0.05487392523583279
429899548,10.9241,12.3283,14.7505,0.4571,0.5221,0.4841,0.08321729873508964
429899549,9.487,11.3786,16.5594,0.1055,0.1647,0.2144,0.08212958633865283
429899550,15.7013,17.8662,20.7579,0.486,0.5626,0.5033,0.06190178642991358
429899557,14.8575,16.7982,18.9294,0.5538,0.6403,0.5838,0.07662132709270902
429899558,14.8474,16.6891,19.487,0.7318,0.8317,0.7827,0.07569824722699373
429899559,17.4726,19.5203,23.3027,0.5811,0.6633,0.639,0.05560231145909046
429899560,21.3842,23.7079,26.0338,0.5908,0.6733,0.6137,0.057118675464029094
429899561,21.6323,23.9136,26.0327,0.4454,0.5142,0.4738,0.05983849013957345
429899562,24.0405,26.3213,28.0205,0.3001,0.3551,0.3338,0.0607056738604871
429899563,19.5247,21.6143,22.8656,0.1877,0.2271,0.2124,0.07099415216660818
429899564,17.1421,19.0434,20.6765,0.0928,0.1131,0.1059,0.07221810771057427
429899565,10.4963,11.9516,14.6864,0.1476,0.173,0.1592,0.07953076456813789
429899566,9.0831,10.3865,13.4869,0.1529,0.1771,0.1648,0.08106994029334431
429899567,7.8443,8.9315,11.1803,0.2266,0.2657,0.2421,0.09519422993221213
429899568,4.7073,5.5607,8.7039,0.0169,0.02,0.0303,0.09307904275505513
429899582,3.8378,4.5702,8.077,0.0,0.0,0.0137,0.09040079679516942
429899583,3.9546,4.7384,8.0821,0.0,0.0,0.0132,0.0937735836449438
429899584,4.1122,4.9602,8.2699,0.0,0.0,0.0134,0.09239471398211957
429899585,4.1662,4.8706,8.2198,0.0,0.0,0.0137,0.09040079679516942
429899586,4.6378,5.6942,8.4211,0.0,0.0,0.0143,0.08666044549832956
429899587,3.8078,4.8929,7.9667,0.0,0.0,0.0141,0.08787235948346774
429899588,3.4627,4.2839,7.2025,0.0,0.0,0.0129,0.09592081711552267
429899601,6.3819,6.9697,16.6908,0.1289,0.1412,0.2111,0.041610039451085
429899605,8.8508,10.2178,13.7355,0.1248,0.1401,0.1475,0.08321729873508964
429899613,22.5188,23.7453,25.5226,0.1011,0.1011,0.1172,0.077091360650504
429899614,34.0399,35.9087,37.6076,0.1559,0.1625,0.1786,0.05463535211139932
429899615,34.2283,36.1807,37.9352,0.1574,0.1661,0.1802,0.05370144932732833
429899627,0.8946,1.2189,4.4466,0.0,0.0026,0.0179,0.09307904275505513
429899691,18.2017,21.4762,28.5036,0.1053,0.1206,0.1396,0.04778018079289879
429899692,17.4567,20.5804,27.6364,0.1381,0.1574,0.1791,0.047962542530693694
429899694,14.0544,16.9149,22.8058,0.0604,0.0694,0.0905,0.05257802831020273
429899695,12.4794,15.1776,20.2811,0.0252,0.0287,0.0497,0.056098740702361524
429899696,11.8113,14.4529,19.7131,0.0405,0.0474,0.0669,0.05686023067241032
429899697,11.1979,13.5894,18.7294,0.0336,0.0387,0.0564,0.059274001684944774
429899698,9.7406,11.9379,16.8213,0.0233,0.0266,0.0438,0.06159836113714365
429899699,9.5522,11.4677,16.1387,0.0053,0.0059,0.0248,0.06444121395927624
429899700,8.4417,10.0376,14.2486,0.0108,0.0122,0.0292,0.07059533429497317
429899701,8.4218,9.9309,14.1199,0.0,0.0,0.0173,0.07180546030797123
429899702,7.2798,8.5681,12.3478,0.0,0.0,0.0157,0.07903061153879146
429899703,8.7229,10.4435,14.6797,0.0,0.0,0.0195,0.06378702284985524
429899706,6.7899,7.7561,11.4807,0.0,0.0,0.0153,0.08106994029334431
429899718,5.2377,6.1681,8.8733,0.0,0.0,0.0126,0.09816868357674101
429899719,5.0404,5.7408,8.8097,0.0,0.0,0.0131,0.09447856694680049
429899720,7.5074,8.4512,10.1274,0.6353,0.7256,0.6008,0.10133499999681532
429899721,7.664,8.5955,10.3191,0.6737,0.7664,0.6368,0.10052442674077641
429899722,7.2085,8.1015,9.8927,0.6124,0.6977,0.5921,0.10471236017896915
429899726,7.6208,8.8782,10.4793,0.3602,0.4157,0.3534,0.09972671719555438
429899727,7.9928,9.3279,10.8664,0.3346,0.3835,0.3256,0.09740778003073822
429899728,8.1515,9.9453,11.4332,0.1794,0.211,0.1875,0.08849111644335216
429899730,8.5101,10.4361,11.7154,0.1201,0.1437,0.1281,0.08606693785815557
429899808,14.2099,15.5656,22.7709,0.2753,0.3113,0.3744,0.06314598028335774
429899809,14.305,15.5226,21.8039,0.395,0.429,0.4945,0.07099415216660818
429899810,10.1943,11.2039,16.6969,0.2314,0.2499,0.2976,0.08106994029334431
429899811,10.7245,12.2889,16.5678,0.223,0.2471,0.2776,0.10052442674077641
429899812,10.4934,12.041,16.6054,0.1388,0.1591,0.1921,0.09816868357674101
429899813,12.4428,14.0872,18.9932,0.2602,0.2958,0.3342,0.0937735836449438
429899814,10.7032,11.788,16.2965,0.2037,0.248,0.3096,0.0937735836449438
429899815,8.4281,9.2874,13.1552,0.1242,0.1559,0.1844,0.0937735836449438
429899823,2.0797,2.9569,6.142,0.0,0.0,0.0142,0.08726219508235135
429899826,3.3224,5.0117,10.1588,0.0,0.0,0.0133,0.09307904275505513
429899829,3.1148,4.804,10.4014,0.0,0.0,0.0136,0.09105580497377844
429899830,3.0294,4.7747,10.0976,0.0,0.0,0.0133,0.09307904275505513
429899831,2.4866,3.936,8.4488,0.0,0.0,0.0119,0.1038470904936626
429899832,2.5552,4.0617,8.8387,0.0,0.0,0.012,0.10299600257653854
429899833,2.6192,4.1923,9.198,0.0,0.0,0.0125,0.09894156757337469
429899834,2.3923,3.8456,8.7228,0.0,0.0,0.012,0.10299600257653854
429899835,2.3068,3.6992,8.5075,0.0,0.0,0.0122,0.10133499999681532
