detection_id,B,G,R,nB,nG,nR,Compactness
432920811,13.2191,14.1374,18.7967,0.1685,0.1822,0.2086,0.0815963233535219
432920812,9.4232,10.5662,15.3925,0.2418,0.2714,0.3291,0.10052442674077641
432920813,6.1011,5.954,7.7242,0.0541,0.0519,0.0592,0.1721088567938853
432920815,36.8138,36.2881,42.872,0.6411,0.6261,0.5878,0.0401477364918814
432920816,44.7072,48.6057,60.7749,0.7864,0.8769,1.0347,0.047241322067509035
432920817,27.1884,26.7493,30.1065,0.8216,0.8099,0.7857,0.07305779571290515
432920818,18.5261,18.302,21.1834,0.0657,0.0647,0.0682,0.07903061153879146
432920819,11.3739,12.7081,18.2566,0.4843,0.5498,0.6506,0.0815963233535219
432920820,21.7834,21.6108,25.1051,0.6894,0.6814,0.6809,0.08548150399146558
432920821,18.9743,20.8977,27.4156,0.3326,0.3836,0.4583,0.07263552511680024
432920822,31.1252,30.6009,34.1439,1.0078,0.9888,0.9643,0.06190178642991358
432920824,8.5842,9.279,12.5499,0.0407,0.0407,0.0515,0.11853991327830876
432920825,44.5084,48.5048,60.7318,0.3818,0.433,0.5167,0.03695959196015872
432920828,17.4339,19.295,27.0116,0.4887,0.5539,0.6799,0.07180546030797123
432920829,34.6029,37.5052,48.9061,0.7238,0.8156,0.9988,0.05108195634991484
432920830,32.6964,35.5448,45.9031,0.4099,0.4618,0.5786,0.0539319190680174
432920832,14.7273,15.8569,20.7704,0.0672,0.0674,0.0846,0.0752449975094086
432920833,7.5197,8.2322,12.4805,0.2125,0.2308,0.2646,0.1021587506273488
432920837,8.5038,9.3601,14.0173,0.2466,0.2814,0.3395,0.09894156757337469
432920841,3.8057,4.1148,6.8893,0.0075,0.0082,0.0176,0.15904183716398032
432920842,3.3677,3.6038,6.212,0.0075,0.0082,0.0172,0.16752101074657041
432920843,5.5768,5.5367,7.0918,0.031,0.0303,0.0365,0.1721088567938853
432920844,6.309,6.2235,7.6814,0.0293,0.029,0.0357,0.17695501477362918
432920845,6.0672,6.0005,7.5038,0.0275,0.0275,0.0346,0.1721088567938853
432920846,4.3622,4.3447,5.8843,0.0194,0.0194,0.0253,0.2059488517353309
432920847,5.6881,5.6599,7.5579,0.0254,0.0254,0.0325,0.1721088567938853
432920848,9.7355,9.6374,11.9863,0.044,0.044,0.0526,0.1427807996875266
432920849,9.3535,9.2555,11.7181,0.0424,0.0424,0.0513,0.13807493637999585
432920850,4.6753,4.6009,6.3849,0.0207,0.0207,0.0273,0.18475840065665078
432920858,5.9125,6.669,10.3498,0.0306,0.0369,0.0647,0.12691981982432735
432920859,19.9549,22.3482,30.2694,0.5761,0.6565,0.7943,0.06942531913488556
