detection_id,B,G,R,nB,nG,nR,Compactness
419857043,10.853,11.7983,18.4624,0.3189,0.3421,0.4335,0.07263552511680024
419857046,12.3434,13.3495,20.3825,0.2702,0.2863,0.3627,0.07391723900466864
419857050,12.6645,14.2151,21.0394,0.1606,0.1838,0.2508,0.08787235948346774
419857051,14.8833,17.0899,24.3081,0.3529,0.3934,0.4455,0.06444121395927624
419857053,16.0498,17.9809,25.5581,0.308,0.3527,0.4782,0.08055030487456037
419857056,15.6732,17.9037,25.8829,0.266,0.2958,0.3616,0.06684048540909966
419857058,21.1042,23.0312,31.1427,0.2942,0.3158,0.4055,0.07020097205976435
419857060,20.3479,22.2058,30.0253,0.3474,0.3885,0.4696,0.06904388481989716
419857062,20.8878,22.9178,31.259,0.2988,0.3233,0.4067,0.06510896233025722
419857063,20.799,22.9039,31.0459,0.3417,0.369,0.4627,0.06904388481989716
419857064,22.1754,24.0551,31.6255,0.3689,0.3982,0.4676,0.06477336728387235
419857065,21.5081,23.9064,31.6705,0.3234,0.3678,0.4453,0.07099415216660818
419857068,24.0751,26.6346,34.643,0.5113,0.5658,0.6543,0.0675591583065621
419857070,22.5345,24.982,33.1802,0.2738,0.3054,0.3815,0.06346488289866778
419857072,23.3272,25.5499,33.3218,0.3842,0.4139,0.5022,0.06829345312829196
419857073,22.6286,25.0552,32.7909,0.4143,0.4608,0.5477,0.06346488289866778
419857074,23.9561,26.0805,34.5101,0.4196,0.4694,0.5921,0.06829345312829196
419857076,22.6207,25.4424,34.4297,0.2864,0.3262,0.4116,0.06411244968272661
419857087,18.5015,21.6648,28.321,0.1186,0.17,0.2272,0.07435458803139107
419857088,20.6619,23.2873,30.5935,0.1747,0.2168,0.282,0.07139750161301212
419857089,19.472,21.3868,29.3622,0.1206,0.1489,0.222,0.07435458803139107
419857390,17.0457,19.4777,27.4703,0.0821,0.1052,0.1688,0.0661369411690469
419857391,17.4645,20.0078,27.9183,0.0819,0.1064,0.1632,0.06378702284985524
419857392,14.1958,16.2712,23.1051,0.1073,0.1432,0.1951,0.06866661880204716
419857393,15.3739,17.4476,24.6095,0.1345,0.1696,0.232,0.06904388481989716
419857395,10.9991,12.9153,19.601,0.0856,0.1072,0.1636,0.08266986501266944
419857396,11.2742,12.6623,18.4552,0.0666,0.0882,0.1192,0.08266986501266944
419857398,15.4154,16.9088,23.8066,0.1071,0.124,0.1611,0.07435458803139107
419857401,34.3351,37.2799,48.851,1.2092,1.2838,1.455,0.04671448198421
419857402,19.9176,22.2267,31.1598,0.3963,0.445,0.5902,0.06544805286939072
419857403,18.5795,19.8353,27.791,0.6286,0.6759,0.8209,0.07305779571290515
419857405,12.2286,12.6452,18.3365,0.1247,0.1307,0.1453,0.0752449975094086
419857407,14.0774,13.9397,15.5354,0.2658,0.2656,0.2171,0.08606693785815557
419857408,13.1271,13.2303,14.6328,0.2847,0.2896,0.2341,0.08666044549832956
419857409,13.8811,13.6704,15.2385,0.3226,0.3175,0.2524,0.08321729873508964
419857410,14.3695,14.2812,16.0278,0.2344,0.2332,0.1965,0.08321729873508964
419857411,14.4494,14.3847,16.2141,0.3026,0.3043,0.2505,0.08055030487456037
419857412,13.9888,13.9038,15.6664,0.3045,0.3022,0.2552,0.08548150399146558
419857413,14.1495,14.0867,15.6635,0.3013,0.3006,0.2418,0.08212958633865283
419857414,13.9642,13.8241,15.4043,0.3666,0.3617,0.2855,0.08321729873508964
419857419,14.5118,14.4107,15.6752,0.3652,0.3607,0.2923,0.08055030487456037
419857420,14.4596,14.3106,15.9586,0.3283,0.322,0.2755,0.07903061153879146
419857421,13.5461,13.2969,15.6049,0.3573,0.354,0.3069,0.07180546030797123
419857422,11.6969,11.4845,13.3481,0.3272,0.3253,0.2821,0.09239471398211957
419857423,11.1717,10.9215,12.6372,0.3346,0.3319,0.2837,0.09740778003073822
419857425,10.9179,10.7615,12.2217,0.261,0.2555,0.21,0.10133499999681532
