detection_id,B,G,R,nB,nG,nR,Compactness
27361370,16.0566,16.7198,21.8776,0.3526,0.3766,0.427,0.07305779571290515
27361371,16.3042,16.8757,22.1373,0.3779,0.4016,0.457,0.07263552511680024
27361372,14.849,15.6854,21.5804,0.6083,0.6437,0.7313,0.07059533429497317
27361373,14.6904,15.4543,21.4755,0.593,0.6253,0.7098,0.06942531913488556
27361376,19.0556,19.1705,24.2251,0.0371,0.0388,0.0618,0.057118675464029094
27361378,21.6752,21.903,26.9839,0.0261,0.0278,0.05,0.05560231145909046
27361380,36.0063,35.1758,38.6136,0.1539,0.1531,0.1734,0.05710894925508851
27361381,36.0661,35.3862,39.0875,0.1533,0.153,0.1743,0.054156094636737914
27361382,38.466,38.1355,41.6393,0.1642,0.1639,0.1864,0.05392374535840324
27361383,37.2276,36.931,39.7779,0.1599,0.1599,0.1788,0.06346488289866778
27361385,22.616,23.0018,27.6408,0.0355,0.0411,0.0607,0.06100034753906654
27361386,22.9367,23.3983,27.9101,0.0284,0.0355,0.0536,0.06100034753906654
27361387,26.0035,26.3067,31.0818,0.0227,0.0291,0.0433,0.05635029433027713
27361388,25.2381,25.6103,30.3494,0.0324,0.0408,0.0541,0.05660411406725943
27361397,56.2816,54.2361,52.2973,0.483,0.4472,0.3956,0.05487392523583279
27361398,56.4181,54.4103,52.3656,0.4951,0.456,0.3998,0.05487392523583279
27361399,36.2445,34.6986,35.7178,0.2515,0.2406,0.2182,0.058176383157876974
27361401,23.0002,23.7902,30.8059,0.2818,0.2906,0.3087,0.044403578072467774
27361405,24.9283,25.3919,32.4174,0.2203,0.2263,0.253,0.04188362820825082
27361406,27.4372,27.9326,35.1856,0.2485,0.254,0.2753,0.04106612917780369
27361407,29.0741,29.4755,37.1922,0.2666,0.2711,0.2941,0.03902561695436705
27361411,35.4927,33.9452,37.8453,1.4108,1.3522,1.3187,0.06981099120988524
27361412,42.8046,40.9903,45.0467,1.5673,1.5108,1.4334,0.05660411406725943
27361413,44.4898,42.4851,46.7175,2.3459,2.2503,2.1211,0.05279893651282317
27361414,46.7913,45.2938,48.5581,1.9626,1.8917,1.775,0.04778018079289879
27361420,16.589,16.4889,22.5032,0.7445,0.7445,0.772,0.06012478543760053
27361456,42.6525,42.3142,47.2995,0.0827,0.0808,0.0902,0.04552972625896745
27361457,41.4434,41.2093,46.0243,0.1379,0.1344,0.1279,0.04520039839758471
27361458,36.658,36.2701,43.9212,0.1268,0.1211,0.1149,0.03368975819406328
27361487,52.7748,50.7884,58.0948,0.4929,0.4624,0.4731,0.03878359820796782
27361491,31.6783,30.6686,34.8861,1.0428,1.0169,0.9623,0.05560231145909046
27361494,32.3448,32.1232,34.9337,1.2856,1.2706,1.1893,0.05660411406725943
27361500,26.3661,25.692,30.0288,0.5502,0.5379,0.5153,0.05737948033237819
27361505,31.4615,30.6868,35.6258,0.4066,0.3904,0.3823,0.050670018704328156
27361507,30.0896,29.8472,35.4335,0.511,0.503,0.5073,0.04889337586209721
27361508,22.5124,22.5579,27.0072,0.2584,0.2549,0.2656,0.06251294187088097
27361510,27.0327,26.971,31.7146,0.3507,0.3429,0.3484,0.058176383157876974
27361538,22.3665,22.2109,29.1615,0.1245,0.1099,0.1199,0.03751121781510277
27361547,43.1785,41.7268,44.3377,1.7188,1.646,1.5237,0.04927912092245134
27361553,32.7308,31.7793,35.8078,0.4338,0.4184,0.3968,0.04870612541107282
27361555,52.8644,53.671,61.9711,0.718,0.7323,0.7543,0.033687786818625394
27361556,63.0568,64.0051,72.2517,0.9536,0.9711,0.9977,0.036529836633637666
27361561,36.3607,36.4183,44.4565,0.4562,0.4582,0.4998,0.040536254848845585
27361564,52.9565,51.6114,56.4236,0.8291,0.8068,0.7697,0.03368975819406328
