detection_id,B,G,R,nB,nG,nR,Compactness
427978221,15.024,16.5432,16.9228,0.2905,0.3259,0.2508,0.08726219508235135
427978223,17.0433,18.8035,19.6988,0.3878,0.4278,0.344,0.07479714303071543
427978225,19.4466,21.5414,21.7113,0.3673,0.4046,0.3238,0.07435458803139107
427978227,19.2382,21.3008,21.4893,0.188,0.2133,0.1686,0.07662132709270902
427978229,15.1631,16.8334,17.8634,0.2874,0.315,0.2538,0.07305779571290515
427978231,13.7929,15.1052,15.4144,0.503,0.5448,0.4264,0.08726219508235135
427978235,17.3119,18.873,19.9721,0.7746,0.8407,0.6754,0.07099415216660818
427978240,15.2649,17.0157,17.5848,0.4823,0.5381,0.4094,0.07804894248762141
427978242,12.8334,14.1743,15.0044,0.4727,0.5203,0.403,0.08266986501266944
427978244,18.6554,20.7729,21.8421,0.5447,0.6028,0.4703,0.06579069379816853
427978246,19.3789,21.5351,21.72,0.2556,0.2912,0.2331,0.07435458803139107
427978248,18.8648,20.7541,21.0248,0.2333,0.2651,0.2118,0.0661369411690469
427978261,8.9123,11.1943,11.0947,0.2566,0.3268,0.2209,0.08666044549832956
427978265,14.4367,17.5614,15.9976,1.0052,1.2553,0.8287,0.08548150399146558
427978269,10.3745,12.2023,12.0196,0.0753,0.0911,0.0678,0.10133499999681532
427978371,10.4366,12.8487,11.9543,0.0765,0.0897,0.0602,0.09447856694680049
427978373,23.3378,28.1412,22.6604,0.4691,0.5576,0.35,0.06544805286939072
427978376,20.2304,23.257,19.8073,0.3452,0.4041,0.2591,0.06378702284985524
427978377,23.4255,27.0489,23.0382,0.3417,0.3959,0.2566,0.0675591583065621
427978411,18.8689,19.9978,20.5853,0.2737,0.2907,0.2578,0.07391723900466864
427978414,7.5834,11.6799,18.5746,0.1747,0.2589,0.3194,0.06684048540909966
427978418,10.315,12.942,15.7049,0.3455,0.4241,0.388,0.0661369411690469
427978419,10.2952,12.7519,15.6939,0.4254,0.5165,0.4776,0.06792432131461863
427978520,10.4851,13.1841,16.1189,0.3731,0.4833,0.4458,0.07099415216660818
427978522,27.4616,33.8328,34.6053,0.2936,0.3703,0.3444,0.05983849013957345
427978523,32.2633,39.3429,37.6995,0.3358,0.4072,0.3401,0.06378702284985524
427978524,32.5656,39.1626,37.6512,0.3599,0.4605,0.3606,0.06041383338136221
427978525,29.5388,35.623,33.6894,0.5555,0.7214,0.5424,0.06829345312829196
427978527,34.3886,41.1425,38.9105,1.0081,1.252,0.9337,0.05764267775279962
427978528,33.6475,40.3088,36.4816,0.669,0.8449,0.6088,0.06190178642991358
427978529,36.2841,43.4236,40.2803,0.6647,0.86,0.6538,0.05660411406725943
427978530,37.55,44.3827,41.5251,1.2875,1.5599,1.1779,0.0539319190680174
427978531,37.5698,44.5241,42.4397,0.4422,0.5944,0.4345,0.05844695914181379
427978532,48.4294,57.3274,52.7073,1.1521,1.4436,1.0397,0.04947312713553582
427978533,55.1858,66.0293,59.1385,1.2269,1.5887,1.1272,0.04778018079289879
427978540,14.3051,18.1551,21.2633,0.0827,0.0959,0.099,0.06378702284985524
427978543,6.0605,7.5021,9.4265,0.0305,0.0358,0.041,0.09665858053229819
427978546,20.1187,25.8317,27.3767,0.6304,0.8199,0.7355,0.06510896233025722
427978551,39.9731,47.3275,44.6789,0.4916,0.6002,0.4942,0.05046653131091824
427978552,41.4493,48.2053,43.9524,0.6388,0.781,0.5757,0.04870612541107282
427978554,38.1886,44.1867,35.9012,2.7188,3.2166,2.1072,0.05108195634991484
427978555,37.9841,43.5174,35.8897,1.5832,1.8546,1.2166,0.050670018704328156
427978556,38.8761,44.2011,36.6966,1.3734,1.6189,1.0517,0.05108195634991484
427978560,12.7276,14.5458,15.0522,0.0888,0.1081,0.0913,0.09894156757337469
427978563,13.4463,16.2531,14.5373,0.2778,0.3537,0.2144,0.08548150399146558
427978566,14.3292,17.1274,15.6135,0.2236,0.294,0.1921,0.08849111644335216
427978671,16.5293,20.0338,18.0749,0.5441,0.6526,0.4254,0.06251769380643689
427978672,14.5099,17.6995,16.6946,0.2862,0.3414,0.2507,0.0675591583065621
427978681,4.2141,5.5349,8.1326,0.0,0.0,0.0128,0.09665858053229819
427978682,4.1699,5.4722,8.0035,0.0,0.0,0.0127,0.09740778003073822
427978688,4.1361,5.4116,7.4932,0.0,0.0,0.0115,0.10739689511380088
427978830,20.3077,25.2669,30.063,0.1729,0.2019,0.2146,0.06100034753906654
427978831,18.7827,23.2037,27.757,0.1602,0.1873,0.1998,0.06378702284985524
427978833,9.4173,12.298,16.1937,0.0827,0.1098,0.1214,0.0815963233535219
427978834,9.526,12.6453,16.4044,0.0957,0.1337,0.1468,0.08212958633865283
427978838,21.418,22.3771,23.2895,0.6734,0.7081,0.6035,0.07305779571290515
427978842,23.6547,34.3795,41.2217,0.8131,1.2842,1.3131,0.04688878485347726
427978865,12.5358,15.0824,15.5665,0.0963,0.133,0.108,0.10648688664370398
427978869,11.4504,13.6745,14.0836,0.0885,0.1089,0.0948,0.11119795425652645
427978970,11.1615,12.9887,13.7592,0.0895,0.1036,0.093,0.11119795425652645
427978971,10.9877,12.9936,13.4004,0.0873,0.1055,0.0951,0.11527791973048969
427978972,10.5713,12.6604,12.9546,0.1098,0.1425,0.1087,0.11423011752805243
427978973,10.6211,12.6572,12.9535,0.1081,0.1452,0.1066,0.11219063124580061
427978974,11.0048,13.2281,13.8802,0.1221,0.1673,0.1327,0.10739689511380088
427978975,11.1638,13.3235,14.2114,0.1238,0.167,0.1379,0.10471236017896915
427978976,10.8878,13.2909,13.8237,0.1471,0.204,0.1528,0.10648688664370398
427978977,11.3076,13.7357,14.5952,0.1635,0.2211,0.1798,0.10471236017896915
427978978,11.4761,13.9768,14.7568,0.1644,0.2187,0.1821,0.1021587506273488
427978979,10.7363,12.6403,14.2329,0.1036,0.139,0.1262,0.10471236017896915
427978981,9.9081,12.0477,13.2392,0.1715,0.2281,0.1876,0.10648688664370398
427978982,9.9877,12.2103,13.1716,0.1818,0.2433,0.199,0.10926437976474195
427978985,9.0005,11.1213,11.8469,0.581,0.7349,0.5731,0.10739689511380088
427978990,18.9191,19.9871,20.5289,0.8007,0.8482,0.7365,0.08606693785815557
427978996,5.7272,6.7668,9.2989,0.0,0.0,0.0147,0.08433420746488306
427978997,5.6962,6.7597,8.6786,0.0,0.0,0.0128,0.09665858053229819
427979002,10.6575,12.2695,10.9659,0.0817,0.0865,0.0386,0.10739689511380088
427979005,11.3026,13.2025,12.6659,0.0742,0.0901,0.0363,0.10133499999681532
427979006,12.7535,15.0781,14.7841,0.0935,0.1142,0.0849,0.09105580497377844
427979007,11.2302,13.2466,13.482,0.0623,0.0875,0.0506,0.09894156757337469
427979008,9.8284,11.8022,13.0395,0.0102,0.0749,0.0333,0.10299600257653854
427979010,11.603,12.7792,13.3194,0.1105,0.1299,0.1005,0.09972671719555438
427979011,12.8358,13.6068,14.9974,0.112,0.1239,0.1088,0.09040079679516942
427979012,12.7299,13.646,14.5701,0.1374,0.1582,0.1317,0.09592081711552267
