detection_id,B,G,R,nB,nG,nR,Compactness
432465271,5.6937,5.5502,5.3496,0.1314,0.1273,0.0912,0.17449830252036147
432465272,8.2296,8.3336,8.1033,0.0871,0.0886,0.077,0.16317136358672749
432465273,3.848,3.8237,4.3487,0.2241,0.2225,0.1678,0.1963000700655754
432465275,4.2859,4.2973,4.9723,0.0459,0.0461,0.0378,0.18751471302418415
432465321,4.9914,4.6989,6.5201,0.0439,0.0371,0.0468,0.14442151192814084
432465326,4.847,4.6947,6.3171,0.0193,0.0193,0.0264,0.1721088567938853
432465329,2.2818,2.0318,4.3755,0.0141,0.0108,0.0217,0.1721088567938853
432465330,4.3451,4.026,5.4761,0.0319,0.0275,0.04,0.1721088567938853
432465334,5.0081,5.0907,7.5157,0.0279,0.0231,0.0323,0.13088518977836702
432465335,8.0002,7.6209,9.8496,0.0539,0.0463,0.0577,0.13807493637999585
432465338,5.2734,4.7481,7.8641,0.0354,0.0245,0.037,0.1396087127968195
432465339,8.4355,7.9603,9.3269,0.0825,0.0616,0.071,0.13807493637999585
432465349,5.8931,5.6208,7.1925,0.0355,0.0312,0.0381,0.1396087127968195
432465350,3.0408,4.0214,6.812,0.096,0.1266,0.1494,0.1411769425941694
432465354,6.1098,5.8375,8.0392,0.0328,0.029,0.0392,0.1427807996875266
432465357,4.6009,3.9672,7.0052,0.0229,0.0196,0.0301,0.1411769425941694
432465358,6.3739,6.0964,7.3884,0.0622,0.0527,0.054,0.1411769425941694
432465385,4.2084,3.9094,4.9427,0.032,0.0266,0.0337,0.2093793437612272
432465386,4.2431,3.8497,5.607,0.02,0.0195,0.0273,0.21659487670178934
432465389,8.4129,9.4717,14.8025,0.1235,0.1407,0.2229,0.09447856694680049
432465393,16.9335,16.4006,17.7198,0.1058,0.0987,0.1295,0.09740778003073822
432465394,8.6556,8.5151,12.8537,0.0707,0.0589,0.0771,0.09592081711552267
432465398,8.9175,8.7282,13.668,0.1359,0.1246,0.2093,0.09740778003073822
432465399,4.1625,4.7837,10.6909,0.0173,0.0129,0.0279,0.09740778003073822
432465402,1.7435,2.761,7.7781,0.0258,0.0372,0.0849,0.1336693370934263
432465406,8.9634,8.2772,10.7602,0.0927,0.0745,0.0897,0.12691981982432735
432465410,8.3361,7.4672,9.5153,0.0836,0.0632,0.0819,0.13226261511265314
432465413,1.6485,2.5401,6.9834,0.0167,0.0228,0.0534,0.1336693370934263
432465417,8.1036,7.6957,9.3325,0.0649,0.0564,0.0771,0.13807493637999585
432465418,9.1334,8.6074,10.807,0.05,0.0437,0.0549,0.1336693370934263
432465422,7.7777,6.8344,8.7574,0.0534,0.0406,0.0531,0.13807493637999585
432465425,9.3223,8.2361,10.9147,0.0437,0.038,0.0482,0.1351063003197879
432465426,1.3869,2.346,6.8864,0.0271,0.0385,0.0838,0.13657449043501094
432465443,3.4764,3.2872,5.2237,0.0156,0.0144,0.0222,0.17695501477362918
432465445,3.3812,2.7912,5.3186,0.0218,0.0157,0.0272,0.1794818739290955
432465446,4.9045,4.2952,5.8314,0.0366,0.029,0.038,0.17449830252036147
432465450,4.6498,4.3311,6.1592,0.0186,0.0186,0.0255,0.17695501477362918
432465456,3.6326,3.6445,5.1568,0.0227,0.0224,0.0326,0.18751471302418415
432465457,2.6994,2.5763,4.4886,0.0119,0.0107,0.0177,0.18751471302418415
432465460,3.4832,2.7809,4.6018,0.0547,0.0429,0.0623,0.1963000700655754
432465469,3.1331,2.9197,4.764,0.0155,0.013,0.0198,0.2129260181386661
432465480,3.2616,3.4177,5.5487,0.0579,0.0608,0.0935,0.224325293611701
432465481,3.2077,3.0245,5.6523,0.0426,0.0352,0.0479,0.14610036423614817
432465483,4.9745,3.7919,6.512,0.0347,0.0248,0.037,0.1427807996875266
432465484,4.0598,3.4369,6.0085,0.0488,0.0339,0.0534,0.14610036423614817
432465485,5.0857,4.517,6.442,0.0219,0.0208,0.0274,0.2129260181386661
432465489,1.034,1.313,3.9229,0.0182,0.0194,0.0377,0.2129260181386661
432465493,9.7833,9.0293,11.9685,0.1061,0.0917,0.1243,0.11219063124580061
432465494,7.8299,7.1967,10.3702,0.0379,0.0334,0.0472,0.10832258979485408
432465496,8.5067,7.5539,10.4491,0.0559,0.0461,0.0657,0.12199187159268324
432465499,2.3562,3.314,8.5582,0.0455,0.0587,0.1184,0.12081909724428652
432465503,6.3541,6.27,8.7864,0.0539,0.053,0.0768,0.1396087127968195
