detection_id,B,G,R,nB,nG,nR,Compactness
427612401,0.1486,0.9677,4.2698,0.0126,0.0333,0.0287,0.08106994029334431
427612402,0.1931,1.3327,4.4709,0.0033,0.0254,0.023,0.08055030487456037
427612403,0.332,1.4214,4.5185,0.0071,0.0261,0.022,0.0815963233535219
427612404,0.3208,1.378,4.4179,0.0072,0.0279,0.0194,0.08266986501266944
427612405,0.2372,1.3837,4.2732,0.0085,0.0383,0.0245,0.08490398027194407
427612406,0.245,1.2804,4.1549,0.0057,0.0236,0.0174,0.08849111644335216
427612407,0.2096,1.0718,4.0054,0.0036,0.0155,0.0214,0.08975514439115811
427612410,0.0847,0.5973,3.7856,0.0044,0.0223,0.0176,0.08490398027194407
427612411,0.1915,1.011,3.6266,0.0066,0.0284,0.0183,0.09105580497377844
427612412,0.1868,0.8358,3.4959,0.0088,0.0273,0.0184,0.0937735836449438
427612413,0.4658,1.4846,3.8991,0.0087,0.0293,0.0203,0.09040079679516942
427612414,0.4966,1.3762,3.9016,0.0095,0.0301,0.0263,0.09239471398211957
427612415,2.284,4.0612,4.0244,0.0377,0.0797,0.0349,0.11423011752805243
427612416,2.1659,3.7317,3.7979,0.034,0.0736,0.0304,0.11423011752805243
427612417,2.3662,3.9523,4.0299,0.0467,0.0858,0.0373,0.1038470904936626
427612418,2.8147,4.5984,4.4874,0.0368,0.0748,0.034,0.10133499999681532
427612419,3.1345,5.6016,5.0766,0.0586,0.1265,0.0517,0.09592081711552267
427612420,3.137,5.6104,5.4453,0.0586,0.131,0.0582,0.09239471398211957
427612421,3.2444,5.5939,5.5151,0.0562,0.1203,0.0559,0.09172037375316221
427612422,3.6246,6.2027,5.784,0.0585,0.1309,0.056,0.09239471398211957
427612423,2.8112,4.8981,5.401,0.042,0.098,0.049,0.09040079679516942
427612424,2.4722,4.3855,5.4465,0.0339,0.08,0.0527,0.08548150399146558
427612425,3.0131,5.5408,5.9202,0.0815,0.1581,0.0784,0.08490398027194407
427612426,2.3632,3.7987,5.449,0.0649,0.1178,0.065,0.08321729873508964
427612427,2.0557,3.3167,5.2334,0.0422,0.0819,0.0471,0.08433420746488306
427612429,5.4542,10.0325,6.6246,0.1202,0.1827,0.0622,0.06411244968272661
427612430,3.4548,7.442,4.8527,0.0816,0.136,0.0543,0.09040079679516942
427612432,3.1554,7.4236,4.8411,0.0549,0.094,0.0419,0.08266986501266944
427612433,2.9029,7.5008,4.9165,0.0324,0.0717,0.0353,0.08212958633865283
427612434,2.8544,7.0035,4.7141,0.0115,0.0364,0.022,0.08266986501266944
427612436,1.7728,5.3071,4.4732,0.0,0.0499,0.0161,0.077091360650504
427612437,1.7208,4.3791,4.1639,0.0,0.0464,0.0151,0.08212958633865283
427612438,22.7673,41.8915,18.3153,0.3959,0.777,0.2173,0.0607056738604871
427612461,31.6349,50.8095,26.9594,1.4845,2.5359,1.0123,0.05764267775279962
427612465,23.8927,41.2989,20.0048,0.7192,1.3498,0.4338,0.05844695914181379
427612466,22.8051,39.5548,18.7389,0.5336,1.017,0.3133,0.06411244968272661
427612467,20.2279,35.6949,16.4043,0.5835,1.1223,0.3391,0.07662132709270902
427612468,21.3931,37.9501,17.4299,0.5394,1.0235,0.3245,0.07662132709270902
427612469,16.9326,29.3238,14.3497,0.3655,0.7083,0.1904,0.07305779571290515
427612470,17.2132,29.5747,14.0258,0.4286,0.8032,0.2475,0.0815963233535219
427612471,21.286,35.2417,17.9816,0.6714,1.1532,0.4178,0.06829345312829196
427612472,20.689,36.2807,18.2196,0.711,1.2543,0.4543,0.06684048540909966
427612473,20.0753,36.5095,17.4916,0.6743,1.2693,0.4103,0.06719790044098876
427612474,16.0873,30.5625,14.3651,0.3773,0.7632,0.2331,0.07348500463068167
427612475,15.2721,29.2225,14.5479,0.5339,1.0159,0.3801,0.077091360650504
427612476,16.687,30.6271,15.5169,0.5178,0.9682,0.3691,0.07756719641593564
427612477,17.0196,31.1448,14.9405,0.4852,0.933,0.3299,0.08003728818317192
427612478,13.6929,24.9856,11.5855,0.3649,0.7473,0.2016,0.09447856694680049
427612479,13.4308,24.7551,11.7986,0.3339,0.6351,0.2119,0.09307904275505513
427612480,13.1213,24.1432,11.8994,0.2562,0.5236,0.173,0.08666044549832956
427612481,11.6488,21.5479,10.6497,0.2352,0.4765,0.143,0.08212958633865283
427612482,9.8771,18.5523,9.1634,0.1759,0.3775,0.0894,0.08212958633865283
427612506,0.6935,2.7357,3.084,0.0005,0.0357,0.0119,0.10832258979485408
427612507,0.8928,2.8712,3.0229,0.0001,0.0354,0.0112,0.11119795425652645
427612508,0.7925,2.9242,2.9321,0.0,0.0332,0.0108,0.11423011752805243
427612509,2.0508,4.1808,5.2005,0.0209,0.0569,0.0295,0.06942531913488556
427612510,1.8564,4.1254,5.1132,0.0102,0.0464,0.0212,0.07180546030797123
427612511,2.8437,6.098,6.9223,0.0312,0.0919,0.0355,0.0541643755046309
427612512,2.9309,6.074,6.8873,0.0286,0.0775,0.0347,0.05511459098459456
427612513,3.1213,6.1599,6.7109,0.0264,0.0712,0.0354,0.05764267775279962
427612514,3.2146,6.4745,6.467,0.0321,0.078,0.0341,0.06129789587454133
427612515,2.056,4.1509,4.2473,0.016,0.0424,0.0218,0.09740778003073822
427612516,4.0158,6.6827,6.4462,0.0554,0.0965,0.0488,0.06579069379816853
427612517,2.826,5.4512,5.3063,0.0274,0.0653,0.0319,0.07662132709270902
427612518,2.5902,5.1369,5.2265,0.0257,0.056,0.0256,0.07662132709270902
