detection_id,B,G,R,nB,nG,nR,Compactness
71151629,14.6152,13.3738,12.3337,0.146,0.129,0.0923,0.07853670966610296
71151635,12.9814,11.9726,10.9241,0.1422,0.1183,0.0896,0.08666044549832956
71151760,11.2565,10.7363,9.394,0.0915,0.0838,0.0696,0.10559216905199818
71151766,11.1252,10.5901,9.448,0.0708,0.0657,0.0609,0.10471236017896915
71152237,10.2259,9.4176,8.7633,0.1131,0.0976,0.0713,0.11219063124580061
71152242,8.3643,7.5864,8.0213,0.1015,0.0883,0.0692,0.12318763468639518
71152248,9.2501,8.4374,7.7484,0.1295,0.1054,0.0718,0.12081909724428652
71152254,7.9155,7.1502,7.0709,0.1193,0.0956,0.0682,0.12440706908215582
71152439,7.6664,7.0214,5.8589,0.1647,0.1451,0.0803,0.1411769425941694
71152448,6.8318,6.0535,5.5363,0.1363,0.1157,0.0653,0.1411769425941694
71152451,6.5734,5.7764,5.4272,0.121,0.1006,0.0631,0.1411769425941694
71152462,5.8753,5.1863,5.1387,0.149,0.1194,0.0804,0.1427807996875266
71152468,5.6592,4.9688,5.0097,0.1447,0.1199,0.0791,0.1427807996875266
71152474,5.4493,4.7702,4.9648,0.1728,0.1433,0.0942,0.1427807996875266
71152540,6.4183,5.6829,5.7621,0.0653,0.0516,0.0377,0.14442151192814084
71152545,6.4945,5.856,5.7821,0.0523,0.0407,0.0321,0.14781870195462177
71152554,6.6292,6.12,5.8975,0.0671,0.0564,0.0428,0.14781870195462177
71152560,6.9234,6.2193,6.0418,0.0582,0.046,0.0378,0.14781870195462177
71152572,6.3846,6.0259,5.8688,0.0647,0.0579,0.0431,0.14781870195462177
71152580,6.4942,6.2028,5.9214,0.0821,0.0752,0.0553,0.14781870195462177
71152591,6.1692,5.4338,5.5049,0.0705,0.0618,0.043,0.15322506464696445
71152606,5.6862,5.0003,5.1397,0.0898,0.0788,0.0504,0.15137953892966877
71152615,5.939,5.3407,5.294,0.0575,0.049,0.0358,0.15322506464696445
71152624,5.9909,5.3628,5.3488,0.0517,0.043,0.0323,0.15322506464696445
71152633,5.9507,5.3856,5.3907,0.0523,0.0465,0.034,0.15137953892966877
71152729,3.3554,3.0204,3.4993,0.0462,0.0398,0.0244,0.16108014280507627
71152741,3.6157,3.221,3.8286,0.0563,0.0472,0.0348,0.16108014280507627
71152759,3.4833,3.1331,3.7303,0.0679,0.0604,0.0379,0.16108014280507627
71152765,3.3952,2.9468,3.7281,0.0497,0.041,0.0289,0.15904183716398032
71153381,2.1967,1.775,2.7158,0.025,0.0197,0.0158,0.18751471302418415
71153393,1.8589,1.6243,2.8404,0.0153,0.014,0.0163,0.1903544897796419
71153473,3.8002,3.1616,3.366,0.1801,0.1448,0.0818,0.18475840065665078
71153545,11.1477,10.7874,10.302,0.1123,0.0965,0.0819,0.07348500463068167
71153548,4.695,4.5266,5.2535,0.0351,0.0324,0.0317,0.11634512054520679
71153553,20.007,19.281,15.5102,0.1773,0.1575,0.1262,0.07099415216660818
71153555,19.0935,17.3747,15.2795,0.4401,0.3577,0.2799,0.07853670966610296
71153564,10.6221,9.6488,9.1637,0.1537,0.1371,0.092,0.09816868357674101
71153566,4.6147,4.0355,5.1036,0.1015,0.0851,0.0779,0.15511613727099602
71153569,17.6735,16.7023,13.8264,0.1269,0.105,0.0913,0.09239471398211957
71153591,2.601,2.246,3.296,0.0207,0.015,0.0142,0.19941430995731257
71153602,6.1311,5.5172,6.3365,0.0586,0.0488,0.0338,0.11423011752805243
71153609,11.5274,10.4842,10.1449,0.1679,0.1451,0.1069,0.10471236017896915
71153677,6.4009,5.2887,5.4321,0.0417,0.0347,0.0232,0.12953615542145414
71153697,4.4983,3.9265,4.8091,0.0458,0.0369,0.0272,0.15322506464696445
71153956,29.1357,25.4387,25.3796,0.6772,0.5779,0.4615,0.05439884443645084
71153968,29.6363,26.7445,26.6193,0.3617,0.3191,0.3029,0.05660411406725943
71153977,31.1804,28.1881,24.1668,0.4983,0.4333,0.32,0.05660411406725943
71153983,31.1883,28.2564,23.6841,0.5303,0.4698,0.3206,0.05660411406725943
71153989,31.6143,28.653,23.793,0.4879,0.4296,0.285,0.05686023067241032
71154126,31.8707,30.3792,26.2951,0.4323,0.4026,0.3288,0.056098740702361524
71154132,30.907,29.2248,24.6115,0.4628,0.4256,0.3375,0.05584942297118333
71154138,32.3051,30.7194,25.026,0.3174,0.2932,0.23,0.05535737701133239
71154156,30.2411,28.6698,24.2927,0.3583,0.3224,0.2868,0.05560231145909046
71154162,28.886,27.1285,24.6838,0.4306,0.394,0.3139,0.05108195634991484
71154168,30.454,28.5384,25.5208,0.4453,0.4125,0.331,0.05463535211139932
71154175,39.4489,37.7403,35.925,0.632,0.604,0.5301,0.07139750161301212
71154181,24.328,22.8415,21.8554,0.3524,0.3287,0.2906,0.08975514439115811
71154187,14.3624,13.4028,13.7859,0.1933,0.1838,0.1527,0.1132011898318306
71154272,31.0903,30.5053,25.785,0.2823,0.2687,0.2532,0.0541643755046309
71154291,23.5549,21.8432,16.6497,0.4878,0.4495,0.2346,0.05635029433027713
71154307,6.7393,6.0075,5.0742,0.134,0.1158,0.0575,0.16752101074657041
71154320,2.9557,2.55,2.7086,0.0261,0.0225,0.011,0.224325293611701
71154331,8.04,6.9829,5.2333,0.1146,0.09,0.0405,0.16978395275546265
71154334,7.963,7.0831,5.9938,0.101,0.0887,0.0488,0.14610036423614817
