detection_id,B,G,R,nB,nG,nR,Compactness
432539101,7.2688,8.7605,14.4832,0.1283,0.1564,0.2438,0.13088518977836702
432539108,2.5959,2.9806,5.793,0.0228,0.0295,0.054,0.18208192715442573
432539110,2.2673,3.4373,8.7617,0.087,0.1387,0.2311,0.10133499999681532
432539114,0.1733,0.5125,3.6109,0.0008,0.0015,0.011,0.18208192715442573
432539116,19.8276,26.1391,44.9982,0.1432,0.2504,0.4663,0.04079947169724779
432539118,2.9874,3.3349,6.3424,0.0328,0.0382,0.0658,0.17449830252036147
432539119,0.7567,1.3223,4.4532,0.0176,0.0266,0.0552,0.17695501477362918
432539120,0.8673,1.9606,7.3839,0.0067,0.0114,0.0304,0.09816868357674101
432539122,3.2315,5.9691,13.7576,0.091,0.1489,0.2426,0.07435458803139107
432539124,0.1376,0.4903,3.6118,0.0,0.0,0.0076,0.17449830252036147
432539125,11.184,15.7097,29.5564,0.0893,0.1594,0.327,0.04947312713553582
432539132,10.4956,15.3148,28.4264,0.1026,0.2224,0.4217,0.06314598028335774
432539135,8.2772,13.8985,31.1944,0.1078,0.1794,0.3425,0.04471960971181389
432539137,10.1913,17.0619,38.6389,0.2631,0.4157,0.7798,0.04552972625896745
432539144,22.4553,29.7738,52.2855,0.1836,0.3262,0.6283,0.037964517283050205
432539145,5.2232,8.7023,25.8514,0.0952,0.1575,0.3415,0.04586205110904071
432539146,8.597,13.6023,29.5341,0.2966,0.4826,0.7825,0.049086630312145024
432539147,12.2063,15.648,34.4619,0.2497,0.3545,0.628,0.03342096078058902
432539149,5.4164,7.7307,16.0332,0.1799,0.2665,0.4207,0.07059533429497317
432539152,4.3069,7.2164,20.9031,0.0797,0.1098,0.2276,0.05214171140333059
432539153,10.2863,12.1641,23.6972,0.2717,0.3311,0.5447,0.06283026644890574
432539159,6.0196,6.6218,13.4509,0.1102,0.1211,0.2234,0.09894156757337469
432539166,6.3833,7.5328,15.1707,0.1058,0.1285,0.2268,0.07804894248762141
432539168,1.2058,1.8437,5.3042,0.0148,0.023,0.0553,0.18751471302418415
432539169,2.6004,2.6736,5.4328,0.0463,0.0479,0.0852,0.19941430995731257
432539174,2.2534,2.3299,5.4153,0.0528,0.0544,0.1033,0.18475840065665078
432539180,2.2599,2.4413,5.402,0.0735,0.0802,0.1481,0.17695501477362918
432539183,2.0529,2.1926,4.9107,0.0436,0.0487,0.0895,0.18475840065665078
432539185,2.2463,2.4711,4.8804,0.0857,0.0962,0.1475,0.18751471302418415
432539193,1.6728,1.8367,4.3754,0.0357,0.0413,0.0743,0.1963000700655754
432539196,2.3181,2.5232,5.4611,0.0805,0.087,0.1375,0.15322506464696445
432539199,0.2603,0.3872,3.015,0.0035,0.0039,0.0156,0.19941430995731257
432539201,2.4344,2.5671,5.5058,0.066,0.0706,0.1133,0.16978395275546265
432539206,1.6994,1.8577,4.3921,0.0408,0.0467,0.087,0.1963000700655754
432539212,0.3854,0.7577,3.4849,0.0043,0.0065,0.0186,0.1963000700655754
432539215,1.297,1.9762,6.8543,0.0163,0.0197,0.0469,0.1411769425941694
432539216,2.317,2.5994,5.7213,0.0376,0.0438,0.0833,0.16108014280507627
432539222,1.4989,2.2023,5.1285,0.0562,0.0831,0.1338,0.1721088567938853
432539226,1.1007,1.597,4.1947,0.02,0.0301,0.0583,0.19328157927359077
432539227,0.84,1.4074,4.5457,0.0203,0.0269,0.0495,0.1794818739290955
432539228,1.7552,1.8751,4.2869,0.0526,0.0588,0.0932,0.1963000700655754
432539231,2.2214,2.3884,5.0917,0.0443,0.0481,0.0832,0.19328157927359077
432539233,0.8749,1.209,3.9315,0.0065,0.0085,0.0269,0.2059488517353309
432539237,1.3969,1.5428,4.0594,0.0318,0.0357,0.0661,0.16752101074657041
432539239,0.7003,1.0414,3.6691,0.0181,0.0244,0.0525,0.2129260181386661
432539243,1.1814,1.4627,4.4185,0.0139,0.0168,0.0425,0.1963000700655754
432539244,1.6939,1.8311,4.1546,0.0325,0.0361,0.0649,0.2093793437612272
432539245,1.0128,1.4043,3.906,0.0117,0.0168,0.0388,0.2093793437612272
432539253,0.6559,0.9097,3.5595,0.0016,0.002,0.0117,0.19941430995731257
432539254,6.2185,7.1538,14.5002,0.1267,0.1497,0.2604,0.06904388481989716
432539257,2.2352,2.4648,5.1151,0.0315,0.0358,0.0609,0.18751471302418415
432539260,1.0861,1.6395,4.5636,0.0255,0.0358,0.0647,0.1794818739290955
432539261,1.9715,2.1977,4.6798,0.0514,0.0549,0.0899,0.20262892686416292
432539264,1.5824,2.8282,8.0287,0.034,0.0521,0.0947,0.1256508846247525
432539269,3.635,5.3331,12.3231,0.0593,0.1056,0.2216,0.11423011752805243
432539270,1.4208,1.5176,3.6983,0.0594,0.0642,0.1128,0.21659487670178934
432539271,1.4333,1.5301,3.7363,0.0571,0.0616,0.109,0.2129260181386661
432539272,1.4552,1.5519,3.732,0.0506,0.0579,0.0999,0.21659487670178934
432539278,0.2375,0.5785,2.7208,0.0008,0.0011,0.0075,0.22039234176969208
432539279,0.6324,1.0504,3.295,0.003,0.0045,0.0135,0.22039234176969208
432539281,1.3839,1.6101,3.778,0.0328,0.0399,0.0668,0.2129260181386661
432539282,1.3272,1.5253,3.7516,0.0339,0.0412,0.0719,0.2093793437612272
432539283,0.8263,1.2621,3.8373,0.0203,0.0294,0.0562,0.19941430995731257
432539285,0.9878,1.4048,4.3105,0.0245,0.0333,0.0648,0.19328157927359077
432539291,0.779,1.1767,3.9614,0.0061,0.0086,0.0242,0.19328157927359077
432539292,1.6509,2.0817,4.5908,0.0006,0.0028,0.0238,0.22039234176969208
432539297,1.4549,1.7835,3.9584,0.0237,0.0329,0.0622,0.2129260181386661
432539298,0.3721,0.5842,3.1368,0.0,0.0,0.0062,0.21659487670178934
432539301,1.9278,2.2485,4.9954,0.0336,0.0437,0.077,0.18751471302418415
432539302,6.4902,11.358,27.4826,0.1445,0.2578,0.4783,0.05983849013957345
432539306,8.9454,10.6354,20.1856,0.1259,0.1593,0.2934,0.07615699026400004
432539307,2.1929,2.5723,5.4756,0.0524,0.064,0.1068,0.18751471302418415
432539310,5.1996,6.7505,15.9666,0.0368,0.0536,0.1483,0.08003728818317192
432539311,1.4931,2.1521,4.996,0.0425,0.0674,0.116,0.1903544897796419
432539312,1.5432,1.7924,4.1195,0.0377,0.0459,0.0757,0.20262892686416292
432539313,1.4928,1.7477,4.1089,0.043,0.0498,0.0831,0.2129260181386661
432539315,0.4426,0.9648,3.4533,0.0004,0.0009,0.008,0.2129260181386661
432539317,0.4278,1.2575,4.7088,0.0016,0.0031,0.0129,0.16108014280507627
432539321,1.9901,2.6363,5.8121,0.004,0.0088,0.037,0.19941430995731257
432539322,3.2452,3.709,6.8909,0.079,0.0909,0.1385,0.15904183716398032
432539327,4.9339,5.7816,12.1575,0.0695,0.0862,0.1661,0.09519422993221213
432539330,5.0519,7.1963,14.0683,0.0066,0.0272,0.0916,0.11119795425652645
432539332,0.4886,1.0386,3.5111,0.0018,0.0024,0.0104,0.19328157927359077
432539336,1.4756,3.6059,11.442,0.0132,0.0222,0.0532,0.07569824722699373
432539337,1.1416,2.349,7.9375,0.0227,0.0374,0.0753,0.10471236017896915
432539341,0.4061,1.1584,4.2884,0.0,0.0,0.009,0.13657449043501094
432539343,0.8349,1.4732,3.7361,0.0241,0.0446,0.0722,0.2093793437612272
432539350,7.0207,7.8425,12.9026,0.1013,0.1091,0.1665,0.10052442674077641
432539356,1.9168,3.2199,10.13,0.0083,0.0122,0.0325,0.08787235948346774
432539358,3.4885,4.7479,10.0103,0.0176,0.0286,0.0776,0.11119795425652645
432539362,1.3728,2.2646,6.2779,0.0382,0.0573,0.1064,0.13807493637999585
432539366,3.1785,4.185,9.2169,0.0049,0.01,0.0543,0.1351063003197879
432539368,2.5909,5.1391,11.6815,0.0921,0.1673,0.2621,0.08666044549832956
432539369,2.6475,3.2959,7.0711,0.0327,0.0424,0.0956,0.18475840065665078
432539371,1.9501,4.0155,13.3189,0.0237,0.0294,0.0793,0.047241322067509035
432539372,0.4703,1.2003,5.2312,0.0001,0.0008,0.0114,0.12821464331793822
432539374,0.9195,1.3919,4.1039,0.0315,0.0469,0.0882,0.20262892686416292
432539375,2.4544,3.1979,6.6784,0.0027,0.0079,0.0387,0.18208192715442573
432539383,4.4886,5.8833,9.853,0.0585,0.0759,0.1128,0.1396087127968195
432539386,1.9267,2.6659,6.2616,0.0388,0.0606,0.1141,0.17695501477362918
432539397,2.0254,3.1671,7.8936,0.0403,0.063,0.1046,0.11527791973048969
432539398,1.0911,1.7047,5.8913,0.0121,0.0153,0.0363,0.1495779344429456
432539406,2.5657,4.5077,18.406,0.0466,0.0609,0.1566,0.05347294092237722
432539411,0.4386,0.6022,3.2872,0.0,0.0,0.0064,0.1903544897796419
432539412,1.1411,1.6054,3.7716,0.0352,0.0534,0.0829,0.2093793437612272
432539413,0.2988,0.4716,2.851,0.004,0.008,0.0202,0.19328157927359077
432539430,0.2776,0.559,3.3082,0.0,0.0,0.0066,0.1903544897796419
432539431,0.2747,0.524,3.2314,0.0,0.0,0.0064,0.1963000700655754
432539435,1.3559,2.7442,8.4596,0.0042,0.006,0.0226,0.09105580497377844
432539436,5.6419,5.5525,5.353,0.0752,0.0751,0.0527,0.1794818739290955
432539437,7.9202,7.8262,7.55,0.2522,0.2488,0.1874,0.16108014280507627
432539438,13.5113,13.3267,12.5065,0.5807,0.5753,0.4507,0.12953615542145414
432539442,18.274,18.4958,18.4063,0.3419,0.3402,0.2706,0.10648688664370398
432539443,1.8518,3.5139,9.3789,0.0235,0.0358,0.066,0.10299600257653854
432539453,17.575,17.7192,17.9707,0.6792,0.6842,0.6056,0.11119795425652645
432539456,12.3319,12.3638,12.9754,0.3681,0.369,0.3193,0.12953615542145414
432539462,7.8838,7.8883,8.5622,0.2706,0.2712,0.2398,0.15137953892966877
432539463,2.1799,2.9594,5.6417,0.0397,0.0591,0.0961,0.18751471302418415
432539465,9.8513,9.8172,10.2547,0.1969,0.1955,0.1711,0.14781870195462177
432539474,3.5242,3.5922,4.3341,0.0446,0.045,0.0378,0.2059488517353309
432539475,2.7825,2.8117,3.6262,0.0223,0.0229,0.0203,0.224325293611701
432539476,2.5587,2.6137,3.5432,0.0315,0.0365,0.0329,0.22039234176969208
432539482,0.1662,0.4453,2.4077,0.0,0.0,0.0053,0.22840111198938143
432539483,0.9794,1.6105,3.5793,0.031,0.0546,0.0803,0.22840111198938143
432539485,0.9966,1.6787,3.8826,0.0307,0.0545,0.0817,0.2093793437612272
432539489,0.3174,0.8895,4.0492,0.0006,0.0008,0.0089,0.16108014280507627
432539492,1.4226,2.286,5.153,0.0254,0.0433,0.0712,0.16978395275546265
432539494,0.3562,0.7137,3.2495,0.0,0.0,0.0059,0.2059488517353309
432539519,4.689,4.4837,4.6199,0.1767,0.167,0.1217,0.20262892686416292
432539522,2.0837,2.4919,6.0445,0.0047,0.0116,0.0381,0.16978395275546265
432539524,2.2212,2.7949,5.8115,0.0025,0.0081,0.0343,0.18751471302418415
432539536,2.8334,4.1151,7.6791,0.0704,0.1133,0.166,0.14781870195462177
432539538,1.31,1.9985,4.388,0.0687,0.1063,0.1648,0.1963000700655754
432539539,2.8414,3.7028,7.3443,0.0131,0.0194,0.0553,0.17695501477362918
432539540,1.6665,2.2318,4.6217,0.002,0.0104,0.0268,0.22039234176969208
