detection_id,B,G,R,nB,nG,nR,Compactness
427798670,43.7589,46.2713,50.8629,1.0178,1.0895,1.0471,0.05214171140333059
427798697,10.5278,11.4476,14.7912,0.0789,0.0799,0.0839,0.08321729873508964
427798703,6.7956,7.4279,11.0943,0.1152,0.1257,0.1345,0.08321729873508964
427798704,5.4018,5.9367,9.7348,0.0873,0.0959,0.1038,0.0815963233535219
427798706,10.7102,11.6633,14.3426,0.4794,0.5283,0.513,0.09972671719555438
427798711,13.1699,14.4077,16.614,0.5849,0.639,0.5805,0.08433420746488306
427798714,12.9396,14.1316,16.1713,0.5721,0.6244,0.5445,0.08266986501266944
427798716,10.3682,11.1228,13.1161,0.4906,0.526,0.4726,0.09519422993221213
427798717,10.403,11.0488,13.1458,0.5281,0.5637,0.5157,0.09816868357674101
427798719,12.2452,14.0635,17.9236,0.1663,0.1857,0.1865,0.07139750161301212
427798720,11.3335,13.6518,16.5303,0.0952,0.1116,0.1116,0.07099415216660818
427798724,18.5724,21.1755,21.1818,0.3593,0.4051,0.363,0.06684048540909966
427798732,13.7071,15.5973,17.0495,0.5401,0.6003,0.5311,0.06684048540909966
427798733,20.099,22.3945,21.4639,0.755,0.8506,0.6411,0.06942531913488556
427798734,22.1092,24.3311,22.1284,1.4512,1.5978,1.0932,0.06314598028335774
427798736,19.1463,20.8316,20.651,0.4752,0.5251,0.4043,0.06866661880204716
427798737,9.021,9.6492,12.8984,0.4954,0.5063,0.447,0.07569824722699373
427798738,11.752,12.7643,14.2362,0.1959,0.2209,0.1827,0.08606693785815557
427798739,15.5444,17.5497,20.1502,0.9096,0.9888,0.8856,0.0595549083537657
427798740,41.4106,44.6831,41.5633,0.7794,0.8707,0.6669,0.05046653131091824
427798741,24.3564,27.3769,32.7109,0.6241,0.6967,0.6939,0.05302170881884524
427798742,43.3542,46.9676,43.5958,0.7877,0.8776,0.6784,0.0539319190680174
427798744,41.9518,45.7736,42.2527,1.1542,1.2894,0.999,0.05439884443645084
427798745,25.3133,28.8945,36.3174,0.489,0.5673,0.6567,0.05257802831020273
427798746,23.1666,24.6452,25.1096,0.4891,0.5331,0.4353,0.06129789587454133
427798748,16.3935,17.2417,17.2274,0.2836,0.2991,0.25,0.09105580497377844
427798749,12.2131,13.7539,16.6263,0.0637,0.0707,0.0744,0.08548150399146558
427798751,18.8119,21.8396,29.5407,0.2931,0.3525,0.4533,0.06100034753906654
427798752,18.8684,22.2965,30.8561,0.3808,0.4695,0.6326,0.059274001684944774
427798768,27.0485,27.7448,29.3631,0.2639,0.2758,0.2629,0.06829345312829196
427798770,13.7571,14.1368,15.6042,0.0937,0.0986,0.0918,0.09307904275505513
427798772,17.0894,17.683,18.8688,0.0749,0.1032,0.07,0.09816868357674101
427798774,28.8203,30.2759,32.6626,0.1767,0.2039,0.1783,0.06411244968272661
427798781,4.7683,5.4412,9.7829,0.0171,0.0174,0.0327,0.08003728818317192
427798782,5.2458,6.0098,10.241,0.0419,0.0419,0.0548,0.08055030487456037
427798783,4.745,5.5174,9.6244,0.0314,0.0332,0.0447,0.08266986501266944
427798784,4.6101,5.2727,9.3898,0.03,0.0318,0.0417,0.08321729873508964
427798785,6.9114,7.7355,12.7357,0.0532,0.0567,0.0623,0.06904388481989716
427798786,7.1687,8.0297,12.9195,0.0412,0.0448,0.0529,0.07099415216660818
427798788,7.6312,8.7868,13.1321,0.0767,0.0827,0.0851,0.07435458803139107
427798789,8.6217,10.0079,14.5836,0.1918,0.2073,0.1946,0.07099415216660818
427798792,11.7522,13.755,18.1221,0.1751,0.1888,0.1792,0.07221810771057427
427798793,13.1929,15.0559,20.0612,0.1932,0.2044,0.2021,0.06792432131461863
427798794,13.1835,14.9871,20.3024,0.13,0.1369,0.1404,0.0661369411690469
427798795,13.7377,15.6107,20.877,0.2467,0.2572,0.2483,0.06579069379816853
427798796,13.7554,15.985,20.6075,0.1451,0.1556,0.1545,0.06444121395927624
427798797,14.814,17.1139,21.6164,0.1691,0.1824,0.1738,0.06190178642991358
