detection_id,B,G,R,nB,nG,nR,Compactness
432902617,2.9635,3.0491,4.9711,0.0206,0.0226,0.0289,0.15904183716398032
432902618,2.8262,2.8957,4.718,0.0169,0.0191,0.025,0.16752101074657041
432902619,2.16,2.2132,3.7232,0.0162,0.0169,0.0224,0.19941430995731257
432902620,2.7261,2.7632,4.561,0.0223,0.0233,0.0296,0.16978395275546265
432902621,2.882,2.9485,4.7803,0.0212,0.0227,0.0293,0.1653175867489029
432902626,2.8843,2.8908,4.4082,0.0118,0.012,0.0174,0.19941430995731257
432902627,3.3568,3.3768,5.1001,0.0136,0.0146,0.0202,0.17695501477362918
432902632,2.5394,2.5253,4.216,0.0148,0.0139,0.0212,0.18475840065665078
432902633,2.6591,2.6487,4.3247,0.015,0.015,0.0216,0.18475840065665078
432902649,4.5375,4.546,6.4897,0.0267,0.0276,0.0344,0.15904183716398032
432902653,5.5796,5.5719,7.7579,0.0278,0.0274,0.0364,0.1427807996875266
432902656,2.7726,2.7454,4.3417,0.0179,0.0179,0.0241,0.19941430995731257
432902683,3.757,3.8191,5.7537,0.0212,0.0228,0.0295,0.16108014280507627
432902684,3.7431,3.7803,5.7131,0.0214,0.0226,0.0301,0.16317136358672749
432902688,4.3439,4.4614,6.6701,0.0126,0.0155,0.0246,0.1427807996875266
432902689,1.5681,1.6189,3.5003,0.0033,0.0046,0.0123,0.1653175867489029
432902690,5.1757,5.1957,8.3081,0.0184,0.0187,0.0313,0.1021587506273488
432902691,7.1911,7.0983,9.6101,0.0309,0.0283,0.0384,0.12821464331793822
432902692,3.3811,3.3716,5.1895,0.0051,0.0033,0.0102,0.16978395275546265
432902694,12.2375,11.2423,12.8798,0.18,0.1627,0.1556,0.12199187159268324
432902697,13.7111,12.5555,14.6083,0.2874,0.2604,0.2437,0.09894156757337469
432902698,5.5013,5.0126,6.3159,0.0787,0.0718,0.0713,0.1794818739290955
432902699,9.7654,8.9852,10.3331,0.1083,0.1002,0.0982,0.15137953892966877
432902701,4.5458,4.1773,5.4741,0.0593,0.0552,0.0559,0.18751471302418415
432902702,6.0738,5.5949,6.8124,0.0392,0.0361,0.04,0.19941430995731257
432902703,6.0844,5.6151,6.7616,0.0482,0.0443,0.0472,0.2059488517353309
432902704,4.6385,4.1669,5.3268,0.0384,0.0347,0.0377,0.21659487670178934
432902705,6.09,5.4945,6.8516,0.0473,0.0424,0.0466,0.18475840065665078
432902706,4.198,3.8221,5.2436,0.0588,0.0533,0.055,0.18208192715442573
432902712,14.0482,13.1103,17.3777,0.1774,0.168,0.1735,0.058176383157876974
432902714,20.876,20.7624,26.7388,0.4167,0.4163,0.432,0.04851807655625124
432902715,9.585,9.4836,13.8657,0.1255,0.1245,0.1392,0.0675591583065621
432902731,9.2203,9.3257,13.046,0.177,0.1746,0.1872,0.07479714303071543
432902748,12.3013,11.194,13.2305,0.6777,0.614,0.5987,0.12953615542145414
432902768,6.5458,5.8692,8.3651,0.034,0.0221,0.0245,0.10133499999681532
432902770,2.4134,2.175,3.9602,0.038,0.0345,0.0404,0.16978395275546265
432902771,4.7132,4.3716,5.6134,0.0305,0.0288,0.0325,0.2059488517353309
432902772,4.8431,4.4934,5.8436,0.0288,0.0273,0.0317,0.19328157927359077
432902773,5.6183,5.2329,6.4809,0.0331,0.0314,0.0352,0.19941430995731257
432902777,4.425,4.1299,5.295,0.0295,0.0278,0.0312,0.2129260181386661
432902778,15.7042,16.2648,21.6901,0.4728,0.4947,0.5203,0.05560231145909046
432902801,4.3696,4.5173,7.2086,0.1028,0.1069,0.1171,0.11634512054520679
432902829,9.5736,9.9156,16.2704,0.1755,0.1835,0.271,0.051500646728563054
432902836,12.1632,11.2495,12.8998,0.2838,0.2657,0.2263,0.08490398027194407
432902841,4.3924,4.4164,6.5011,0.0162,0.016,0.0241,0.15137953892966877
432902851,11.2759,11.5871,18.5118,0.3108,0.319,0.3529,0.046541470193173916
432902858,3.7724,3.6464,6.0605,0.1567,0.1496,0.1489,0.12081909724428652
