detection_id,B,G,R,nB,nG,nR,Compactness
558295484,7.2488,6.9386,12.5122,0.0,0.0,0.0144,0.08606693785815557
558295486,49.4534,47.1625,51.2159,1.6526,1.5851,1.556,0.05192625725187585
558295488,18.0663,17.8468,26.3211,0.3124,0.3015,0.4049,0.07221810771057427
558295493,6.5542,7.5316,13.1245,0.1206,0.1489,0.2181,0.0937735836449438
558295501,15.3083,16.4207,22.2702,0.0466,0.0522,0.0888,0.08849111644335216
558295504,10.688,11.7834,16.164,0.0014,0.0054,0.0254,0.09592081711552267
558295507,21.313,25.4479,38.0053,0.3861,0.4654,0.6619,0.06444121395927624
558295517,12.81,15.1365,25.1039,0.1874,0.2356,0.362,0.06579069379816853
558295526,18.496,15.9339,18.8255,0.0236,0.021,0.0434,0.0427422593087034
558295557,5.6116,5.5195,9.9735,0.0,0.0,0.0173,0.07180546030797123
558295558,4.8135,4.9515,9.2711,0.0,0.0,0.0172,0.07221810771057427
558295574,67.8838,58.3351,59.1936,0.6362,0.5467,0.499,0.04536536335524013
