detection_id,B,G,R,nB,nG,nR,Compactness
429205697,8.0202,8.565,15.93,0.6004,0.6413,0.85,0.077091360650504
429205699,12.2871,13.0599,22.3271,0.649,0.6846,0.9205,0.06904388481989716
429205702,10.2252,10.5713,19.0102,0.5225,0.5328,0.7704,0.07263552511680024
429205708,7.6397,7.8274,12.6003,0.2562,0.2642,0.3361,0.09665858053229819
429205709,7.5283,7.6784,12.6115,0.309,0.3148,0.4045,0.09307904275505513
429205711,10.2357,10.0954,17.1983,0.2079,0.2027,0.3088,0.08911864874469005
429205714,12.4082,11.9952,20.853,0.1491,0.1422,0.2502,0.07903061153879146
429205715,12.0811,11.6766,20.3159,0.1252,0.1192,0.2183,0.08003728818317192
429205717,12.3738,12.0064,20.6985,0.1978,0.1891,0.3104,0.07953076456813789
429205719,11.3572,11.029,18.8012,0.1656,0.16,0.2592,0.08548150399146558
429205722,12.0844,11.0841,18.4194,0.2188,0.1962,0.2845,0.07305779571290515
429205735,25.2781,23.4167,28.1642,0.4382,0.3954,0.4334,0.09665858053229819
429205736,23.9996,22.3128,27.197,0.3711,0.336,0.3718,0.09105580497377844
429205737,23.6378,21.9256,26.7173,0.4136,0.3745,0.4123,0.09307904275505513
429205739,20.3625,18.6825,22.7378,0.3035,0.2717,0.3006,0.10926437976474195
429205740,19.2576,17.7089,21.5898,0.2538,0.2283,0.2546,0.11219063124580061
429205741,18.3386,16.9117,20.777,0.2574,0.2312,0.2604,0.1132011898318306
429205743,15.3023,13.7894,18.8527,0.9192,0.8238,0.9148,0.07903061153879146
429205865,18.3064,16.7554,22.3185,0.78,0.7011,0.7719,0.07221810771057427
429205867,21.791,19.8747,25.3891,0.9838,0.8872,0.9695,0.07853670966610296
429205868,21.7157,19.7796,25.489,0.9552,0.859,0.9439,0.0752449975094086
429205869,22.4629,20.4759,26.8109,0.993,0.894,0.9848,0.06648685222060789
429205871,18.7245,16.9964,23.3784,0.8643,0.7742,0.8512,0.06159836113714365
429205872,18.1119,16.3629,21.585,0.4805,0.4248,0.4743,0.07479714303071543
429205873,17.1236,15.5649,21.1032,0.3376,0.3032,0.3419,0.06648685222060789
429205874,8.7954,7.8515,13.3045,0.2687,0.237,0.275,0.06444121395927624
429205875,10.8366,10.502,22.146,0.3416,0.3356,0.5587,0.05764267775279962
429205877,6.8884,7.6333,16.4139,0.1613,0.1777,0.3501,0.09519422993221213
429205885,36.9059,33.7095,30.8309,0.3128,0.274,0.2341,0.06942531913488556
429205886,18.9716,16.9552,17.2213,0.3949,0.341,0.2339,0.07020097205976435
429205893,50.857,46.2222,45.4534,0.8366,0.7469,0.6155,0.04424723137071616
429206005,30.6061,28.0089,29.1118,0.4116,0.3551,0.3044,0.06719790044098876
429206007,29.5764,27.2639,28.9993,0.424,0.3786,0.3374,0.06346488289866778
429206008,26.5622,24.4264,26.2439,0.3463,0.3083,0.2796,0.06792432131461863
429206009,18.1176,16.4652,18.9571,0.2074,0.1764,0.1745,0.08548150399146558
429206011,19.3911,16.9427,17.6663,0.2116,0.1802,0.1516,0.08975514439115811
429206012,24.176,21.087,21.4491,0.2655,0.227,0.1877,0.08377203058083679
429206013,27.2387,23.849,24.0788,0.3058,0.2625,0.216,0.07662132709270902
429206014,29.5323,25.8302,25.8686,0.3255,0.2788,0.2303,0.07391723900466864
429206015,32.5672,28.4635,28.1517,0.3626,0.3148,0.2574,0.07305779571290515
429206025,16.1049,14.9163,13.6785,0.6805,0.6259,0.4628,0.1132011898318306
429206036,11.4145,10.3136,19.9887,0.2517,0.2115,0.3858,0.08377203058083679
429206038,12.2815,10.9151,22.5268,0.2651,0.223,0.4106,0.06041383338136221
429206045,27.9983,24.3427,26.3797,0.3535,0.3051,0.2625,0.051712576293637055
429206046,28.018,24.284,25.7714,0.371,0.3093,0.2718,0.05660411406725943
429206147,26.6962,23.1349,24.6243,0.3311,0.2769,0.2492,0.05983849013957345
429206148,25.4022,22.0674,23.2495,0.3183,0.265,0.2359,0.06477336728387235
429206149,23.3707,20.2219,21.8602,0.2756,0.2283,0.2042,0.06378702284985524
429206150,25.1513,21.8819,23.0515,0.3231,0.2758,0.2325,0.06314598028335774
429206153,26.6507,23.3506,24.4222,0.3182,0.2745,0.2296,0.06012478543760053
429206155,18.2812,16.1305,16.5462,0.1979,0.1703,0.1443,0.09239471398211957
429206157,18.7701,16.5096,17.5742,0.1732,0.1511,0.1285,0.07569824722699373
429206158,18.084,15.9072,17.007,0.1713,0.1476,0.1245,0.077091360650504
429206163,12.9364,12.9465,17.7313,0.4164,0.412,0.4835,0.10471236017896915
429206164,14.9666,14.8601,20.1248,0.3339,0.3261,0.3843,0.1021587506273488
429206165,20.4902,20.2706,27.2546,0.3701,0.3561,0.424,0.07569824722699373
429206166,23.547,23.026,30.8309,0.6065,0.5895,0.6793,0.06684048540909966
429206167,26.2233,25.385,33.2004,0.3884,0.3753,0.4477,0.07020097205976435
429206168,27.2504,26.4136,34.6607,0.3987,0.3892,0.4664,0.0661369411690469
429206169,27.6536,26.4735,34.7201,0.3722,0.357,0.4329,0.07020097205976435
429206170,30.7045,29.4195,38.1422,0.5536,0.5254,0.6331,0.06904388481989716
429206171,37.1453,35.5208,47.0724,0.6224,0.5906,0.7026,0.04851807655625124
429206172,35.2403,34.011,44.7223,0.8646,0.8306,0.9791,0.05584942297118333
429206173,32.3883,31.328,41.3308,1.1558,1.1178,1.3356,0.06411244968272661
429206174,28.1953,27.1383,36.0016,1.0833,1.0435,1.2241,0.06981099120988524
429206175,18.7191,18.1357,24.928,1.0484,1.0235,1.2185,0.08726219508235135
429206176,16.0702,15.6619,21.6022,0.8982,0.8789,1.0375,0.09519422993221213
429206177,16.2017,15.6931,21.9637,0.9846,0.9626,1.1368,0.08787235948346774
429206178,26.1504,25.8209,34.6105,0.9434,0.932,1.1129,0.07435458803139107
429206180,32.5822,31.8442,41.6693,0.4983,0.4807,0.5976,0.06719790044098876
429206181,33.5066,32.8384,42.9243,0.4637,0.4563,0.5649,0.06684048540909966
429206182,33.3489,32.6502,43.108,0.4977,0.4873,0.5971,0.06444121395927624
429206183,33.0811,32.3108,42.7903,0.531,0.5249,0.6342,0.06220821570931003
429206184,31.4473,30.6558,40.9855,0.6223,0.6169,0.755,0.06283026644890574
429206185,24.1524,23.5527,32.3186,0.3725,0.3658,0.4531,0.06829345312829196
429206186,18.905,18.5832,25.8369,0.3267,0.3226,0.3987,0.08003728818317192
429206187,16.4254,15.9495,22.3937,0.3519,0.3455,0.4263,0.08911864874469005
429206188,13.1911,12.8873,18.2656,0.3149,0.3122,0.3817,0.09972671719555438
429206189,17.216,15.4077,21.3736,1.0394,0.9276,1.0963,0.08726219508235135
429206191,22.0412,19.8567,26.7608,1.0701,0.9615,1.1312,0.08212958633865283
429206195,26.1318,23.6415,31.6724,0.5698,0.506,0.5809,0.05635029433027713
429206315,26.9908,23.7504,27.1361,0.681,0.5795,0.5475,0.0595549083537657
429206316,32.1054,28.3422,30.8002,1.3552,1.1595,1.0838,0.06792432131461863
429206317,20.5359,18.1968,20.5583,0.291,0.2505,0.2322,0.07804894248762141
429206318,21.5717,18.9818,21.5751,0.3098,0.2611,0.2472,0.07435458803139107
429206319,18.4053,16.1039,18.107,0.2979,0.2524,0.2334,0.09105580497377844
429206320,19.6577,17.1322,19.272,0.3128,0.2632,0.2463,0.08606693785815557
429206321,17.6648,15.3234,17.4966,0.2849,0.2375,0.2296,0.09040079679516942
429206323,19.0987,16.7619,18.3918,0.2565,0.217,0.2001,0.08975514439115811
