detection_id,B,G,R,nB,nG,nR,Compactness
559059530,10.6544,11.096,18.5226,0.1049,0.1143,0.203,0.09239471398211957
559059534,14.7533,17.0782,28.87,0.5428,0.6204,0.8808,0.05108195634991484
559059535,7.4538,8.879,17.9414,0.0636,0.0724,0.1298,0.07139750161301212
559059537,4.4373,5.615,11.0256,0.0143,0.0159,0.0369,0.09972671719555438
559059538,10.6722,11.9798,22.1731,0.0551,0.0637,0.1282,0.06012478543760053
559059541,3.165,3.5303,11.0508,0.0,0.0,0.0243,0.05129044711249124
559059543,11.0123,10.9277,20.28,0.0437,0.0421,0.0733,0.04536536335524013
559059565,14.3792,17.0818,22.383,0.106,0.099,0.1236,0.06314598028335774
559059568,11.2965,8.4884,13.8529,0.4914,0.3699,0.3719,0.054626851241368055
559059569,11.2985,8.4906,13.8517,0.4673,0.3513,0.3545,0.054626851241368055
559059570,11.2933,8.4854,13.8465,0.4709,0.354,0.3575,0.054626851241368055
559059571,11.2733,8.4654,13.84,0.4699,0.3531,0.3568,0.054626851241368055
559059572,11.1585,8.3881,13.0396,0.4174,0.3137,0.317,0.06250490434139473
559059582,13.0947,12.4087,16.7664,0.1658,0.15,0.1791,0.08266986501266944
559059585,12.4078,11.7786,16.4365,0.173,0.1616,0.1903,0.07804894248762141
559059586,12.0681,11.4246,15.846,0.1826,0.1697,0.1974,0.08266986501266944
559059587,12.0506,11.4585,15.6645,0.2138,0.2011,0.229,0.08666044549832956
559059588,11.6292,11.0092,15.2077,0.2038,0.1901,0.2179,0.08787235948346774
559059589,11.6072,11.015,15.0691,0.1968,0.1847,0.2133,0.09172037375316221
559059590,11.7892,11.2388,15.2098,0.2202,0.2057,0.2326,0.09040079679516942
559059591,11.8329,11.3205,15.416,0.219,0.2041,0.2335,0.08787235948346774
559059604,15.9035,15.3868,20.3077,0.1127,0.1066,0.1311,0.07756719641593564
559059605,15.774,15.3789,20.0105,0.1108,0.108,0.1296,0.08003728818317192
559059606,15.7483,15.3068,19.7562,0.1118,0.1071,0.1272,0.08055030487456037
559059607,15.1388,14.7702,19.0163,0.1092,0.1042,0.1225,0.08321729873508964
559059608,14.411,14.0856,18.3243,0.1034,0.0989,0.1168,0.08266986501266944
559059609,13.589,13.3445,17.5411,0.1012,0.0969,0.1137,0.08212958633865283
559059610,12.5955,12.5419,16.8127,0.0959,0.0934,0.1107,0.08106994029334431
559059611,11.4809,11.5218,15.8007,0.0955,0.0934,0.1115,0.07903061153879146
559059612,9.346,9.4295,13.6051,0.0833,0.0835,0.099,0.08377203058083679
559059613,9.7495,9.636,13.9717,0.0948,0.0941,0.116,0.08490398027194407
559059614,8.931,8.8141,13.2391,0.0943,0.0945,0.1206,0.08377203058083679
559059615,8.7783,8.7051,12.9696,0.1064,0.1069,0.1343,0.08726219508235135
559059616,8.5902,8.2876,12.6288,0.1242,0.1178,0.15,0.08606693785815557
559059617,7.9354,7.6523,11.6434,0.2298,0.2199,0.2483,0.08726219508235135
559059620,11.1315,11.6799,16.1983,0.0672,0.0725,0.0985,0.10559216905199818
559059622,11.4157,12.0212,16.9617,0.0636,0.0695,0.0993,0.09519422993221213
559059623,11.2902,11.9479,16.9606,0.0621,0.067,0.097,0.09105580497377844
559059624,10.7263,11.3097,16.2041,0.1075,0.1151,0.1496,0.09239471398211957
559059641,6.6911,6.3912,9.4926,0.3833,0.3649,0.4068,0.11423011752805243
559059642,6.5999,6.2139,9.5447,0.3891,0.3668,0.4143,0.11423011752805243
559059643,6.4872,6.1092,9.627,0.3351,0.3174,0.3592,0.10739689511380088
559059650,5.3365,5.5275,12.1498,0.0,0.0,0.016,0.07756719641593564
559059652,7.3748,7.5069,15.0649,0.0,0.0,0.0166,0.07479714303071543
559059653,7.191,7.7301,14.8368,0.1272,0.1445,0.237,0.08975514439115811
559059654,7.4958,7.7195,15.1757,0.0025,0.0022,0.018,0.08490398027194407
559059655,6.9701,7.1392,13.31,0.1142,0.1206,0.1852,0.08490398027194407
559059656,8.7347,8.8455,17.3147,0.0319,0.0308,0.0557,0.07569824722699373
559059658,16.2084,17.4313,29.5069,0.4563,0.4923,0.7285,0.06220821570931003
559059659,17.1005,17.8638,31.4936,0.3075,0.316,0.526,0.05584942297118333
559059668,8.4549,8.335,13.7431,0.5114,0.5072,0.5602,0.06378702284985524
559059670,9.9236,9.896,15.4548,0.631,0.626,0.6931,0.06544805286939072
559059671,8.6756,8.6409,13.5269,0.2449,0.2353,0.267,0.07099415216660818
559059672,7.5491,7.4631,10.968,0.2658,0.2509,0.278,0.09816868357674101
559059673,5.8391,5.8296,9.2078,0.1561,0.1523,0.1703,0.09740778003073822
559059674,9.1792,9.0925,12.8835,0.4092,0.3909,0.4379,0.09447856694680049
559059675,11.0256,10.7606,15.0889,0.4569,0.4304,0.4835,0.08490398027194407
559059676,12.6486,12.4643,17.3465,0.5153,0.4865,0.5408,0.07348500463068167
559059677,13.0111,12.7937,17.8067,0.3305,0.3129,0.3562,0.0752449975094086
559059678,13.9611,13.8007,21.4607,0.2832,0.2717,0.3201,0.051712576293637055
559059680,10.1527,10.0904,16.676,0.1298,0.1274,0.1685,0.06100034753906654
559059775,11.725,10.6582,11.9843,0.1295,0.1009,0.0685,0.09040079679516942
559059776,13.0734,11.8351,12.9343,0.159,0.1257,0.0825,0.08726219508235135
559059777,11.9865,10.8996,12.2121,0.1307,0.1032,0.071,0.09040079679516942
559059778,11.9772,10.8982,12.2106,0.1313,0.1035,0.0715,0.09040079679516942
559059784,14.152,13.0765,16.2132,0.1832,0.1517,0.1178,0.06544805286939072
559059785,17.3194,16.3865,20.6721,0.2975,0.2761,0.2934,0.07263552511680024
559059786,11.1488,10.2945,12.0892,0.1032,0.0806,0.0564,0.08849111644335216
559059793,13.3549,12.9227,15.7727,0.0312,0.0259,0.0361,0.09816868357674101
559059799,31.1527,31.0509,37.509,0.6167,0.6215,0.6698,0.05302170881884524
559059801,24.9939,23.9171,29.2363,0.1119,0.101,0.1243,0.06510896233025722
559059806,20.3824,19.8658,24.7515,0.4503,0.4414,0.4428,0.058176383157876974
559059807,8.3485,8.2132,13.2969,0.0743,0.0745,0.0903,0.08606693785815557
559059808,10.0616,9.8841,15.5145,0.0566,0.0571,0.0735,0.07756719641593564
559059809,13.4748,13.1304,19.9767,0.0717,0.0708,0.0922,0.06648685222060789
559059819,16.653,16.6996,25.4938,0.8682,0.8782,1.0681,0.049668666921834095
