detection_id,B,G,R,nB,nG,nR,Compactness
432256221,4.7049,5.1123,7.4127,0.077,0.0868,0.0958,0.13657449043501094
432256222,5.1336,5.4407,8.16,0.0631,0.0678,0.0817,0.1256508846247525
432256223,4.6126,4.8482,7.3666,0.1023,0.1086,0.1229,0.1351063003197879
432256224,4.4503,4.7465,7.4689,0.0728,0.0817,0.0988,0.12953615542145414
432256225,3.9827,4.16,6.7322,0.0842,0.0886,0.1056,0.1396087127968195
432256226,4.1078,4.363,7.0822,0.1007,0.1076,0.127,0.13088518977836702
432256227,4.9716,5.2511,7.836,0.1254,0.1316,0.1472,0.12691981982432735
432256228,4.4693,4.7363,7.1772,0.0641,0.0696,0.0816,0.1351063003197879
432256229,4.0812,4.2794,6.6455,0.0869,0.0954,0.11,0.14781870195462177
432256230,4.178,4.4085,6.7669,0.041,0.0452,0.0566,0.14781870195462177
432256231,4.1136,4.3959,6.7995,0.0646,0.0753,0.0916,0.15137953892966877
432256232,3.8234,4.0661,6.5955,0.0733,0.0772,0.0958,0.13807493637999585
432256233,3.6838,4.0102,6.2508,0.1164,0.131,0.1405,0.14610036423614817
432256234,4.5242,4.7382,7.2694,0.0915,0.097,0.1127,0.1396087127968195
432256235,4.342,4.5582,6.9598,0.0713,0.075,0.0888,0.1427807996875266
432256236,4.108,4.4834,6.7097,0.1122,0.1256,0.136,0.14781870195462177
432256238,2.9382,3.3677,5.5905,0.0451,0.0539,0.0668,0.15511613727099602
